SYMBOL,Difference_Ure_IR_vs_Ure_mock_IR,Difference_Ure_IR_vs_Ure_mock_IR_DMXAA,Difference_Ure_mock_IR_vs_Ure_mock_IR_DMXAA
Oscp1,-1,0,1
Osmr,0,0,0
Otog,-1,0,1
Otop1,0,0,0
Otop3,0,-1,-1
Oxct1,1,1,0
Oxct2a,0,0,0
P2ry10,0,-1,-1
P4ha3,1,1,0
P4hb,-1,0,1
Pabpc4,3,3,0
Pacsin1,-1,-1,0
Padi3,1,1,0
Paf1,1,1,0
Pak7,0,-1,-1
Palm3,0,-1,-1
Panx2,-1,0,1
Pappa2,-1,0,1
Parp1,0,-1,-1
Parp4,1,0,-1
Parp8,2,2,0
Parp9,-1,0,1
Patj,1,0,-1
Pax5,0,0,0
Pax6,1,1,0
Pbx4,-1,0,1
Pcare,-1,0,1
Pcca,-1,0,1
Pcdh10,1,1,0
Pcdhac2,-1,0,1
Pced1a,0,0,0
Pcgf6,1,1,0
Pcm1,0,-1,-1
Pcnx,1,1,0
Pcnx2,-1,0,1
Pcsk5,1,0,-1
Pdcd11,-1,0,1
Pde3b,0,-1,-1
Pde4c,-1,0,1
Pdia3,0,-1,-1
Pdk4,0,0,0
Pdlim1,-2,0,2
Pdlim4,-1,0,1
Pdxp,0,-1,-1
Pdzd2,0,-1,-1
Pdzd8,-1,0,1
Pdzrn4,1,1,0
Peli3,1,1,0
Per3,1,1,0
Pex1,0,-1,-1
Pex5,0,0,0
Pfas,-2,0,2
Pfdn2,1,1,0
Pfkl,1,1,0
Pfn4,2,2,0
Pgap1,0,-1,-1
Pglyrp2,-1,0,1
Pgpep1,1,1,0
Phc2,1,1,0
Phc3,1,0,-1
Phf21a,-1,0,1
Phf3,0,1,1
Phip,0,-1,-1
Phkb,0,-1,-1
Phox2a,-1,0,1
Phpt1,-3,-2,1
Phrf1,0,-1,-1
Phykpl,0,-1,-1
Pi4k2b,0,-1,-1
Pi4ka,1,1,0
Pias3,-1,0,1
Pibf1,0,-1,-1
Pign,1,0,-1
Pigq,1,1,0
Pigs,1,1,0
Pih1h3b,0,-1,-1
Pik3c2a,0,-1,-1
Pik3c3,-1,0,1
Pik3r4,-1,0,1
Pip5kl1,1,1,0
Pir,1,1,0
Pitpna,-1,0,1
Piwil2,1,1,0
Pkd2,0,-1,-1
Pkd2l2,1,0,-1
Pkhd1l1,-1,0,1
Pkn3,0,-1,-1
Pla2g12a,1,1,0
Pla2g5,1,0,-1
Pla2g6,0,-1,-1
Pla2r1,2,2,0
Plaat5,1,1,0
Plcb4,1,1,0
Plcd3,0,0,0
Plcd4,1,0,-1
Plce1,0,-1,-1
Plch2,-1,0,1
Pld5,-1,0,1
Plec,0,1,1
Plekha5,-1,0,1
Plekhg5,0,-1,-1
Plekhj1,0,-1,-1
Plekhm1,-2,0,2
Plk5,0,0,0
Plod3,-1,-1,0
Plppr3,-1,0,1
Plscr1,0,1,1
Plxna3,-1,0,1
Plxna4,0,-1,-1
Plxnc1,0,-1,-1
Plxnd1,0,-1,-1
Pmepa1,-1,0,1
Pmm2,0,-1,-1
Pnck,1,1,0
Pnmal1,-1,0,1
Pnpla5,1,1,0
Pnpla7,0,0,0
Podnl1,0,-1,-1
Poglut2,0,-1,-1
Pola1,-1,-1,0
Pola2,0,-1,-1
Pold1,-1,0,1
Pold2,1,0,-1
Pole,-1,0,1
Polq,0,-1,-1
Polr2b,-1,0,1
Polr2h,1,1,0
Pom121,-2,0,2
Pomt2,0,-1,-1
Pon3,0,0,0
Pop5,1,1,0
Popdc3,1,1,0
Pou2af1,1,1,0
Pou2f1,-1,0,1
Ppargc1b,0,-1,-1
Ppef2,0,0,0
Ppfia4,0,-1,-1
Pphln1,-1,0,1
Ppif,-1,0,1
Ppil2,-1,0,1
Ppil4,0,-1,-1
Ppm1f,-1,0,1
Ppm1n,0,-1,-1
Ppox,1,1,0
Ppp1cb,-1,0,1
Ppp1r12b,0,-1,-1
Ppp1r12c,0,-1,-1
Ppp1r13b,-1,0,1
Ppp1r13l,0,1,1
Ppp1r2-ps9,0,-1,-1
Ppp1r26,1,1,0
Ppp1r35,-1,0,1
Ppp1r3f,0,-1,-1
Ppp1r9b,-1,-1,0
Ppp2r1b,0,-1,-1
Ppp2r2a,-1,0,1
Ppp2r5a,0,-4,-4
Ppp3ca,1,1,0
Ppp4r1,0,-1,-1
Ppp4r3b,1,0,-1
Ppp6r3,-1,0,1
Ppt2,-1,0,1
Pramel7,0,0,0
Prdm1,-1,0,1
Prdm2,-1,0,1
Prdx1,0,-1,-1
Prelid3a,-1,0,1
Prex1,0,-1,-1
Prg4,0,-1,-1
Prickle1,-1,0,1
Prl3b1,0,-1,-1
Prl3c1,1,1,0
Prmt9,1,1,0
Prpf18,1,1,0
Prpf38b,0,-1,-1
Prph,0,-1,-1
Prpsap1,0,-1,-1
Prr14l,-1,-1,0
Prr5l,0,-1,-1
Prrt4,-1,0,1
Prss56,1,1,0
Prtg,1,1,0
Prxl2a,1,1,0
Psma7,-1,0,1
Psmb7,0,-1,-1
Psmd13,-1,-1,0
Psmd3,0,0,0
Psmd7,0,1,1
Psme1,1,1,0
Psmg2,0,-1,-1
Pspc1,-1,-1,0
Pstpip2,0,-1,-1
Ptcd1,-1,0,1
Ptcd3,0,-1,-1
Ptchd1,-1,0,1
Ptger1,0,0,0
Ptgir,0,-1,-1
Ptk2,0,0,0
Ptpa,1,1,0
Ptpn13,1,1,0
Ptpn14,0,-1,-1
Ptpn21,-2,0,2
Ptpn22,0,-1,-1
Ptpn23,-1,0,1
Ptpn4,0,-1,-1
Ptprc,0,-1,-1
Ptpre,-1,0,1
Ptprf,0,-1,-1
Ptprk,-1,0,1
Ptprm,2,2,0
Ptpro,0,-1,-1
Ptprq,-1,0,1
Ptprs,0,-1,-1
Ptpru,-1,0,1
Ptprz1,-1,-1,0
Ptx3,0,-1,-1
Pura,0,-1,-1
Purb,-1,-1,0
Pwp1,0,1,1
Pxn,-1,-1,0
Pyurf,0,1,1
Qk,1,2,1
Qpct,-1,0,1
Qrfprl,0,0,0
Qrich2,1,1,0
Qsox2,0,-1,-1
R3hcc1,0,-1,-1
R3hdm4,-1,0,1
Rab11fip2,1,1,0
Rab36,0,-1,-1
Rab6a,-1,0,1
Rab7b,0,-1,-1
Rabgap1l,-1,0,1
Racgap1,0,-1,-1
Raet1e,-1,0,1
Raf1,0,-1,-1
Ralgapa2,1,1,0
Ralgps2,0,-1,-1
Ranbp6,1,1,0
Rangap1,0,-1,-1
Rarb,1,1,0
Rarg,0,-2,-2
Rarres1,1,1,0
Rasa1,-1,0,1
Rasgrf1,-1,0,1
Rassf3,1,1,0
Rbbp4,-1,0,1
Rbbp8nl,0,-1,-1
Rbm12b2,0,-1,-1
Rbm19,1,1,0
Rbm34,0,-1,-1
Rbm5,0,0,0
Rbmxl2,0,-1,-1
Rbpjl,0,-1,-1
Rcbtb2,0,1,1
Rccd1,-1,0,1
Rcl1,0,1,1
Rdh14,0,-1,-1
Rdh18-ps,0,-1,-1
Rdh8,0,-1,-1
Reck,0,-1,-1
Recql,0,-1,-1
Recql4,1,1,0
Recql5,-1,0,1
Reep5,-1,0,1
Reg3a,-1,0,1
Rel,-1,0,1
Relb,-1,0,1
Reln,-1,0,1
Ren1,0,0,0
Resp18,-1,0,1
Rexo2,1,1,0
Rfc1,1,1,0
Rfx4,1,1,0
Rgl1,1,1,0
Rgs2,-1,0,1
Rgs6,1,1,0
Rgs7bp,1,1,0
Rgs9bp,1,1,0
Rhbdf2,-1,0,1
Rhd,0,-1,-1
Rhox2d,1,1,0
Ribc1,1,1,0
Rif1,0,0,0
Rilpl2,-1,0,1
Rimbp3,0,0,0
Rims2,1,1,0
Rinl,1,1,0
Ripk1,1,1,0
Ripor1,-1,0,1
Ripor2,-1,0,1
Rmnd5b,-1,0,1
Rnasek,-1,-1,0
Rnf146,1,0,-1
Rnf17,-2,-1,1
Rnf185,1,1,0
Rnf207,1,1,0
Rnf213,-1,0,1
Rnf216,1,1,0
Rnf31,-1,-1,0
Rnf32,-1,0,1
Rnf38,-1,0,1
Rnf8,1,1,0
Robo1,0,-1,-1
Robo3,0,1,1
Robo4,1,1,0
Rom1,-1,0,1
Rora,2,2,0
Rp1l1,0,-1,-1
Rpa1,1,-2,-3
Rpa2,-1,0,1
Rpain,0,1,1
Rpap2,1,1,0
Rpap3,-1,0,1
Rpgrip1,1,1,0
Rpl13a,-1,0,1
Rpl14,-1,0,1
Rpn1,-1,0,1
Rpp21,0,0,0
Rpp25,0,-1,-1
Rpp38,0,-1,-1
Rps24,0,0,0
Rps6ka3,-1,0,1
Rps6kb1,0,-1,-1
Rptor,0,-1,-1
Rrp1b,0,-1,-1
Rrp7a,-1,0,1
Rrp9,0,-1,-1
Rsph6a,-1,0,1
Rtn1,1,1,0
Rtn4,0,-1,-1
Rtn4rl2,0,-1,-1
Rttn,1,1,0
Rubcn,0,-1,-1
Rufy2,-1,0,1
Rufy3,0,-1,-1
Rufy4,0,-1,-1
Runx1t1,0,0,0
Rusc2,0,-1,-1
Ruvbl1,-1,0,1
Rwdd3,-1,0,1
Rwdd4a,1,1,0
Ryr1,2,2,0
S1pr4,0,1,1
S1pr5,-1,-1,0
Sae1,-1,0,1
Safb2,0,-1,-1
Samd14,-1,0,1
Samd4,-1,0,1
Samd7,-1,0,1
Sap30,-2,0,2
Sap30bp,0,1,1
Sapcd2,-1,0,1
Sars2,1,1,0
Sbf2,1,1,0
Sbno1,2,1,-1
Scaf1,-1,0,1
Scaper,0,-1,-1
Sclt1,0,-1,-1
Scn1a,1,1,0
Scn3a,0,-1,-1
Scn4a,-1,0,1
Scn5a,-1,0,1
Scn7a,0,1,1
Scrt2,0,-2,-2
Scube1,1,1,0
Sdc4,-1,-1,0
Sdcbp2,0,-1,-1
Sdf4,-1,0,1
Sdk1,0,-1,-1
Sdk2,1,1,0
Sec11a,1,1,0
Sec14l5,0,-1,-1
Sec16a,0,-1,-1
Sec24a,0,0,0
Secisbp2,-1,0,1
Sel1l,-2,0,2
Sel1l2,0,-1,-1
Selenos,-1,0,1
Sem1,-1,0,1
Sema3c,0,1,1
Sema3d,0,-1,-1
Sema3f,1,0,-1
Sema4f,0,-1,-1
Sema6a,1,1,0
Sema6b,-1,-1,0
Senp2,1,1,0
Senp7,0,-1,-1
Septin14,-1,1,2
Serbp1,0,-1,-1
Serpina11,0,0,0
Serpinb9,-1,0,1
Serpinb9c,-1,0,1
Serpinf1,0,0,0
Sesn3,1,1,0
Setbp1,0,0,0
Setd1b,0,-1,-1
Setd3,0,-1,-1
Setd6,-1,0,1
Sf3b3,-1,0,1
Sftpc,-1,0,1
Sgca,-1,0,1
Sgpl1,0,-1,-1
Sh2b3,-1,0,1
Sh2d4a,0,-1,-1
Sh2d6,0,0,0
Sh3glb2,-1,0,1
Sh3rf1,-1,0,1
Sharpin,-1,0,1
Shisa4,1,1,0
Shisal2b,-1,0,1
Shoc1,-1,0,1
Shprh,0,-1,-1
Shtn1,-1,0,1
Sidt2,1,1,0
Sike1,0,-1,-1
Sil1,1,1,0
Sin3b,-1,0,1
Six3,-1,0,1
Ski,0,0,0
Skint1,-1,0,1
Skint5,0,-1,-1
Slain1,1,1,0
Slc11a1,1,1,0
Slc13a3,0,-1,-1
Slc14a1,0,-1,-1
Slc16a10,0,-1,-1
Slc16a8,-1,0,1
Slc18b1,1,1,0
Slc19a2,0,-1,-1
Slc1a1,0,0,0
Slc1a2,-1,0,1
Slc1a5,0,-2,-2
Slc22a19,0,-1,-1
Slc22a20,-1,0,1
Slc25a13,-1,0,1
Slc25a15,1,1,0
Slc25a24,0,-1,-1
Slc25a26,0,0,0
Slc25a3,0,-3,-3
Slc25a43,-1,0,1
Slc25a46,-1,0,1
Slc26a11,1,1,0
Slc26a4,1,1,0
Slc27a6,-1,0,1
Slc28a2b,1,1,0
Slc29a1,0,-1,-1
Slc2a8,-1,0,1
Slc30a7,0,0,0
Slc34a1,0,0,0
Slc35a5,0,0,0
Slc35c2,1,1,0
Slc36a2,1,1,0
Slc36a4,-1,0,1
Slc39a12,0,0,0
Slc39a3,0,0,0
Slc45a4,0,0,0
Slc47a1,0,-1,-1
Slc48a1,1,1,0
Slc4a1,-1,0,1
Slc4a10,1,1,0
Slc4a4,1,1,0
Slc4a5,-1,0,1
Slc4a9,0,-1,-1
Slc52a3,0,-1,-1
Slc6a15,0,-1,-1
Slc6a7,-1,0,1
Slc9a1,1,1,0
Slc9a2,0,1,1
Slc9a3r2,1,1,0
Slc9a6,-1,0,1
Slc9c1,1,1,0
Slco2a1,1,1,0
Slitrk5,-1,0,1
Smad9,0,-1,-1
Smarcd2,0,-1,-1
Smc1a,1,1,0
Smc3,-1,0,1
Smc4,-1,0,1
Smchd1,0,-1,-1
Smg7,0,-1,-1
Smg8,0,-1,-1
Smg9,0,-1,-1
Smim10l1,1,2,1
Smpd4,0,-1,-1
Snd1,-1,0,1
Snn,0,-1,-1
Snrnp200,-1,0,1
Snrnp40,-1,0,1
Snrpb,1,1,0
Snta1,0,-1,-1
Snw1,0,0,0
Snx11,1,1,0
Snx2,1,1,0
Snx25,1,1,0
Snx3,1,0,-1
Snx5,-1,0,1
Snx8,0,0,0
Sobp,0,-2,-2
Socs7,0,-1,-1
Sod2,0,-1,-1
Soga1,1,1,0
Son,-1,0,1
Sorcs3,-1,0,1
Sos1,0,1,1
Sos2,0,-1,-1
Sowahc,1,1,0
Sowahd,1,0,-1
Sox10,1,1,0
Sox13,0,-1,-1
Sp100,0,-1,-1
Sp4,1,1,0
Sp5,1,1,0
Sp9,-1,0,1
Spaca1,0,-1,-1
Spaca3,-1,0,1
Spast,0,-1,-1
Spata13,0,-1,-1
Spata31d1b,1,1,0
Spata45,1,1,0
Spata5,-1,0,1
Spata5l1,-1,0,1
Spata6,1,-1,-2
Speg,1,1,0
Spertl,0,-1,-1
Sphk2,0,-1,-1
Spice1,-1,0,1
Spocd1,-1,0,1
Spon2,1,1,0
Sppl3,1,1,0
Spred3,0,-1,-1
Sprtn,0,-2,-2
Spryd3,0,-1,-1
Sptbn2,0,0,0
Sptbn5,1,-1,-2
Srbd1,-1,0,1
Srcap,-1,0,1
Srcin1,-1,0,1
Sri,0,0,0
Srms,0,-1,-1
Srrm3,-2,0,2
Srsf12,1,1,0
Srsf2,0,-1,-1
Srsf6,-1,0,1
Ssc4d,-1,0,1
Ssc5d,-1,0,1
Sspn,1,1,0
Sstr5,1,1,0
St13,-1,0,1
St3gal6,1,1,0
Stac2,1,1,0
Stambp,-1,0,1
Stap2,0,-1,-1
Stard3,0,-1,-1
Stard4,0,0,0
Stard9,0,-2,-2
Stat2,0,-1,-1
Stat5a,0,-1,-1
Steap2,0,-1,-1
Stim2,-1,0,1
Stimate,-1,0,1
Stip1,0,0,0
Stk11ip,1,1,0
Stk25,0,-1,-1
Stk32b,1,1,0
Stk32c,0,-1,-1
Stk35,-1,0,1
Stk36,1,1,0
Stk39,0,-1,-1
Stk4,-1,0,1
Stn1,-1,0,1
Stoml2,0,-1,-1
Strc,1,0,-1
Stt3b,1,1,0
Stx17,0,-1,-1
Stxbp4,-1,0,1
Stxbp5l,-1,0,1
Sucla2,1,0,-1
Sugp2,-1,0,1
Sumf1,0,-1,-1
Sumf2,1,1,0
Sun1,0,-1,-1
Supt3,0,-1,-1
Svep1,-1,0,1
Svil,1,1,0
Svs1,0,-1,-1
Swsap1,0,-1,-1
Syne2,1,1,0
Syngr3,-1,0,1
Synj1,0,-1,-1
Synrg,0,-1,-1
Syp,1,1,0
Sypl,1,1,0
Syt16,0,-1,-1
Taar3,-1,0,1
Tacc2,-1,0,1
Tacr2,-1,0,1
Taf11,1,1,0
Taf2,-1,0,1
Taf4,0,-1,-1
Tafa2,1,1,0
Tapt1,1,1,0
Tarsl2,0,-1,-1
Tasor,0,-1,-1
Tasor2,0,-2,-2
Tbata,1,1,0
Tbc1d17,1,0,-1
Tbc1d22a,1,1,0
Tbc1d8b,-1,0,1
Tbc1d9,0,-1,-1
Tbcc,0,1,1
Tbck,1,1,0
Tbr1,1,1,0
Tbx2,0,-1,-1
Tbx21,0,0,0
Tbx22,0,-1,-1
Tcf7l2,0,1,1
Tcp11x2,0,0,0
Tcte2,-1,0,1
Tctex1d2,-1,0,1
Tdrd1,1,1,0
Telo2,1,1,0
Tenm1,1,1,0
Tenm4,0,0,0
Tent2,0,0,0
Tent4a,1,1,0
Tent4b,1,1,0
Tent5a,1,1,0
Terf1,1,1,0
Tes,0,-1,-1
Tesk1,0,-1,-1
Tet3,0,-1,-1
Tex15,1,1,0
Tex21,-1,0,1
Tex264,1,1,0
Tex37,1,1,0
Tex46,0,0,0
Tfam,0,0,0
Tfcp2,-1,0,1
Tfcp2l1,1,1,0
Tff3,0,-1,-1
Tg,0,1,1
Tgds,0,-1,-1
Thada,0,-1,-1
Thap12,1,1,0
Thbs1,1,1,0
Thbs4,0,-2,-2
Themis3,-1,0,1
Thoc3,-1,0,1
Thrap3,1,1,0
Ticam2,0,-1,-1
Tifa,0,-1,-1
Timp2,-1,0,1
Timp4,-1,0,1
Tinag,-1,0,1
Tinagl1,-1,0,1
Tldc2,0,-1,-1
Tlk2,-1,0,1
Tln2,0,-1,-1
Tlr13,1,0,-1
Tlr9,-1,0,1
Tlx2,1,1,0
Tm2d1,0,-1,-1
Tma16,-1,0,1
Tmcc2,1,1,0
Tmed1,-1,0,1
Tmed5,0,-1,-1
Tmem120b,-1,0,1
Tmem121b,0,0,0
Tmem126a,-1,0,1
Tmem132a,0,-1,-1
Tmem151a,0,0,0
Tmem151b,-1,0,1
Tmem178,-1,0,1
Tmem19,0,-1,-1
Tmem198,1,1,0
Tmem204,1,1,0
Tmem213,0,-1,-1
Tmem221,0,0,0
Tmem223,1,1,0
Tmem234,1,1,0
Tmem237,-1,0,1
Tmem238,0,0,0
Tmem30b,-1,0,1
Tmem33,-1,0,1
Tmem38b,1,1,0
Tmem40,-1,0,1
Tmem44,-1,0,1
Tmem63a,-2,-1,1
Tmem63c,-1,0,1
Tmem82,-1,0,1
Tmppe,1,1,0
Tmprss11a,0,-1,-1
Tmprss11e,-1,0,1
Tmprss3,0,-1,-1
Tnf,1,1,0
Tnfaip2,1,1,0
Tnfaip3,0,0,0
Tnfrsf11a,-1,0,1
Tnfrsf13c,-1,0,1
Tnfrsf19,1,1,0
Tnfrsf23,0,-1,-1
Tnks,-1,0,1
Tnks1bp1,0,-1,-1
Tnnc1,-1,0,1
Tns1,0,-1,-1
Tns2,1,1,0
Tob1,0,-1,-1
Tonsl,0,0,0
Tor1a,0,-2,-2
Tor1aip2,0,-1,-1
Tpp2,1,1,0
Tpsg1,-1,0,1
Trac,1,1,0
Traf5,1,0,-1
Traf7,1,1,0
Tram1,1,1,0
Trank1,0,-1,-1
Trap1,1,1,0
Trappc11,1,1,0
Trappc12,0,-1,-1
Trappc6a,1,1,0
Trav19,0,-1,-1
Trav4-4-dv10,-1,0,1
Trav6n-5,0,-2,-2
Trbv23,1,1,0
Trcg1,0,0,0
Trdmt1,1,1,0
Treh,-1,0,1
Trim11,1,1,0
Trim25,1,1,0
Trim27,1,1,0
Trim30a,0,0,0
Trim8,0,-1,-1
Trio,1,1,0
Trmt1l,-1,0,1
Trmt2b,-1,0,1
Trpc2,0,-1,-1
Trpm1,-1,1,2
Trpt1,0,0,0
Trpv1,0,-1,-1
Trpv4,-1,0,1
Trrap,1,2,1
Trub1,0,0,0
Tsc22d1,-1,0,1
Tsc22d2,0,-1,-1
Tsen2,0,0,0
Tshz2,1,1,0
Tsku,0,0,0
Tspan33,-1,0,1
Tspan4,0,-1,-1
Tspan8,-1,0,1
Tsr1,-1,1,2
Tsr3,-1,-1,0
Ttc21b,2,2,0
Ttc26,1,1,0
Ttc28,0,-1,-1
Ttc29,0,-1,-1
Ttc33,0,-1,-1
Ttc34,-1,0,1
Ttc37,1,1,0
Ttc6,0,-1,-1
Ttc7,2,2,0
Ttc9b,1,1,0
Ttf2,1,0,-1
Ttll10,-1,0,1
Ttll6,-1,0,1
Ttn,-1,-1,0
Tubg2,0,-1,-1
Tubgcp3,0,0,0
Tusc2,0,0,0
Tut7,-1,0,1
Twnk,0,-1,-1
Txlng,1,1,0
Txnl4b,0,-1,-1
Uaca,0,-1,-1
Uba2,1,1,0
Uba6,1,1,0
Ubac1,0,-1,-1
Ubac2,-1,0,1
Ubap1l,0,0,0
Ubash3a,-1,0,1
Ubash3b,0,0,0
Ube2cbp,0,0,0
Ube2q1,0,-1,-1
Ube2ql1,-1,0,1
Ube2w,0,0,0
Ube4b,-1,0,1
Ubfd1,-1,0,1
Ubn1,-1,0,1
Ubp1,0,-1,-1
Ubr1,0,-1,-1
Ubr4,-2,-1,1
Ubxn10,-1,-1,0
Ubxn2b,-1,0,1
Ubxn6,0,-1,-1
Uggt1,0,-1,-1
Uggt2,1,1,0
Uhmk1,0,-1,-1
Uhrf1bp1,1,1,0
Uhrf1bp1l,-1,0,1
Unc13a,1,0,-1
Unc13d,-2,-2,0
Unc79,-1,0,1
Unc93b1,-1,0,1
Unk,0,-1,-1
Upf2,-1,0,1
Upf3b,0,-1,-1
Uqcc2,-1,0,1
Uqcrq,0,1,1
Urb1,0,0,0
Usf2,-1,0,1
Ush1c,0,-1,-1
Ush2a,0,0,0
Usp24,-1,0,1
Usp32,0,1,1
Usp34,0,-2,-2
Usp39,0,-1,-1
Usp4,1,1,0
Usp45,1,1,0
Usp51,-1,0,1
Usp54,0,-1,-1
Utf1,-1,0,1
Utp15,-1,0,1
Utrn,0,0,0
Uvssa,-1,0,1
Vangl2,0,-1,-1
Vav2,0,-1,-1
Vax2,-1,0,1
Vcan,0,-1,-1
Vegfc,-1,1,2
Vgll1,-1,0,1
Vipr1,0,-1,-1
Virma,0,0,0
Vmn1r167,1,1,0
Vmn1r179,1,1,0
Vmn1r185,-1,0,1
Vmn1r67,-1,0,1
Vmn2r118,0,-1,-1
Vmn2r71,0,-1,-1
Vps13d,0,-1,-1
Vps26c,0,0,0
Vps35,0,-1,-1
Vps35l,-1,0,1
Vps36,-1,0,1
Vps4b,0,-1,-1
Vps53,0,-1,-1
Vsig10,0,-1,-1
Vsig10l,0,-1,-1
Vsig8,0,0,0
Vsx1,1,1,0
Vti1b,1,0,-1
Vwa2,1,1,0
Vwa5b1,0,-1,-1
Wars2,-1,0,1
Wasl,1,1,0
Wdfy3,0,-1,-1
Wdfy4,-1,-1,0
Wdpcp,0,-1,-1
Wdr17,0,-1,-1
Wdr19,1,1,0
Wdr33,1,1,0
Wdr35,1,1,0
Wdr43,-1,0,1
Wdr46,-1,-1,0
Wdr63,0,-2,-2
Wdr73,-1,0,1
Wdr75,-1,0,1
Wdr86,-1,0,1
Wdr91,-1,-1,0
Wdr92,1,1,0
Wdr95,-1,0,1
Wdsub1,0,-1,-1
Wdtc1,0,0,0
Wee1,1,1,0
Wee2,-1,0,1
Wfikkn2,0,-1,-1
Whamm,0,-1,-1
Wls,1,1,0
Wnt1,0,0,0
Wnt10a,0,-1,-1
Wrnip1,1,1,0
Wwc2,-1,0,1
Wwox,-1,0,1
Wwtr1,1,1,0
Xab2,0,0,0
Xlr4c,0,-1,-1
Xpnpep1,0,-1,-1
Xpr1,0,0,0
Xrcc1,0,1,1
Xrn2,1,1,0
Xxylt1,0,-1,-1
Xylb,0,-1,-1
Xylt1,0,1,1
Yaf2,-1,-1,0
Ydjc,-1,0,1
Yipf3,0,-1,-1
Ythdc2,1,1,0
Zbbx,-1,0,1
Zbtb10,0,-1,-1
Zbtb17,1,1,0
Zbtb45,1,1,0
Zbtb7a,0,1,1
Zbtb8b,-1,0,1
Zc3h4,1,1,0
Zc3h7a,0,-1,-1
Zc3hav1,0,-1,-1
Zcchc2,0,-1,-1
Zdhhc11,0,-1,-1
Zdhhc15,0,-1,-1
Zdhhc2,0,-1,-1
Zdhhc3,-1,0,1
Zeb2,0,-1,-1
Zfp143,0,-1,-1
Zfp148,0,-1,-1
Zfp26,0,-1,-1
Zfp276,-1,0,1
Zfp362,0,-1,-1
Zfp395,1,1,0
Zfp420,-1,0,1
Zfp462,0,-1,-1
Zfp512b,-1,0,1
Zfp516,0,-1,-1
Zfp518a,0,-1,-1
Zfp574,0,0,0
Zfp622,0,0,0
Zfp646,0,-1,-1
Zfp668,-1,-1,0
Zfp697,0,-1,-1
Zfp703,1,1,0
Zfp704,0,-1,-1
Zfp710,1,1,0
Zfp771,-2,0,2
Zfp784,-1,0,1
Zfp800,-1,0,1
Zfp827,1,0,-1
Zfp85,0,0,0
Zfp865,1,1,0
Zfp870,0,-1,-1
Zfp938,0,-1,-1
Zfp948,0,-1,-1
Zfp956,1,0,-1
Zfpm1,1,1,0
Zfr,0,-1,-1
Zfyve26,1,0,-1
Zgrf1,-1,0,1
Zhx3,0,-1,-1
Zkscan14,-1,0,1
Zkscan17,1,1,0
Zkscan5,1,1,0
Zmat4,1,1,0
Zmiz1,1,1,0
Zmym1,0,1,1
Zmym3,-1,0,1
Zmym4,-1,-1,0
Znhit3,-1,0,1
Znrf3,0,-1,-1
Zp2,0,-1,-1
Zpbp,-1,0,1
Zpld1,0,0,0
Zscan20,-1,0,1
Zswim2,0,-1,-1
Zswim5,0,-1,-1
Zswim8,1,1,0
Zyg11a,0,0,0
mt-Cytb,1,1,0
mt-Nd3,2,2,0
