SYMBOL,PBS_IR_DMXAA,Ure_IR,Ure_mock_IR,Ure_mock_IR_DMXAA,control,Difference_Ure_IR_vs_Ure_mock_IR,Difference_Ure_IR_vs_Ure_mock_IR_DMXAA,Difference_Ure_mock_IR_vs_Ure_mock_IR_DMXAA
Gm42416,0,1,0,0,0,1,1,0
Gm42957,0,1,0,0,0,1,1,0
Gm43720,0,1,0,0,0,1,1,0
Gm45837,1,2,1,1,0,1,1,0
Gm4985,0,1,0,0,0,1,1,0
Gm49987,0,1,0,0,0,1,1,0
Gm6013,0,1,0,0,0,1,1,0
Gnai3,0,1,0,0,0,1,1,0
Gsg1l,0,1,0,0,0,1,1,0
Golga4,0,1,2,0,0,-1,1,2
Gpatch11,0,1,0,0,0,1,1,0
Gpd2,0,1,0,0,0,1,1,0
Gper1,0,1,0,0,0,1,1,0
Gpr89,0,1,0,0,0,1,1,0
Gprc6a,0,1,0,0,0,1,1,0
Grasp,0,1,0,0,0,1,1,0
Greb1,0,1,0,0,0,1,1,0
Grm1,0,1,0,0,0,1,1,0
Grm6,0,1,0,0,0,1,1,0
Grpel2,0,1,0,0,0,1,1,0
Gnat2,0,1,0,0,0,1,1,0
Kdm2a,0,1,0,0,0,1,1,0
Khdrbs2,0,1,0,0,0,1,1,0
Kif16b,0,1,0,0,0,1,1,0
Kif1b,0,1,0,0,0,1,1,0
Kif26b,0,1,0,0,0,1,1,0
Kirrel3,0,1,0,0,0,1,1,0
Klc4,0,1,0,0,0,1,1,0
Klhdc3,0,2,0,1,0,2,1,-1
Klhl42,0,1,0,0,0,1,1,0
Krt73,0,1,0,0,0,1,1,0
Hsd17b2,0,1,0,0,0,1,1,0
Krt82,0,1,0,0,0,1,1,0
Abhd17c,0,1,0,0,0,1,1,0
Lama5,0,1,0,0,0,1,1,0
Lcn8,0,1,0,0,0,1,1,0
Ldah,0,1,0,0,0,1,1,0
Lep,0,1,0,0,0,1,1,0
Lifr,0,1,0,0,0,1,1,0
Lix1l,1,1,0,0,0,1,1,0
Lmbrd1,0,1,0,0,0,1,1,0
Lmf2,0,1,0,0,0,1,1,0
Lmtk3,0,1,0,0,0,1,1,0
Krt80,0,1,0,0,0,1,1,0
Hspa12b,0,1,0,0,0,1,1,0
Htr7,0,1,0,0,0,1,1,0
Hyou1,0,1,0,0,0,1,1,0
Ighv1-83,0,1,0,0,0,1,1,0
Igkv2-137,0,1,0,0,0,1,1,0
Il1f6,0,1,0,0,0,1,1,0
Ildr2,0,1,1,0,0,0,1,1
Inafm1,0,1,0,0,0,1,1,0
Ino80,0,1,0,0,0,1,1,0
Ino80d,0,1,0,0,0,1,1,0
Kctd12b,0,1,0,0,0,1,1,0
Invs,0,1,0,0,0,1,1,0
Ip6k3,0,1,0,0,0,1,1,0
Iqgap3,0,1,0,0,0,1,1,0
Irf4,0,1,0,0,0,1,1,0
Irf5,0,1,0,0,0,1,1,0
Isg20,0,1,0,0,0,1,1,0
Itga4,0,1,0,0,0,1,1,0
Itln1,0,1,0,0,0,1,1,0
Itpka,0,1,0,0,0,1,1,0
Itpripl2,0,1,0,0,0,1,1,0
Kbtbd11,0,2,0,1,0,2,1,-1
Inpp5f,0,1,0,0,0,1,1,0
Efcab2,0,1,0,0,0,1,1,0
Efr3b,0,1,0,0,0,1,1,0
Eftud2,0,1,0,0,0,1,1,0
Ei24,0,1,0,0,0,1,1,0
Eif2ak2,0,1,0,0,0,1,1,0
Eif2b1,0,1,0,0,0,1,1,0
Eif4g3,0,1,0,0,0,1,1,0
Elfn2,0,1,0,0,0,1,1,0
Elk1,0,1,0,0,0,1,1,0
Elob,0,1,0,0,0,1,1,0
Gm16589,1,1,0,0,0,1,1,0
Emid1,0,1,0,0,0,1,1,0
Eml1,0,1,0,0,0,1,1,0
Eno2,0,1,0,0,0,1,1,0
Eno4,0,1,0,0,0,1,1,0
Enpp7,0,1,0,0,0,1,1,0
Entpd7,0,1,0,0,0,1,1,0
Ep300,1,2,0,1,0,2,1,-1
Epas1,0,1,0,0,0,1,1,0
Epg5,0,1,0,0,0,1,1,0
Eprs,0,1,0,0,0,1,1,0
Epx,0,1,0,0,0,1,1,0
Emc3,0,1,0,0,0,1,1,0
Disc1,0,1,1,0,0,0,1,1
Dlgap2,0,1,0,0,0,1,1,0
Dlx5,0,1,0,0,0,1,1,0
Dmrt1,0,1,1,0,0,0,1,1
Dmxl2,0,1,0,0,0,1,1,0
Dnah11,0,1,0,0,0,1,1,0
Dnm1,0,1,0,0,0,1,1,0
Dock1,0,1,0,0,0,1,1,0
Dop1b,0,1,0,0,0,1,1,0
Dppa4,0,1,0,0,0,1,1,0
Eef1aknmt,0,1,0,0,0,1,1,0
Dscaml1,0,1,0,0,0,1,1,0
Dus2,0,1,0,0,0,1,1,0
Dusp22,0,1,0,0,0,1,1,0
Dusp8,0,1,0,0,0,1,1,0
Dynlt3,0,1,0,0,0,1,1,0
Dyrk2,0,1,0,0,0,1,1,0
E030030I06Rik,0,3,1,2,0,2,1,-1
Ebf4,0,1,0,0,0,1,1,0
Ecel1,0,1,0,0,0,1,1,0
Ecpas,0,1,0,0,0,1,1,0
Edaradd,0,1,0,0,0,1,1,0
Drc3,0,1,0,0,0,1,1,0
Fmn2,0,1,1,0,0,0,1,1
Fmr1,0,1,0,0,0,1,1,0
Fndc1,0,1,0,0,0,1,1,0
Foxc1,0,1,0,0,0,1,1,0
Foxk1,0,1,0,0,0,1,1,0
Foxq1,0,1,1,0,0,0,1,1
Frg1,0,1,0,0,0,1,1,0
Fscn1,0,1,0,0,0,1,1,0
Galns,0,1,0,0,0,1,1,0
Galnt9,0,1,0,0,0,1,1,0
Erbb2,0,1,0,0,0,1,1,0
Garem1,0,1,0,0,0,1,1,0
Gatad1,0,1,0,0,0,1,1,0
Gcnt4,0,1,0,0,0,1,1,0
Gdpd4,0,1,0,0,0,1,1,0
Gem,0,1,0,0,0,1,1,0
Ggt5,0,1,0,0,0,1,1,0
Gh,0,1,0,0,0,1,1,0
Glg1,0,1,0,0,0,1,1,0
Gm1043,0,1,2,0,0,-1,1,2
Gm10804,0,1,0,0,0,1,1,0
Gm15114,0,1,0,0,0,1,1,0
Gan,0,1,0,0,0,1,1,0
Ercc3,0,1,0,0,0,1,1,0
Ercc5,0,1,0,0,0,1,1,0
Ercc6,0,1,0,0,0,1,1,0
Evc2,0,1,0,0,0,1,1,0
Evl,0,1,0,0,0,1,1,0
Ezh2,0,1,0,0,0,1,1,0
Fam102b,0,1,0,0,0,1,1,0
Fam117a,0,1,0,0,0,1,1,0
Fam120a,0,1,0,0,0,1,1,0
Fam120c,0,1,1,0,0,0,1,1
Fam124a,0,1,0,0,0,1,1,0
Fktn,0,1,0,0,0,1,1,0
Fam222a,0,1,0,0,0,1,1,0
Fam83e,1,1,0,0,0,1,1,0
Fat4,0,1,0,0,0,1,1,0
Fbxl18,0,1,0,0,0,1,1,0
Fbxo17,0,1,0,0,0,1,1,0
Fbxo2,0,1,0,0,0,1,1,0
Fbxo22,0,1,0,0,0,1,1,0
Fbxo4,0,1,0,0,0,1,1,0
Fbxw2,0,1,0,0,0,1,1,0
Fh1,0,1,0,0,0,1,1,0
Fhod3,0,1,0,0,0,1,1,0
Fam184b,0,1,0,0,0,1,1,0
