GO:0002921,negative regulation of humoral immune response,"4/711, 4/865",19/28905,0.210526316,"8.55873861869864, 7.0349863097049","5.23380878289711, 4.62176021348512","0.00104805006779293, 0.00215584811668757","0.0169636059300015, 0.0257114982241495","0.0136281368627506, 0.0202049564342506","14130/17174/12269/13137, 14130/17174/232345/12269",4,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050777,negative regulation of immune response,"21/711, 21/865",241/28905,0.087136929,"3.54246546562319, 2.91178375266831","6.29405615384929, 5.23452060274525","6.43633552489629e-07, 1.3398389521916e-05","4.56196777620106e-05, 0.000507734131963573","3.66497084841915e-05, 0.000398994485932778","14990/17082/17381/14728/83433/14130/17174/12825/109648/15951/246730/380924/11846/16854/23960/16160/12519/12269/240873/381308/13137, 14990/17082/16197/83433/17381/14728/217303/14130/109648/15951/17174/16854/77772/232345/23960/380924/20371/246727/240873/12269/16160",21,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0050728,negative regulation of inflammatory response,"15/711, 17/865",172/28905,"0.0872093023255814, 0.0988372093023256","3.54540771268767, 3.30276246807367","5.31699827814769, 5.3201135628035","2.48397587748735e-05, 1.74513273633625e-05","0.0010307783370017, 0.000622667581166957","0.000828101543373702, 0.00048931303966884","83433/14130/17242/16000/11433/109648/57781/18784/81799/19695/11486/16160/27052/329731/16678, 353187/83433/11433/14130/109648/217166/16000/27052/57781/16184/18784/17242/16678/20371/20186/237310/16160","15, 17","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0002862,negative regulation of inflammatory response to antigenic stimulus,"4/711, 4/865",18/28905,0.222222222,"9.03422409751524, 7.42581888246628","5.41457532838543, 4.78973554689931","0.000843728759398081, 0.00174292903538874","0.0145201384127243, 0.0224384206501142","0.0116651161534422, 0.0176328624546321",83433/14130/109648/16160,4,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0032693,negative regulation of interleukin-10 production,"4/711, 8/865",22/28905,"0.181818181818182, 0.363636363636364","7.39163789796701, 12.1513399894903","4.76253061400708, 9.18999490752652","0.00186555343216362, 1.37216513120663e-07","0.0240314190640248, 1.32937623858681e-05","0.0193062412179374, 1.04466837176164e-05","14728/14130/19074/16160, 13388/14728/12523/14130/20371/19074/15930/16160","4, 8","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0071659,negative regulation of IP-10 production,"3/711, 3/865",11/28905,0.272727273,"11.0874568469505, 9.11350499211771","5.31385408955453, 4.72714625626397","0.00210978587789055, 0.00368105790976247","0.0263209390038265, 0.035300594118314","0.0211455842926566, 0.0277403891459651","14728/246730/23960, 14728/23960/246727",3,"Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0002695,negative regulation of leukocyte activation,"10/373, 7/232, 17/711, 26/865",221/28905,"0.0452488687782805, 0.0316742081447964, 0.0769230769230769, 0.117647058823529","3.50648405371635, 3.94630597597129, 3.12723141837066, 3.93131587895274","4.2766972601837, 3.95494570704313, 5.04111315140045, 7.68310774970976","0.000639283845983428, 0.00213592866863528, 3.72067048580798e-05, 3.16886911695289e-09","0.0416599972965867, 0.0446765079856213, 0.00134945296485226, 5.95620639222466e-07","0.0377261585425747, 0.038409243602652, 0.0010841167715601, 4.68058646832453e-07","18782/100039795/14990/240754/12578/93695/234199/217166/18784/12477, 242248/15507/217166/11846/76747/12477/13035, 18782/14990/100039795/14728/14130/17242/13035/12578/93695/18784/11846/16854/100043314/12519/240873/329731/234199, 18782/14990/100039795/14728/12523/15507/217303/12578/14130/217166/93695/57916/208154/16184/242248/18784/17242/240754/16854/234199/13035/100043314/12477/20371/240873/15930","10, 7, 17, 26","Ure_RT_vs_Ure, Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:1903038,negative regulation of leukocyte cell-cell adhesion,"9/373, 15/711, 21/865",179/28905,"0.0502793296089385, 0.0837988826815642, 0.11731843575419","3.89631105186694, 3.40676048369988, 3.92033454968192","4.44428008904693, 5.1292897956141, 6.88366247134558","0.000558793139602211, 3.95772035259874e-05, 1.07023438040818e-07","0.0371894668228876, 0.00138967051735604, 1.11756252300845e-05","0.033677767943327, 0.00111642654768129, 8.78218059993427e-06","18782/100039795/14990/240754/12578/93695/234199/18784/12477, 18782/14990/100039795/14728/17242/13035/12578/93695/18784/11846/16854/100043314/12519/240873/234199, 18782/14990/100039795/14728/15507/217303/12578/93695/208154/16184/18784/17242/240754/16854/234199/13035/100043314/12477/20371/240873/15930","9, 15, 21","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:1902106,negative regulation of leukocyte differentiation,"9/711, 14/865",125/28905,"0.072, 0.112","2.92708860759494, 3.74261271676301","3.42883607241414, 5.39724484815928","0.00381921249430469, 2.35833609447608e-05","0.0395925028576253, 0.000764263538478834","0.0318076268635952, 0.000600583885257502","12262/14728/17242/18729/100038909/12578/18722/18725/240873, 18729/100038909/14728/15507/12262/12578/18733/18722/17242/18725/12477/20371/100041146/240873","9, 14","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
GO:0070664,negative regulation of leukocyte proliferation,"10/711, 15/865",128/28905,"0.078125, 0.1171875","3.1760944092827, 3.91595917630058","3.91827927042622, 5.80713188456616","0.00128011633538128, 6.99710633921014e-06","0.0191533557534367, 0.0003044389137773","0.0153873271205353, 0.000239238294716853","18782/14990/14728/14130/12578/93695/18784/11846/20293/12519, 18782/14990/14728/217303/12578/14130/93695/57916/208154/16184/18784/12477/20371/15930/20293","10, 15","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
