"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","16/865","144/28905",0.111111111111111,3.71290944123314,5.73208438601908,6.98562103512132e-06,0.0003044389137773,0.000239238294716853,"14990/12774/22418/16193/12523/19204/15507/14130/21897/100689/56644/69165/20296/23960/246727/16160",16
"GO:0002448","mast cell mediated immunity","11/865","70/28905",0.157142857142857,5.25111478117258,6.25446111355749,6.99325782891636e-06,0.0003044389137773,0.000239238294716853,"243978/233231/14126/14125/225642/243979/12523/217303/56743/100689/214084",11
"GO:0007622","rhythmic behavior","11/865","70/28905",0.157142857142857,5.25111478117258,6.25446111355749,6.99325782891636e-06,0.0003044389137773,0.000239238294716853,"353187/18628/16193/16490/217166/13654/18143/381413/19218/13653/11657",11
"GO:0070664","negative regulation of leukocyte proliferation","15/865","128/28905",0.1171875,3.91595917630058,5.80713188456616,6.99710633921014e-06,0.0003044389137773,0.000239238294716853,"18782/14990/14728/217303/12578/14130/93695/57916/208154/16184/18784/12477/20371/15930/20293",15
"GO:0010466","negative regulation of peptidase activity","22/865","251/28905",0.0876494023904383,2.92890864288511,5.39080862907339,7.66710362321779e-06,0.000330529540600921,0.000259741183102347,"15511/235505/18787/192200/15951/20716/13012/238393/213945/209351/20713/55948/14080/232345/16199/16625/217847/71869/628900/21857/385643/17940",22
"GO:0002687","positive regulation of leukocyte migration","18/865","179/28905",0.100558659217877,3.36028675687022,5.563546605183,7.84547950726225e-06,0.000335144620042048,0.000263367867095464,"114332/12267/18787/22418/83433/84094/19204/20344/20339/12061/17242/20296/15945/19218/16854/240873/20293/20306",18
"GO:0052547","regulation of peptidase activity","31/865","434/28905",0.0714285714285714,2.38687035507845,5.11301883419491,8.6072673584949e-06,0.000363686160754916,0.000285796765701156,"15511/235505/18787/12578/192200/13038/15951/20716/13012/238393/326623/213945/13033/56644/209351/13039/637515/20713/55948/14080/232345/16199/16625/217847/71869/628900/21857/70835/385643/17940/20202",31
"GO:0002685","regulation of leukocyte migration","22/865","253/28905",0.0869565217391304,2.90575521487811,5.34746473924449,8.69858802447847e-06,0.000363686160754916,0.000285796765701156,"114332/12267/18787/22418/83433/84094/19204/217303/20344/57781/20339/12061/17242/118453/20296/15945/19218/16854/240873/20293/26887/20306",22
"GO:0097553","calcium ion transmembrane import into cytosol","19/865","198/28905",0.095959595959596,3.20660360833771,5.47218835878004,8.74580467446384e-06,0.000363686160754916,0.000285796765701156,"12774/17918/14126/14219/12286/14065/11549/620592/12061/14724/15945/12290/14811/17329/12478/239556/329693/12287/80982",19
"GO:0007599","hemostasis","18/865","181/28905",0.0994475138121547,3.32315651646281,5.50672415262607,9.15526150044196e-06,0.000374754942255903,0.000294494984920355,"18787/21990/14728/16193/100503895/19124/14069/20344/15442/14065/14724/234199/13035/217847/20533/385643/11553/20202",18
