Sample,Infiltration score,B cell,NK,T cell,B1 cell,Follicular B cell,Germinal center B cell,Marginal zone B cell,Memory B cell,CD4 T,CD8 T,NKT,Treg,CD8 cytotoxic,CD8 effector memory,CD8 exhausted,Naive CD8 T,
PBS_IR_DMXAA,2.169,0.2334,0.1333,0.0398,0,0.0131,0.0374,0,0.0705,0.0104,0.0171,0.0015,0.0012,0.0043,0.0023,5.00E-04,0.0039,
Ure,1.069,0.2317,0.2454,0.0632,0,0.0174,0.0344,0,0.084,0.0131,0.0223,0.0127,0.0018,0.0046,0.0022,0.0012,0.0056,
Ure_DMXAA,2.734,0.2927,0.2022,0.1329,0.0226,0.0474,0.0191,0.0023,0.1083,0.0284,0.0349,0.0228,0.0052,0.0065,0.0039,0.0024,0.0093,
Ure_IR,2.494,0.2522,0.1862,0.0633,0,0.0256,0.0186,0,0.0861,0.0105,0.0288,0.0117,0.0013,0.0072,0.0035,8.00E-04,0.0069,
Ure_IR_DMXAA,3.663,0.2685,0.1414,0.0572,0,0.037,0.0174,0,0.0983,0.0105,0.0213,0.0137,0.0011,0.0054,0.0023,0.0012,0.0048,
p value,0.36,0.08,NA,0.74,NA,0.61,NA,0.96,NA,NA,0.01,NA,0.09,NA,NA,0.08,NA,
