"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Source"
"GO:0006816","calcium ion transport","13/232, 22/711, 31/865","451/28905","0.028824834, 0.0487804878048781, 0.0687361419068736","3.59130094, 1.9831223628692, 2.29689963215975","4.989084497, 3.34163960329211, 4.8755206228591","8.03e-05, 0.00199996611873669, 1.82750275630068e-05","0.003518514, 0.0254615569619285, 0.000636106329767179","0.003024933, 0.0204551782473438, 0.000499873658409575","12478/20190/233081/12372/239556/11937/12292/18125/12482/12335/11827/18386/14811, 12774/20307/14126/15945/217154/16000/14652/17329/20856/14065/56089/19218/12061/16854/11937/20190/12372/12292/80982/68460/20617/237611, 54409/12774/17918/18787/18751/14126/20307/217154/14219/12523/12286/68279/16000/20856/14065/11549/620592/12061/14724/15945/19218/16854/12290/58226/14811/17329/12478/239556/329693/12287/80982","13, 22, 31","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0006817","phosphate ion transport","5/711, 5/865","28/28905","0.178571428571429","7.25964436407474, 5.96717588769612","5.26245101229542, 4.61860202077534","0.000545583905935465, 0.00131521938882819","0.0101083928784809, 0.0181238003170196","0.0081208300982018, 0.014242289291586","19886/20856/56857/64654/72961, 20856/19886/56857/64654/20379","5","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0006836","neurotransmitter transport","14/711, 20/865","229/28905","0.0611353711790393, 0.0873362445414847","2.48539789582297, 2.91844410227932","3.58374158860678, 5.11924162374265","0.0017153196253037, 2.0643985778081e-05","0.0227006129135937, 0.000692900636937161","0.0182371048308565, 0.000544504527139158","19894/20965/109648/545192/214084/16513/18189/243328/27062/110877/13447/116837/20617/72961, 21366/20965/18751/19894/18166/18212/12286/109648/18442/67847/18190/214084/110877/12290/16513/208898/20964/27062/12287/116837","14, 20","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0006837","serotonin transport","6/711, 5/865","32/28905","0.1875, 0.15625","7.62262658227848, 5.2212789017341","5.95243591838581, 4.19634420743013","0.00011384642278367, 0.00244187119815265","0.00309739842138369, 0.0281234136277433","0.00248837244741871, 0.0221003203382856","14125/214084/16854/243328/110877/20617, 14125/217303/214084/110877/16854","6, 5","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0006869","lipid transport","24/711, 26/865","447/28905","0.0536912751677852, 0.058165548098434","2.18276555376207, 1.94367071420258","4.00207910708294, 3.53158834441509","0.000337600227836663, 0.00108145328743334","0.00727678906931105, 0.0159151784587537","0.00584599039656713, 0.0125066802641789","28250/18782/68453/83433/16323/18778/228432/78896/20288/19156/18784/225579/20608/20750/14080/238055/74152/381524/75497/75704/63954/319767/74591/237625, 18782/28250/68453/18126/83433/16891/16323/228432/16889/18442/20288/20750/225579/19156/74152/18784/78896/14080/20608/13124/75497/20186/381524/238055/213948/20533","24, 26","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0006874","intracellular calcium ion homeostasis","9/232, 21/711, 23/865","328/28905","0.027439024, 0.0640243902439024, 0.0701219512195122","3.418642241, 2.60284810126582, 2.34320809248555","3.962658415, 4.63613846656416, 4.29704525416273","0.001412284, 7.26212236793116e-05, 0.000158201430479692","0.032778497, 0.00219578338819252, 0.00371694260912037","0.028180297, 0.00176403747285345, 0.00292089799011979","12478/20190/12372/11937/12292/12335/116903/268878/17306, 12774/20307/14126/15945/20296/14652/109648/17329/20856/14065/19228/17306/12061/20750/11937/20190/12372/12292/80982/68460/20617, 12774/17918/22418/18751/14126/18166/20307/109648/20856/18442/14065/20750/12061/20296/14724/15945/19228/17329/12478/268878/116903/329693/80982","9, 21, 23","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0006887","exocytosis","14/373, 26/711, 37/865","394/28905","0.0355329949238579, 0.065989847715736, 0.0939086294416244","2.75356894979655, 2.68275182591189, 3.13806813180364","4.00711692695198, 5.34069016194769, 7.50518582374341","0.000669550128633248, 6.17087859549794e-06, 1.05212664115827e-09","0.0427418939258122, 0.000308827648331012, 2.60207530884354e-07","0.0387058946541798, 0.000248104411044642, 2.0447979264173e-07","233231/243978/20965/21990/14126/14125/243979/19894/20307/109648/208898/74463/116837/230899, 14125/20307/14126/243978/21990/243979/233231/19204/225642/19894/20965/74463/109648/545192/16414/56807/214084/110058/57394/27062/68891/13447/116837/20617/74591/237625, 20965/243978/233231/17918/21990/18751/14126/19894/18166/14125/20307/225642/243979/12523/12286/19204/16414/217303/109648/74463/56807/56743/18442/110058/214084/12290/58226/246256/208898/20964/27062/68891/239556/328778/12287/116837/57394","14, 26, 37","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0006910","phagocytosis, recognition","4/373, 7/865","32/28905","0.125, 0.21875","9.68666219839142, 7.30979046242775","5.62146161482102, 6.27251912832137","0.000737385118539431, 3.67085129915025e-05","0.0450380104756186, 0.00107808314091919","0.0407851952449487, 0.000847193839303888","16016/83433/100689/18784, 83433/100689/56644/18784/69165/16016/12269","4, 7","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0006935","chemotaxis","35/711, 38/865","465/28905","0.0752688172043011, 0.0817204301075269","3.05997912980355, 2.73078500839083","7.1114789325233, 6.6084989994151","6.11314504994077e-09, 2.82154652854618e-08","1.40087544986537e-06, 3.31461178440962e-06","1.12542831030212e-06, 2.60473295319473e-06","12774/12267/20307/20210/83433/15945/20296/17242/19204/17390/270190/13035/13123/17329/16414/16948/55985/18705/268902/20306/20308/16854/20750/73710/53416/20302/20293/12642/12777/252837/20305/319476/93726/240873/330122, 12267/12774/18787/22418/13123/83433/20210/20307/268902/19204/15507/13655/16414/270190/20750/17242/118453/20308/20296/20305/12642/20311/15945/16854/17329/227288/22422/13035/12777/93726/330122/240873/20301/20293/58218/12771/20202/20306","35, 38","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0006936","muscle contraction","24/232, 29/711","324/28905","0.074074074, 0.0895061728395062","9.228927203, 3.63878470594364","13.39872319, 7.58530730924087","2.25e-16, 2.68453853627273e-09","6.21e-13, 8.3489148478082e-07","5.34e-13, 6.70730944062729e-07","17885/17879/21953/17882/17907/21957/11486/20190/21925/109272/12372/233199/17897/11937/17884/110880/12292/17901/11474/18125/320502/12723/228785/18167, 19204/217154/17897/17885/17907/17879/109272/21953/17884/21957/21925/19218/17882/11474/11486/11937/21336/320502/20190/12372/17901/544791/12292/12845/11553/17930/72821/237611/12723","24, 29","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA"
"GO:0006937","regulation of muscle contraction","12/232, 13/711","167/28905","0.071856287, 0.0778443113772455","8.952612017, 3.16468329164456","9.270991008, 4.45512359980939","1.18e-08, 0.000264646418588134","2.17e-06, 0.00593953869346771","1.87e-06, 0.00477167687991519","21957/11486/20190/21925/12372/17897/11937/110880/12292/11474/228785/18167, 19204/17897/21957/21925/19218/11474/11486/11937/21336/20190/12372/12292/11553","12, 13","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA"
"GO:0006941","striated muscle contraction","15/232, 15/711","178/28905","0.084269663, 0.0842696629213483","10.49920089, 3.42589958754089","11.43505705, 5.15552754501543","1.76e-11, 3.70873059460831e-05","1.62e-08, 0.00134945296485226","1.39e-08, 0.0010841167715601","17885/21953/21957/20190/21925/12372/17897/11937/110880/12292/17901/11474/18125/320502/228785, 217154/17897/17885/21953/21957/21925/11474/11937/320502/20190/12372/17901/12292/72821/237611","15","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA"
"GO:0006949","syncytium formation","6/373, 7/711, 7/865","70/28905","0.0857142857142857, 0.1","6.64228265032555, 4.06540084388186, 3.34161849710983","5.40394802081939, 4.07766686087934, 3.44511089134146","0.000290104498796631, 0.00165685634308733, 0.00490287434681388","0.0232678685188683, 0.0222652855487724, 0.0425066541617683","0.0210707478073343, 0.0178873737104588, 0.0334031524735349","23886/235505/83433/20307/17329/226841, 20307/83433/15945/235505/17329/23886/12292, 235505/83433/20307/23886/15945/226841/17329","6, 7","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0006953","acute-phase response","9/711, 9/865","44/28905","0.204545454545455","8.31559263521289, 6.83512874408828","7.71179705016093, 6.80329208373269","1.02866668996121e-06, 5.11059577747314e-06","6.39830681155873e-05, 0.000240146895583463","5.14023971540016e-05, 0.000188715473551324","12774/20210/16193/20716/18406/19695/18405/19218/16181, 12774/20210/16193/14069/20716/18406/19218/16181/18405","9","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0006956","complement activation","7/373, 13/711, 15/865","67/28905","0.104477611940299, 0.194029850746269, 0.223880597014925","8.09631467328238, 7.88809118962151, 7.48123544129066","6.64897929216337, 8.96373786440505, 9.32847504676013","2.51861503186961e-05, 8.09958190566533e-09, 9.94777799395418e-10","0.00437679323316008, 1.57388857036115e-06, 2.59692271075504e-07","0.00396350470804745, 1.26442272545756e-06, 2.04074884226849e-07","404711/625018/238447/16016/83433/380795/12630, 12268/12259/12262/12260/625018/404711/83433/238447/17174/16016/12269/13137/16678, 12268/83433/404711/625018/12259/16019/12260/12262/238447/17174/16016/232345/16678/12630/12269","7, 13, 15","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0006958","complement activation, classical pathway","6/373, 9/711, 10/865","42/28905","0.142857142857143, 0.214285714285714, 0.238095238095238","11.0704710838759, 8.71157323688969, 7.95623451692816","7.46742689811017, 7.94204466041142, 7.92366578347994","1.57180124954621e-05, 6.76032376870634e-07, 3.37640690915764e-07","0.00307287144286284, 4.56196777620106e-05, 2.51837080414789e-05","0.00278270865955846, 3.66497084841915e-05, 1.97902012319549e-05","404711/238447/16016/83433/380795/12630, 12259/12262/12260/404711/83433/238447/16016/12269/13137, 83433/404711/12259/16019/12260/12262/238447/16016/12630/12269","6, 9, 10","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0006959","humoral immune response","20/373, 10/232, 32/711, 40/865","339/28905","0.0589970501474926, 0.029498525, 0.0943952802359882, 0.117994100294985","4.57187596384256, 3.675236497, 3.83754651929851, 3.94291268095555","7.56377819698957, 4.456805826, 8.34552284443626, 9.5730545332442","2.18477693796309e-08, 0.000445377, 1.04477069489178e-10, 1.70408380249163e-13","9.76283180278362e-06, 0.014103327, 3.79077633796566e-08, 1.14392711255831e-10","8.84095449632882e-06, 0.012124898, 3.04541492905734e-08, 8.98936237464755e-11","404711/16069/625018/238447/16016/83433/14990/20307/16447/77705/109648/192200/100689/17329/380795/20311/330122/21926/12630/12945, 14128/12775/209232/100689/69169/11535/20311/192200/232345/13035, 12268/12259/12262/20307/12260/14990/625018/404711/16069/83433/15945/14130/238447/17174/13035/109648/17329/18778/55985/100034251/16447/19695/16854/66107/16016/12269/330122/12945/13137/209232/192200/16678, 12268/14990/83433/404711/625018/12259/16019/20307/14128/12260/12262/16069/14130/109648/192200/238447/16447/17174/100689/100034251/20311/15945/16016/16854/66107/17329/26909/232345/13035/16678/12945/12630/330122/12269/209232/20301/100039863/100040048/385643/20202","20, 10, 32, 40","Ure_RT_vs_Ure, Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0007159","leukocyte cell-cell adhesion","17/373, 13/232, 29/711, 42/865","445/28905","0.0382022471910112, 0.029213483, 0.0651685393258427, 0.0943820224719101","2.96041811007019, 3.639722976, 2.64936234769829, 3.1538871208677","4.76517161289148, 5.047860093, 5.56819018751825, 8.04236020142301","7.75740526784026e-05, 7.02e-05, 2.33685945218326e-06, 6.67436884209488e-11","0.00972041321640334, 0.003280342, 0.000133877448089552, 2.61357159908365e-08","0.0088025413801795, 0.002820173, 0.000107553794454363, 2.05383209632183e-08","18782/11519/100039795/14990/240754/12578/16000/93695/234199/381091/21926/18784/20296/16193/12477/15117/20339, 12775/15002/15505/15519/15507/20343/11486/13655/72049/11846/76747/12477/13035, 18782/14990/100039795/16193/11519/14728/20339/20344/20296/17242/19204/16000/13035/12578/93695/16414/18784/11846/16854/11486/100043314/16160/12519/68891/240873/15117/13137/234199/26887, 18782/14990/11519/100039795/16197/14728/15519/16193/15505/19204/15507/13655/16414/217303/12578/93695/16000/20344/208154/16184/20339/18784/17242/108078/20296/381091/240754/16854/234199/13035/100043314/12477/76905/20371/21950/68891/240873/15930/20533/16160/26887/20202","17, 13, 29, 42","Ure_RT_vs_Ure, Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0007162","negative regulation of cell adhesion","26/711, 31/865","342/28905","0.0760233918128655, 0.0906432748538012","3.09065561230784, 3.02895243890072","6.17630975496564, 6.62950394253865","4.5164297033003e-07, 5.32477437288392e-08","3.44991840845079e-05, 5.68661699504126e-06","2.77157819096341e-05, 4.46873409092746e-06","18782/21923/14990/100039795/17381/14728/17242/17390/12842/13035/11433/12578/93695/18784/11846/13844/16854/100043314/13131/386463/12519/16181/30060/240873/74591/234199, 18782/14990/100039795/18787/17381/14728/21923/15507/11433/217303/12578/93695/208154/12842/16184/13131/18784/17242/240754/16854/234199/16181/13035/100043314/12477/68396/20371/240873/15930/385643/30060","26, 31","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","18/711, 17/865","244/28905","0.0737704918032787, 0.069672131147541","2.99906619630629, 2.32817682175685","4.97979937047908, 3.65934337928581","3.8621459955983e-05, 0.00116485518919614","0.00136713688331992, 0.0166372478238074","0.00109832358950562, 0.0130741065547914","15945/14652/17329/19222/381413/19228/19156/56089/12669/19218/20608/23984/207728/94226/76943/22095/11553/14160, 54409/18162/19222/11549/19156/207728/381413/14744/15945/12669/19218/19228/17329/23984/20608/116903/11553","18, 17","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","13/711, 12/865","160/28905","0.08125, 0.075","3.30313818565401, 2.50621387283237","4.63910559162425, 3.35554835446266","0.000173512004004145, 0.00325215325595078","0.00412825828106037, 0.0332214524993754","0.00331653948407118, 0.0261065300271746","15945/14652/17329/19222/19228/56089/19218/20608/23984/94226/22095/11553/14160, 54409/19222/11549/14744/15945/19218/19228/17329/23984/20608/116903/11553","13, 12","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0007204","positive regulation of cytosolic calcium ion concentration","13/711, 15/865","200/28905","0.065, 0.075","2.64251054852321, 2.50621387283237","3.70151758147981, 3.75423011314438","0.00143668995376928, 0.0010690749818767","0.0204423139173577, 0.0158472660562733","0.0164228438815801, 0.0124533124237871","12774/12267/14652/55985/19222/19228/19218/20302/12777/252837/21336/330122/13137, 12267/12774/19222/12286/18442/11549/54140/19218/19228/227288/12777/330122/239556/385643/12771","13, 15","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0007517","muscle organ development","18/232, 26/711","385/28905","0.046753247, 0.0675324675324675","5.825011196, 2.74546550495918","8.573148154, 5.47522916872649","2.64e-09, 4.0792169523858e-06","5.2e-07, 0.000213986874827563","4.47e-07, 0.00017191170491792","353187/18507/11865/59011/17907/11459/20190/13717/17897/12292/18740/66211/11474/320502/228003/16716/17681/228785, 16193/17897/270190/12825/17907/16948/59011/17263/11459/228003/11474/320502/20190/69852/57339/12292/18740/241431/20273/66211/18996/237611/232174/68016/17681/18741","18, 26","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA"
"GO:0007519","skeletal muscle tissue development","15/232, 15/711","218/28905","0.068807339, 0.0688073394495413","8.572742012, 2.79729415863431","10.09543974, 4.22999905015367","3.1e-10, 0.000353627729610633","1.71e-07, 0.00748644419463625","1.47e-07, 0.00601442208224168","353187/18507/11865/59011/17907/11459/20190/13717/12292/18740/11474/320502/228003/17681/228785, 270190/17907/59011/17263/11459/228003/11474/320502/20190/12292/18740/237611/232174/17681/18741","15","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA"
"GO:0007588","excretion","5/711, 5/865","33/28905","0.151515151515152","6.15969824830584, 5.06305832895428","4.70953757354932, 4.10175405251689","0.00119061096047208, 0.00280799373646101","0.0182532398658289, 0.0307414668347767","0.0146641965220486, 0.0241576742322323","140494/17242/19156/19218/21336, 140494/16889/19156/17242/19218","5","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0007596","blood coagulation","13/711, 17/865","177/28905","0.0734463276836158, 0.096045197740113","2.98588762544995, 3.20946409326933","4.20846804278371, 5.17867800355182","0.000463835563337801, 2.53204064255144e-05","0.00905623337566273, 0.000803922904010083","0.00727555146080488, 0.000631749542963759","16193/100503895/14728/19124/20344/13035/14065/13844/21789/12845/11553/15378/234199, 18787/14728/16193/100503895/19124/14069/20344/15442/14065/14724/234199/13035/217847/20533/385643/11553/20202","13, 17","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0007599","hemostasis","14/711, 18/865","181/28905","0.0773480662983425, 0.0994475138121547","3.14450894001912, 3.32315651646281","4.59600102012902, 5.50672415262607","0.000166545228196962, 9.15526150044196e-06","0.00405033720459357, 0.000374754942255903","0.00325393963950014, 0.000294494984920355","21990/16193/100503895/14728/19124/20344/13035/14065/13844/21789/12845/11553/15378/234199, 18787/21990/14728/16193/100503895/19124/14069/20344/15442/14065/14724/234199/13035/217847/20533/385643/11553/20202","14, 18","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0007613","memory","12/711, 17/865","168/28905","0.0714285714285714, 0.101190476190476","2.9038577456299, 3.38139966969447","3.93010224457624, 5.43706142295389","0.000966351944723713, 1.28115815039694e-05","0.0159374862398752, 0.000493455913829117","0.0128037779597962, 0.00038777418391652","83433/17242/16000/14652/13123/56710/268354/259277/21336/16181/211612/72961, 17762/13123/83433/18212/16000/19049/14799/211612/17242/56710/13653/14168/14811/16181/259277/268354/11838","12, 17","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0007622","rhythmic behavior","6/373, 6/232, 11/865","70/28905","0.0857142857142857, 0.085714286, 0.157142857142857","6.64228265032555, 10.67918719, 5.25111478117258","5.40394802081939, 7.293136308, 6.25446111355749","0.000290104498796631, 2.14e-05, 6.99325782891636e-06","0.0232678685188683, 0.00115851, 0.0003044389137773","0.0210707478073343, 0.000995993, 0.000239238294716853","353187/18628/18143/381413/217166/16193, 353187/18628/217166/18143/11486/18167, 353187/18628/16193/16490/217166/13654/18143/381413/19218/13653/11657","6, 11","Ure_RT_vs_Ure, Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0007623","circadian rhythm","7/121, 12/373, 11/232, 20/865","232/28905","0.0301724137931034, 0.0517241379310345, 0.047413793, 0.0862068965517241","7.20771587346823, 4.00827401312748, 5.907309007, 2.88070560095675","6.1551032518724, 5.26007697618884, 6.750520031, 5.0515687318763","5.69770469651354e-05, 5.36220734228445e-05, 3.07e-06, 2.49111913248776e-05","0.00768783155122434, 0.00798713550793608, 0.000215326, 0.000796310802963264","0.00656735436071824, 0.00723293230981827, 0.00018512, 0.000625767699016617","13653/225998/16193/18212/13170/217166/11865, 353187/18126/18628/11865/18143/13170/211949/16000/381413/18212/217166/16193, 353187/18628/13170/11865/217166/18030/18143/11486/18212/18167/15378, 18126/353187/79362/11865/13123/13170/18628/18212/16193/211949/16490/217166/16000/18143/18030/381413/225998/19218/13653/11657","7, 12, 11, 20","Ure_RT_DMXAA_vs_Ure_RT, Ure_RT_vs_Ure, Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0007626","locomotory behavior","8/121, 25/865","273/28905","0.0293040293040293, 0.0915750915750916","7.00027245481791, 3.06009019881852","6.45836428980479, 6.00675253161951","2.04725613181972e-05, 8.44521774733735e-07","0.00450304983902937, 5.22158923614976e-05","0.00384674453385641, 4.10329970327693e-05","13653/57277/268890/244723/18619/22095/233878/15438, 17762/17918/244723/18166/18619/12286/233878/19049/18143/268890/13131/19156/214084/80297/12290/13653/12661/14811/16513/57277/15930/20273/12287/15438/17910","8, 25","Ure_RT_DMXAA_vs_Ure_RT, Ure_RT_DMXAA_vs_Ure"
"GO:0008037","cell recognition","14/711, 16/865","163/28905","0.0858895705521472, 0.098159509202454","3.4917553260335, 3.28011631618143","5.06612769007289, 5.12731896635564","5.42626772508825e-05, 3.32755672648395e-05","0.00178984618750259, 0.000995935608773764","0.00143791767547594, 0.000782639557258177","83433/319504/270190/58916/268902/18784/13844/16854/16016/107934/15511/12269/11497/68802, 15511/22418/83433/268902/270190/100689/319504/56644/18784/69165/107934/16016/16854/77772/12269/11499","14, 16","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0008544","epidermis development","16/232, 26/711","397/28905","0.040302267, 0.0654911838790932","5.021280292, 2.66247914208887","7.257091905, 5.29667725290953","1.59e-07, 7.06094605819291e-06","2e-05, 0.000345431001543505","1.72e-05, 0.000277510629821112","16682/16939/21818/12575/64661/20766/72383/11686/110308/386463/16664/317653/332131/74591/230824/20682, 16939/16323/235505/12578/21818/64661/16447/16682/13039/19156/20766/20682/72383/19695/317653/386463/11686/332131/16870/110308/74591/14160/232174/545893/16664/16678","16, 26","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA"
"GO:0009266","response to temperature stimulus","8/232, 11/711, 16/865","167/28905","0.047904192, 0.0658682634730539, 0.0958083832335329","5.968408012, 2.67780893908386, 3.20155065591361","5.792067549, 3.45308998749874, 5.01137233773394","6.47e-05, 0.00292852369829772, 4.47418328490808e-05","0.003078617, 0.0333790371266709, 0.00125143971760613","0.002646746, 0.0268158838507669, 0.000983423243324407","15502/15519/15507/15511/193740/12372/18125/66255, 237253/16000/270190/228432/18413/22227/12372/15511/66255/193740/72821, 15511/193740/17762/15502/15519/81489/233781/15507/228432/16889/15516/16000/270190/237253/18413/22227","8, 11, 16","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0009408","response to heat","8/232, 8/711, 12/865","90/28905","0.088888889, 0.0888888888888889, 0.133333333333333","11.07471264, 3.6136896390061, 4.45549132947977","8.610552319, 3.94367743933228, 5.7665992838579","6.72e-07, 0.0016983152355311, 1.53947203557339e-05","5.98e-05, 0.0226130413929737, 0.000569604653162155","5.14e-05, 0.0181667520607431, 0.000447614413658637","15502/15519/15507/15511/193740/12372/18125/66255, 237253/16000/18413/12372/15511/66255/193740/72821, 15511/193740/17762/15502/15519/81489/233781/15507/15516/16000/237253/18413","8, 12","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0009913","epidermal cell differentiation","11/232, 17/711","251/28905","0.043824701, 0.0677290836653386","5.46014219, 2.75345873888413","6.383800937, 4.43072922930513","6.5e-06, 0.000177431752594642","0.000417679, 0.00419857527607103","0.000359087, 0.00337303039972537","16682/16939/21818/12575/20766/72383/110308/386463/16664/332131/74591, 16939/235505/12578/21818/16447/16682/19156/20766/72383/19695/386463/332131/110308/74591/232174/16664/16678","11, 17","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA"
"GO:0009914","hormone transport","21/711, 23/865","413/28905","0.0508474576271186, 0.0556900726392252","2.06715297146535, 1.86094976836625","3.46877126544282, 3.09520483327709","0.0015220282336487, 0.00349907589656197","0.0210827580304766, 0.035080761620613","0.0169373606690215, 0.0275676374066398","100039795/16193/16323/14652/545192/78896/245049/214084/81799/18413/20526/19218/20750/21336/57394/16181/64654/13447/15378/74591/237625, 18126/100039795/11865/17918/13924/245049/18751/18166/16193/16323/276952/217166/20750/18575/214084/18413/78896/19218/12290/64654/16181/20186/57394","21, 23","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0010466","negative regulation of peptidase activity","9/121, 8/232, 22/711, 22/865","251/28905","0.0358565737051793, 0.03187251, 0.0876494023904383","8.56557242105957, 3.971012502, 3.56329954443828, 2.92890864288511","7.80516542009205, 4.252409807, 6.47707639943374, 5.39080862907339","1.17975371139194e-06, 0.001005931, 3.1654308127791e-07, 7.66710362321779e-06","0.00222855476081937, 0.02595677, 2.65043956900773e-05, 0.000330529540600921","0.00190374993638299, 0.022315529, 2.12929688074189e-05, 0.000259741183102347","15511/238393/69982/209351/18054/232345/14080/13012/192200, 71869/15511/381286/20248/69169/192200/20724/232345, 20716/235505/238393/213945/15951/381286/13012/20248/71869/14080/21857/282663/628900/15511/21789/381308/20617/209351/20724/69982/18054/192200, 15511/235505/18787/192200/15951/20716/13012/238393/213945/209351/20713/55948/14080/232345/16199/16625/217847/71869/628900/21857/385643/17940","9, 8, 22","Ure_RT_DMXAA_vs_Ure_RT, Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0010496","intercellular transport","6/711, 5/865","10/28905","0.6, 0.5","24.3924050632911, 16.7080924855491","11.7489472285472, 8.72589782980713","4.18746835602713e-08, 5.27578340043494e-06","5.36242271239474e-06, 0.000245454516818255","4.30803633036475e-06, 0.000192886380080519","14619/14623/13844/14611/170676/14621, 14623/170676/14611/11838/14621","6, 5","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0010721","negative regulation of cell development","17/711, 25/865","326/28905","0.0521472392638037, 0.0766871165644172","2.11999430509177, 2.56259087201674","3.22950920800611, 4.98343263802295","0.0031800531339652, 1.93602562133911e-05","0.0349315751120313, 0.000659230753237135","0.0280631540500641, 0.000518045604855651","12774/12262/14728/83433/17242/18729/100038909/16000/12578/56710/13844/18722/20378/13131/18725/240873/16870, 12774/22418/83433/18729/100038909/14728/15507/12262/12578/217166/16000/18733/20378/13131/18722/17242/18725/56710/14168/22422/12477/20371/16870/100041146/240873","17, 25","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0010837","regulation of keratinocyte proliferation","6/711, 6/865","50/28905","0.12","4.87848101265823, 4.00994219653179","4.35884634113489, 3.74136984548751","0.0013728520639854, 0.00365483166194183","0.0199912972795734, 0.035300594118314","0.0160605083915631, 0.0277403891459651","17242/235505/13039/19695/15117/57277, 235505/13039/17242/55948/76905/57277","6","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
