"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Source"
"GO:0002209","behavioral defense response","6/711, 8/865","59/28905","0.101694915254237, 0.135593220338983","4.1343059429307, 4.53100813167434","3.82701372114857, 4.76847980082646","0.00323216993546147, 0.000357933187696586","0.0349315751120313, 0.00700803353744274","0.0280631540500641, 0.00550714746684046","18619/17242/225642/56710/13983/13844, 18619/225642/18143/17242/56710/12290/13983/72585","6, 8","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002237","response to molecule of bacterial origin","10/232, 31/711, 40/865","422/28905","0.023696682, 0.0734597156398104, 0.0947867298578199","2.952381925, 2.98643189953406, 3.16741089773443","3.634247817, 6.52788459922216, 7.87775802119429","0.002304671, 7.80787941218993e-08, 1.67510234555452e-10","0.047679449, 8.94618604228289e-06, 5.62236137268622e-08","0.040990929, 7.18714218468342e-06, 4.41823987083103e-08","12775/217166/100689/56792/74337/11535/20311/18125/20186/13035, 16193/14728/83433/15945/20296/14130/19204/13035/11433/17329/55985/19222/18173/13983/12514/217304/19218/12061/110759/67313/66107/16160/12519/207728/330122/19368/19369/19370/100503545/20617/13137, 18126/18787/22418/83433/14728/19222/16193/12523/19204/11433/17130/14130/217166/17084/12514/217304/21897/18173/17079/100689/110759/12061/20296/102635290/207728/20311/15945/19218/66107/17329/13035/414084/246256/13983/20186/330122/15930/16160/100503545/20202","10, 31, 40","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002260","lymphocyte homeostasis","5/232, 9/865","95/28905","0.052631579, 0.0947368421052632","6.557395644, 3.1657438393672","4.880315391, 3.71360138049382","0.001028241, 0.0021866233101013","0.02628678, 0.0258814683480252","0.022599245, 0.020338524650233","11486/213439/72049/22163/21935, 16197/53945/57916/18733/16184/22163/21935/213439/20371","5, 9","Ure_DMXAA_vs_Ure, Ure_RT_DMXAA_vs_Ure"
"GO:0002263","cell activation involved in immune response","21/711, 32/865","340/28905","0.0617647058823529, 0.0941176470588235","2.51098287416232, 3.14505270316219","4.45058718649143, 6.98808750831142","0.000120267617637051, 1.33476506891793e-08","0.0032125472833848, 1.90062456328647e-06","0.00258088016408087, 1.49357443756431e-06","14125/14126/243978/243979/16193/233231/14728/83433/17242/19204/225642/16414/17474/18173/214084/16854/11486/16160/68891/240873/237625, 18985/243978/233231/13388/83433/14126/14728/14125/225642/243979/16193/12523/19204/16414/217303/17085/56743/18173/17079/56644/17242/214084/16854/17474/26909/246256/12478/20371/68891/240873/16160/12557","21, 32","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002274","myeloid leukocyte activation","12/373, 25/711, 31/865","281/28905","0.0427046263345196, 0.0889679715302491, 0.110320284697509","3.30932231688817, 3.61690466537532, 3.68648303951618","4.44774452116078, 7.00021415986053, 7.94822448925189","0.000321023059780682, 3.75353697641093e-08, 4.95638932316459e-10","0.0246315157275379, 4.95239393796764e-06, 1.37000431938532e-07","0.0223056295675072, 3.9786294649485e-06, 1.07659527836913e-07","233231/243978/17082/14126/14125/243979/83433/109648/21926/217166/18784/230899, 14125/12259/14126/243978/17082/243979/233231/14728/83433/19204/225642/13035/109648/16414/17474/18173/18784/217304/214084/53416/68891/329731/19369/20617/237625, 243978/17082/233231/22418/83433/14126/14728/14125/12259/14128/225642/243979/12523/19204/16414/217303/109648/217166/56743/217304/21897/18733/18173/18784/77777/214084/17474/13035/246256/21950/68891","12, 25, 31","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002275","myeloid cell activation involved in immune response","8/373, 13/711, 15/865","119/28905","0.0672268907563025, 0.109243697478992, 0.126050420168067","5.20963345123572, 4.44119419919867, 4.21212415602079","5.26131597263481, 5.97348021037355, 6.16698890300362","0.000161171816661028, 7.73566415493081e-06, 2.8108718388133e-06","0.0173843256039895, 0.000374234241450764, 0.000144084265666686","0.0157427716382877, 0.000300650432594563, 0.000113226241632315","233231/243978/14126/14125/243979/83433/21926/230899, 14125/14126/243978/243979/233231/14728/83433/19204/225642/16414/214084/68891/237625, 243978/233231/83433/14126/14728/14125/225642/243979/12523/19204/16414/217303/56743/214084/68891","8, 13, 15","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002279","mast cell activation involved in immune response","6/373, 9/711, 11/865","72/28905","0.0833333333333333, 0.125, 0.152777777777778","6.45777479892761, 5.08175105485232, 5.10525048169557","5.30156665945873, 5.50685032776229, 6.12574644020462","0.000338309648690631, 6.69375711732261e-05, 9.25123926403167e-06","0.0251960138358165, 0.00206862135446438, 0.000374754942255903","0.0228168236748493, 0.00166187867439139, 0.000294494984920355","233231/243978/14126/14125/243979/230899, 14125/14126/243978/243979/233231/14728/225642/214084/237625, 243978/233231/14126/14728/14125/225642/243979/12523/217303/56743/214084","6, 9, 11","Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002366","leukocyte activation involved in immune response","21/711, 32/865","336/28905","0.0625, 0.0952380952380952","2.54087552742616, 3.18249380677126","4.5115430283096, 7.06761953591077","0.000101975556715824, 1.00496958773546e-08","0.002905831842801, 1.52333938476416e-06","0.00233447264792876, 1.19709110824312e-06","14125/14126/243978/243979/16193/233231/14728/83433/17242/19204/225642/16414/17474/18173/214084/16854/11486/16160/68891/240873/237625, 18985/243978/233231/13388/83433/14126/14728/14125/225642/243979/16193/12523/19204/16414/217303/17085/56743/18173/17079/56644/17242/214084/16854/17474/26909/246256/12478/20371/68891/240873/16160/12557","21, 32","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002367","cytokine production involved in immune response","12/711, 14/865","176/28905","0.0681818181818182, 0.0795454545454545","2.77186421173763, 2.658105622701","3.74422503270414, 3.87530862239084","0.00144222778241073, 0.000879384539121231","0.0204542663342551, 0.0137536383099909","0.0164324461544689, 0.0108080696209604","14125/14990/21687/16193/14728/11433/18173/19074/11846/67313/16160/13137, 14990/21687/22418/14728/14125/16193/11433/18173/100689/56644/20371/19074/16160/58218","12, 14","Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
"GO:0002377","immunoglobulin production","7/121, 74/373, 76/711, 81/865","275/28905","0.0254545454545455, 0.269090909090909, 0.276363636363636, 0.294545454545455","6.08069120961683, 20.8527418961735, 11.2352896049099, 9.84258539148713","5.48876402503643, 37.8219095602334, 27.0826548678773, 25.878134079161","0.000163969774990575, 1.7560170956872e-76, 1.48846709566886e-57, 5.55558149582158e-57","0.0180827409954668, 5.49282147530957e-73, 6.48078573454221e-54, 2.61056774488656e-53","0.015447238553426, 4.97414947841501e-73, 5.20650121990275e-54, 2.05147156708864e-53","16193/14990/243451/636752/677858/434036/628144, 16142/626347/381783/385253/545847/404743/667683/667550/692187/69816/692169/381777/619846/16098/384514/667914/434040/692161/14990/667940/381778/108005/434041/667924/381776/667899/240754/434025/545851/108022/232065/667435/385109/628571/545848/236047/692165/243420/667881/243431/434028/434033/667865/22163/381782/546213/384515/235952/628072/628268/692245/380797/384419/637227/620400/626583/108024/381784/628027/619806/435900/620017/21926/384411/16193/100503545/620050/692152/628541/434039/640340/620126/108004/545850, 108022/14990/637227/381777/16193/545847/14728/16098/14130/667683/236047/667899/16142/545851/667865/434036/381778/692152/692169/636752/243451/243433/667924/619846/385109/434028/243420/69816/381784/692165/434025/546213/404743/385253/628027/108004/435900/13844/628268/667914/677858/692187/232065/235952/626347/243439/620017/384515/667881/620400/108024/667550/381783/381782/108005/667435/667940/434033/692161/628144/545850/381831/100503545/546244/434041/243431/384514/640340/384419/620050/434040/619806/213684/434034/692154/434039, 14990/16197/545847/14728/16019/667683/16193/14130/236047/16098/667865/381783/16142/667550/667924/108022/435900/381777/404743/69816/667881/620400/667914/626347/380797/434025/637227/108024/667899/619846/385109/667940/545851/692161/434040/677858/22163/692165/385253/434036/692169/692187/243433/240754/243420/384514/628144/381778/434041/26909/232065/628571/667435/640340/384515/628027/619806/692152/108004/235952/620050/108005/243451/546244/20371/243431/434028/636752/381784/381776/692245/545848/381831/546213/620126/620017/434039/628072/100503545/545850/628541","7, 74, 76, 81","Ure_RT_DMXAA_vs_Ure_RT, Ure_RT_vs_Ure, Ure_RT_DMXAA_vs_Ure_DMXAA, Ure_RT_DMXAA_vs_Ure"
