"gene","symbol","effectsize","pvalue","signif"
11287,"Pzp",-0.999995333608811,0.089899846975656,"false"
11298,"Aanat",0.631393911564674,0.45553521044352,"false"
11302,"Aatk",-0.240679742568578,0.105782813257462,"false"
11303,"Abca1",0.615259425895834,1.79202811870256e-06,"true"
11304,"Abca4",-0.227436703380495,0.330294187194741,"false"
11305,"Abca2",0.351454555051641,0.000140145572200508,"true"
11306,"Abcb7",0.178778157333188,0.0924527813960852,"false"
11307,"Abcg1",0.352928423324692,0.0211292371524013,"false"
11350,"Abl1",0.120536827892829,0.167908900127465,"false"
11352,"Abl2",0.0549429425854049,0.644248242582806,"false"
11364,"Acadm",-0.446372746869304,1.92993458399439e-05,"true"
11370,"Acadvl",-0.0915303998881821,0.313299307855899,"false"
11409,"Acads",0.0921939510016726,0.390516694692518,"false"
11416,"Slc33a1",-0.0764001322964466,0.493372377312668,"false"
11418,"Asic2",1.4036445884403,0.0598009183159402,"false"
11419,"Asic1",0.239625973829327,0.172526094994745,"false"
11421,"Ace",-0.54515987383677,0.000347403562300656,"true"
11423,"Ache",0.886667010649736,0.00345194451960694,"true"
11425,"Apoc4",3.32455301548444,0.0816571761496356,"false"
11426,"Macf1",-0.102959969044985,0.426400663602774,"false"
11428,"Aco1",0.21302778720341,0.0738376960182319,"false"
11429,"Aco2",-0.111582404338574,0.181718294518418,"false"
11430,"Acox1",0.167536888737713,0.046553837536144,"false"
11431,"Acp1",-0.07224666891018,0.559109774658047,"false"
11432,"Acp2",0.463536840713821,2.66357709980457e-05,"true"
11433,"Acp5",1.42262256815582,3.49527849816492e-07,"true"
11434,"Acr",1.79970426258546,0.0411047060163441,"false"
11435,"Chrna1",0.0981358893900517,0.846478310767552,"false"
11438,"Chrna4",1.87491680178297,0.0536892769861761,"false"
11441,"Chrna7",0.839099357555836,0.0520239742162107,"false"
11443,"Chrnb1",-0.116906729474988,0.343098397975818,"false"
11444,"Chrnb2",0.430451737164438,0.140655285360121,"false"
11448,"Chrne",1.71842993897177,0.0691993885043989,"false"
11450,"Adipoq",-0.308060638203468,0.314887058950948,"false"
11451,"Acrv1",1.99902290298787,0.261668295279432,"false"
11459,"Acta1",-0.106870320162581,0.916289709035871,"false"
11461,"Actb",-0.138776852997049,0.116396772660885,"false"
11464,"Actc1",-0.613031071152783,0.0122987710727379,"false"
11468,"Actg2",-0.16874808771216,0.463272613894584,"false"
11470,"Actl7a",-2.38653256351968,0.0566625715972811,"false"
11471,"Actl7b",2.81547194196734,0.115778487152626,"false"
