Unnamed: 0,ID,Gene.name,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000012428,ENSMUSG00000012428,Steap4,-1.01658177802708,5.2266246139941,63.2456316703975,1.8247187822613802e-15,1.0485442362468e-11
ENSMUSG00000027199,ENSMUSG00000027199,Gatm,-1.06393994504701,5.62670308394192,45.3737507277781,1.62801736763691e-11,1.65090537651134e-08
ENSMUSG00000041801,ENSMUSG00000041801,Phlda3,-1.01988665690829,6.27910926477382,44.0087609517319,3.26909358625513e-11,2.68361449206916e-08
ENSMUSG00000036896,ENSMUSG00000036896,C1qc,-1.23873075736946,5.65487660544563,43.6543745305194,3.91800354648806e-11,3.07011196081399e-08
ENSMUSG00000036887,ENSMUSG00000036887,C1qa,-1.11538108133291,6.2134848108826,42.4268212786496,7.33768606518695e-11,4.4842085794732e-08
ENSMUSG00000001493,ENSMUSG00000001493,Meox1,-1.05391422555722,4.58240006188021,39.8581667818201,2.73089944117519e-10,1.34508501332626e-07
ENSMUSG00000048458,ENSMUSG00000048458,Fam212b,-1.08630600735731,5.4582104226652,37.9591962577203,7.22397572770843e-10,3.11335293924914e-07
ENSMUSG00000043613,ENSMUSG00000043613,Mmp3,-1.48102830722866,3.98656227222279,34.2746274696647,4.785806702247111e-09,1.14360832629668e-06
ENSMUSG00000036040,ENSMUSG00000036040,Adamtsl2,-1.25366552646661,6.01964451382276,32.5393939995975,1.16800802029e-08,2.28810116611129e-06
ENSMUSG00000024529,ENSMUSG00000024529,Lox,-1.31095658397767,6.00012925679649,31.384199091967,2.11696739231904e-08,3.54314571613475e-06
ENSMUSG00000051855,ENSMUSG00000051855,Mest,-1.13518227350278,4.09530690701346,31.2030466078076,2.32401058937206e-08,3.77958665567783e-06
ENSMUSG00000021091,ENSMUSG00000021091,Serpina3n,-1.23384824559724,6.60851487785223,29.8739198276079,4.61073276801357e-08,6.67936320905764e-06
ENSMUSG00000023067,ENSMUSG00000023067,Cdkn1a,-1.3263001407626,7.35519153772757,29.8499458689873,4.66809913085189e-08,6.70611340972964e-06
ENSMUSG00000095923,ENSMUSG00000095923,Ighv1-37,-5.13557057049197,1.13726196673745,29.3406354420293,6.07091835838624e-08,8.04981641603503e-06
ENSMUSG00000001494,ENSMUSG00000001494,Sost,-3.23962141855701,-0.148828621993117,28.822812001304,7.93114403525761e-08,1.00533082370445e-05
ENSMUSG00000029657,ENSMUSG00000029657,Hsph1,-1.88729492351977,7.05883191797457,27.2901086941548,1.75104873680223e-07,1.98594270879827e-05
ENSMUSG00000019796,ENSMUSG00000019796,Lrp11,-1.21883317846167,3.19056171264795,27.1818364264974,1.85190356617862e-07,2.04647215239444e-05
ENSMUSG00000105606,ENSMUSG00000105606,Igkv2-109,-2.26512161952908,2.95345407973682,26.1141431012609,3.2181810741807e-07,3.22547811266285e-05
ENSMUSG00000040314,ENSMUSG00000040314,Ctsg,-4.56691235319123,-0.64580626882813,25.0200323237227,5.67377570482238e-07,5.0417638853316e-05
ENSMUSG00000041046,ENSMUSG00000041046,Ramp3,-1.68297765297459,2.85320196973951,24.7320366917526,6.58799474647855e-07,5.70705735851979e-05
ENSMUSG00000045136,ENSMUSG00000045136,Tubb2b,-1.42360369930052,3.28911244271645,23.6871915074252,1.13334322815628e-06,8.84059000460909e-05
ENSMUSG00000045333,ENSMUSG00000045333,Zfp423,-1.09812191963033,2.78629598870276,23.3275324939419,1.3663015532917e-06,0.0001015244503327
ENSMUSG00000027239,ENSMUSG00000027239,Mdk,-1.27247977169529,3.04223124336339,23.0652243922698,1.56597572395887e-06,0.000113427964308
ENSMUSG00000020598,ENSMUSG00000020598,Nrcam,-1.25593999252045,5.06087119853698,22.8264646518548,1.7730728698577e-06,0.0001263057983614
ENSMUSG00000045498,ENSMUSG00000045498,Pcdhb3,-1.04360326582828,2.44901036103668,22.6568651018969,1.93667018272058e-06,0.0001349993477215
ENSMUSG00000076532,ENSMUSG00000076532,Igkv4-91,-2.25926267520625,2.84939571770602,21.0268368413035,4.52894989325634e-06,0.0002628773306728
ENSMUSG00000101389,ENSMUSG00000101389,Ms4a4a,-1.25235912724668,2.50862813414603,20.9679660192393,4.67027420579469e-06,0.0002701706611868
ENSMUSG00000026043,ENSMUSG00000026043,Col3a1,-1.06973614739147,8.72310776532639,20.6755834868586,5.44053564567092e-06,0.0003059643667832
ENSMUSG00000027068,ENSMUSG00000027068,Dhrs9,-1.18540374627552,2.41956111179007,20.6552869906671,5.49851437206703e-06,0.0003067601594176
ENSMUSG00000009092,ENSMUSG00000009092,Derl3,-1.50993367965919,2.18588044649421,20.30327273881,6.60874450922008e-06,0.0003571415253744
ENSMUSG00000035373,ENSMUSG00000035373,Ccl7,-2.49699854760451,0.366625116497753,20.250032065079,6.79523235710232e-06,0.0003615525018644
ENSMUSG00000029544,ENSMUSG00000029544,Cabp1,-1.16168456928263,1.82052079429276,20.1213864122178,7.26794252295865e-06,0.0003819879913209
ENSMUSG00000029875,ENSMUSG00000029875,Ccdc184,-1.54292527348806,2.60604428388413,19.6930865095409,9.09297345208609e-06,0.0004440616695198
ENSMUSG00000034855,ENSMUSG00000034855,Cxcl10,-1.51856139252187,2.00973872428868,19.5361151819623,9.87156180183876e-06,0.0004682023821181
ENSMUSG00000042684,ENSMUSG00000042684,Npl,-1.06850484589988,2.04285304983958,19.5333129377627,9.88605296658845e-06,0.0004682023821181
ENSMUSG00000094262,ENSMUSG00000094262,Igkv4-62,-8.96886149708387,0.878490796201537,19.3942882951412,1.0632457962172e-05,0.0004967288423032
