ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000059475,ENSMUSG00000059475,Zfp426,-0.014463238,4.634483797,0.015302671,0.901549673,0.975999774,235028,Zfp426,-0.014463238,FALSE
ENSMUSG00000064264,ENSMUSG00000064264,Zfp428,0.33569957,1.495449847,1.135871359,0.286526424,0.651811694,232969,Zfp428,0.33569957,FALSE
ENSMUSG00000078994,ENSMUSG00000078994,Zfp429,0.039722321,2.581992474,0.039662775,0.842141379,0.957645957,72807,Zfp429,0.039722321,FALSE
ENSMUSG00000096795,ENSMUSG00000096795,Zfp433,-0.173992239,1.163258803,0.376238939,0.539622998,0.829918892,73610,Zfp433,-0.173992239,FALSE
ENSMUSG00000050945,ENSMUSG00000050945,Zfp438,-0.115912968,2.918465975,0.355733775,0.550885188,0.836793337,240186,Zfp438,-0.115912968,FALSE
ENSMUSG00000068130,ENSMUSG00000068130,Zfp442,-0.036683488,1.209408182,0.016857882,0.89669467,0.974714664,668923,Zfp442,-0.036683488,FALSE
ENSMUSG00000044876,ENSMUSG00000044876,Zfp444,-0.152989776,4.301956736,1.2207362,0.269216221,0.633672642,72667,Zfp444,-0.152989776,FALSE
ENSMUSG00000047036,ENSMUSG00000047036,Zfp445,-0.052780464,6.80658142,0.285785052,0.592934316,0.858189727,235682,Zfp445,-0.052780464,FALSE
ENSMUSG00000033961,ENSMUSG00000033961,Zfp446,-0.054561921,2.964160175,0.078896744,0.778798113,0.935310718,269870,Zfp446,-0.054561921,FALSE
ENSMUSG00000073176,ENSMUSG00000073176,Zfp449,-0.082368388,2.092963288,0.117416766,0.731853281,0.91642469,78619,Zfp449,-0.082368388,FALSE
ENSMUSG00000042197,ENSMUSG00000042197,Zfp451,-0.11210498,5.275267575,0.988711887,0.320057404,0.683024213,98403,Zfp451,-0.11210498,FALSE
ENSMUSG00000048728,ENSMUSG00000048728,Zfp454,-0.320507897,0.324232749,0.831857557,0.361735946,0.719087977,237758,Zfp454,-0.320507897,FALSE
ENSMUSG00000051037,ENSMUSG00000051037,Zfp455,0.007683832,1.667741242,0.000700437,0.978885836,0.99469457,218311,Zfp455,0.007683832,FALSE
ENSMUSG00000078995,ENSMUSG00000078995,Zfp456,0.200267056,1.177326271,0.512778423,0.473938565,0.79570819,408065,Zfp456,0.200267056,FALSE
ENSMUSG00000055341,ENSMUSG00000055341,Zfp457,-0.010781967,-0.007031708,0.000805282,0.977361071,0.994586489,431706,Zfp457,-0.010781967,FALSE
ENSMUSG00000055480,ENSMUSG00000055480,Zfp458,0.084759034,1.995733938,0.112529004,0.737283069,0.91842061,238690,Zfp458,0.084759034,FALSE
ENSMUSG00000055560,ENSMUSG00000055560,Zfp459,-0.213216727,1.904301412,0.65588957,0.418014841,0.760068704,328274,Zfp459,-0.213216727,FALSE
ENSMUSG00000051351,ENSMUSG00000051351,Zfp46,0.031871177,5.509281075,0.063697439,0.800744641,0.942898693,22704,Zfp46,0.031871177,FALSE
ENSMUSG00000060206,ENSMUSG00000060206,Zfp462,0.09957812,5.103053205,0.571672976,0.449594885,0.781951387,242466,Zfp462,0.09957812,FALSE
ENSMUSG00000068551,ENSMUSG00000068551,Zfp467,-0.149752245,5.281974865,1.522834442,0.217191061,0.574741665,68910,Zfp467,-0.149752245,FALSE
ENSMUSG00000043903,ENSMUSG00000043903,Zfp469,0.645237472,0.221302391,2.43716212,0.118490418,0.42394807,195209,Zfp469,0.645237472,FALSE
ENSMUSG00000053600,ENSMUSG00000053600,Zfp472,-0.133061446,2.760413398,0.471657785,0.492225497,0.805523192,224691,Zfp472,-0.133061446,FALSE
ENSMUSG00000048012,ENSMUSG00000048012,Zfp473,0.201971608,-0.40719722,0.225783313,0.63466822,0.875587611,243963,Zfp473,0.201971608,FALSE
ENSMUSG00000046886,ENSMUSG00000046886,Zfp474,0.429158152,2.583622741,3.494003343,0.061591471,0.291536346,66758,Zfp474,0.429158152,FALSE
ENSMUSG00000090659,ENSMUSG00000090659,Zfp493,0.25814545,1.237342714,0.80288793,0.370231326,0.725495755,72958,Zfp493,0.25814545,FALSE
ENSMUSG00000039081,ENSMUSG00000039081,Zfp503,-0.319504015,6.309885503,4.9469285,0.026137064,0.17263481,218820,Zfp503,-0.319504015,TRUE
ENSMUSG00000044452,ENSMUSG00000044452,Zfp507,-0.196307251,4.423969639,1.380736534,0.239975729,0.602876943,668501,Zfp507,-0.196307251,FALSE
ENSMUSG00000023892,ENSMUSG00000023892,Zfp51,0.082133839,3.21077931,0.21575998,0.642289768,0.879881859,22709,Zfp51,0.082133839,FALSE
ENSMUSG00000025470,ENSMUSG00000025470,Zfp511,-0.248445152,3.616819365,1.998584742,0.157446156,0.490760654,69752,Zfp511,-0.248445152,FALSE
ENSMUSG00000062761,ENSMUSG00000062761,Zfp512,-0.09433132,5.03869363,0.629470319,0.427549671,0.766925412,269639,Zfp512,-0.09433132,FALSE
ENSMUSG00000000823,ENSMUSG00000000823,Zfp512b,-0.042120975,5.512539642,0.121433626,0.727484779,0.914675829,269401,Zfp512b,-0.042120975,FALSE
ENSMUSG00000043059,ENSMUSG00000043059,Zfp513,0.072577882,4.560721637,0.34440562,0.557297187,0.840234931,101023,Zfp513,0.072577882,FALSE
ENSMUSG00000058881,ENSMUSG00000058881,Zfp516,-0.14583601,5.519092148,1.545163715,0.21385083,0.571391104,329003,Zfp516,-0.14583601,FALSE
ENSMUSG00000049164,ENSMUSG00000049164,Zfp518a,-0.080268183,4.845966922,0.373668563,0.541011346,0.830652151,72672,Zfp518a,-0.080268183,FALSE
ENSMUSG00000046572,ENSMUSG00000046572,Zfp518b,0.045794388,3.634552926,0.090780642,0.763187066,0.929700618,100515,Zfp518b,0.045794388,FALSE
ENSMUSG00000051341,ENSMUSG00000051341,Zfp52,0.049813477,2.76569882,0.063854711,0.800503992,0.942898693,22710,Zfp52,0.049813477,FALSE
ENSMUSG00000024420,ENSMUSG00000024420,Zfp521,0.470853873,4.510833797,9.715960469,0.001826746,0.024468743,225207,Zfp521,0.470853873,TRUE
ENSMUSG00000024220,ENSMUSG00000024220,Zfp523,-0.088919537,4.947060899,0.605549643,0.436468386,0.773824478,224656,Zfp523,-0.088919537,FALSE
ENSMUSG00000051184,ENSMUSG00000051184,Zfp524,-0.074950955,2.35592075,0.106965103,0.743626136,0.921395167,66056,Zfp524,-0.074950955,FALSE
ENSMUSG00000046541,ENSMUSG00000046541,Zfp526,-0.313788359,4.037245347,3.712492289,0.054006693,0.271434806,210172,Zfp526,-0.313788359,FALSE
ENSMUSG00000057409,ENSMUSG00000057409,Zfp53,0.082344821,3.274415115,0.218576406,0.640126773,0.879274271,24132,Zfp53,0.082344821,FALSE
