ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000040035,ENSMUSG00000040035,Disp2,0.51456755,4.564584981,4.285999313,0.038427487,0.305256146,214240,Disp2,0.51456755,TRUE
ENSMUSG00000032064,ENSMUSG00000032064,Dixdc1,0.209302765,4.964264711,2.575479784,0.108531191,0.485191042,330938,Dixdc1,0.209302765,FALSE
ENSMUSG00000031403,ENSMUSG00000031403,Dkc1,-0.117240517,4.585063235,0.958850576,0.327476644,0.729429957,245474,Dkc1,-0.117240517,FALSE
ENSMUSG00000028031,ENSMUSG00000028031,Dkk2,0.599432741,2.281465864,1.701549827,0.192085418,0.603397829,56811,Dkk2,0.599432741,FALSE
ENSMUSG00000030772,ENSMUSG00000030772,Dkk3,0.2598416,6.827943947,3.428530237,0.064079105,0.385974733,50781,Dkk3,0.2598416,FALSE
ENSMUSG00000030792,ENSMUSG00000030792,Dkkl1,0.14214482,0.705019157,0.163639976,0.685827152,0.915064965,50722,Dkkl1,0.14214482,FALSE
ENSMUSG00000000168,ENSMUSG00000000168,Dlat,0.020353613,5.87431679,0.045394443,0.831280385,0.963196474,235339,Dlat,0.020353613,FALSE
ENSMUSG00000031523,ENSMUSG00000031523,Dlc1,0.057277752,8.625978842,0.236363656,0.6268449,0.893602666,50768,Dlc1,0.057277752,FALSE
ENSMUSG00000020664,ENSMUSG00000020664,Dld,-0.059135888,6.31040222,0.460852347,0.497225897,0.837404966,13382,Dld,-0.059135888,FALSE
ENSMUSG00000038060,ENSMUSG00000038060,Dlec1,0.225035426,3.947857768,1.656654221,0.19805567,0.610783846,320256,Dlec1,0.225035426,FALSE
ENSMUSG00000022770,ENSMUSG00000022770,Dlg1,-0.072634137,6.880550047,0.703678715,0.401550347,0.78450518,13383,Dlg1,-0.072634137,FALSE
ENSMUSG00000052572,ENSMUSG00000052572,Dlg2,0.001798339,-0.115024397,1.30E-05,0.997125238,1,23859,Dlg2,0.001798339,FALSE
ENSMUSG00000000881,ENSMUSG00000000881,Dlg3,-0.03699085,5.198456581,0.119702542,0.729357331,0.930901065,53310,Dlg3,-0.03699085,FALSE
ENSMUSG00000020886,ENSMUSG00000020886,Dlg4,-0.043139017,4.970658735,0.07449623,0.784899357,0.949180151,13385,Dlg4,-0.043139017,FALSE
ENSMUSG00000021782,ENSMUSG00000021782,Dlg5,-0.004381313,5.826278119,0.001709015,0.967024657,0.994590658,71228,Dlg5,-0.004381313,FALSE
ENSMUSG00000003279,ENSMUSG00000003279,Dlgap1,-0.006709057,-0.300611409,0.000191149,0.988969069,0.99841956,224997,Dlgap1,-0.006709057,FALSE
ENSMUSG00000042388,ENSMUSG00000042388,Dlgap3,-0.270951011,-0.385433053,0.443647559,0.505367168,0.841853271,242667,Dlgap3,-0.270951011,FALSE
ENSMUSG00000061689,ENSMUSG00000061689,Dlgap4,-0.146350152,6.507661025,2.436702148,0.118525176,0.504092044,228836,Dlgap4,-0.146350152,FALSE
ENSMUSG00000037544,ENSMUSG00000037544,Dlgap5,-0.01925958,1.071516809,0.005117073,0.942972992,0.988621991,218977,Dlgap5,-0.01925958,FALSE
ENSMUSG00000040856,ENSMUSG00000040856,Dlk1,-1.619753468,6.001428293,2.764762718,0.096360974,0.459601096,13386,Dlk1,-1.619753468,FALSE
ENSMUSG00000014773,ENSMUSG00000014773,Dll1,-0.215352909,5.1939537,1.361127016,0.243342255,0.660522302,13388,Dll1,-0.215352909,FALSE
ENSMUSG00000027314,ENSMUSG00000027314,Dll4,-0.154595767,7.123093824,1.039344818,0.307973899,0.715687631,54485,Dll4,-0.154595767,FALSE
ENSMUSG00000004789,ENSMUSG00000004789,Dlst,-0.087975357,6.89583983,1.03076481,0.309979104,0.71742628,78920,Dlst,-0.087975357,FALSE
