"gene","symbol","effectsize","pvalue","signif"
11287,"Pzp",-0.287515993744914,0.608662786586302,"false"
11298,"Aanat",1.62480757313172,0.0445778019528175,"false"
11302,"Aatk",0.110442785145607,0.450858038208751,"false"
11303,"Abca1",-0.11124506766256,0.383175028260751,"false"
11304,"Abca4",0.433249211015768,0.0563505376091193,"false"
11305,"Abca2",0.0100738213005733,0.91182334056318,"false"
11306,"Abcb7",-0.0979890567722324,0.343656954784096,"false"
11307,"Abcg1",-0.410674242900319,0.00719256937995351,"false"
11308,"Abi1",-0.0121736857627607,0.886809908741499,"false"
11350,"Abl1",0.087536416702479,0.31121811557392,"false"
11352,"Abl2",0.093186130945504,0.428010183094849,"false"
11363,"Acadl",0.0461575041700424,0.633728380041796,"false"
11364,"Acadm",0.0534774898753138,0.603659418690334,"false"
11370,"Acadvl",0.0349895863000381,0.694308136868894,"false"
11409,"Acads",0.0226000435224609,0.826848836218177,"false"
11416,"Slc33a1",-0.117564979302443,0.275585187915526,"false"
11418,"Asic2",-0.0450958778689774,0.937123419563917,"false"
11419,"Asic1",0.0520899381253985,0.755432467589005,"false"
11421,"Ace",0.280076754588735,0.0654238903727916,"false"
11423,"Ache",0.140788186584225,0.613983835415907,"false"
11425,"Apoc4",0.103167444276335,0.941660091692539,"false"
11426,"Macf1",0.120112005013667,0.353159220133749,"false"
11428,"Aco1",-0.0437032459875983,0.711734343195913,"false"
11429,"Aco2",0.0341233589019757,0.680714095533827,"false"
11430,"Acox1",-0.0599303195336971,0.472031828773542,"false"
11431,"Acp1",-0.11511928078672,0.326491877343981,"false"
11432,"Acp2",-0.0635502772201428,0.558223607801915,"false"
11433,"Acp5",-0.552706942216377,0.043277789994332,"false"
11434,"Acr",0.562819911152226,0.422992382807419,"false"
11435,"Chrna1",-0.649066499838987,0.183119573103153,"false"
11438,"Chrna4",-0.816106726865112,0.219986205846029,"false"
11440,"Chrna6",-2.41084717373201,0.10843482071168,"false"
11441,"Chrna7",-0.111694862967323,0.786730988814539,"false"
11443,"Chrnb1",-0.0298212510833387,0.805781184107176,"false"
11444,"Chrnb2",0.519046886591981,0.0613777235216376,"false"
11447,"Chrnd",3.23330039204279,0.0786394982643696,"false"
11448,"Chrne",0.471341559887236,0.458672373075585,"false"
11449,"Chrng",-1.34871635874403,0.433179844367147,"false"
11450,"Adipoq",0.42983261905998,0.15396309208561,"false"
11451,"Acrv1",0.0127163190519785,0.991223856281575,"false"
11459,"Acta1",-0.418921936314921,0.679643889627932,"false"
11461,"Actb",-0.178288148698417,0.0436332159462171,"false"
11464,"Actc1",0.01432738011772,0.953052825899626,"false"
11465,"Actg1",-0.16636149237023,0.0853921958269767,"false"
11468,"Actg2",-0.0509035768672272,0.823134272288861,"false"
11470,"Actl7a",0.796008375639495,0.456112345208151,"false"
11472,"Actn2",0.102448553761927,0.776415369351623,"false"
11474,"Actn3",0.260152079745198,0.77049750405483,"false"
11475,"Acta2",-0.0872849168265006,0.490873599051832,"false"
11477,"Acvr1",0.0312084171115672,0.75685004253654,"false"
11479,"Acvr1b",0.0927988747853565,0.279993253502864,"false"
11480,"Acvr2a",0.101609001894409,0.397969616294197,"false"
11481,"Acvr2b",0.143194447428321,0.442872618660561,"false"
11482,"Acvrl1",0.254506507482993,0.112463931447207,"false"
11484,"Aspa",-0.0216198714296945,0.892217362025906,"false"
11486,"Ada",0.169076983547131,0.847460113471376,"false"
11487,"Adam10",-0.0940582061776986,0.290068472728997,"false"
11488,"Adam11",0.157315865281175,0.531858473187321,"false"
11489,"Adam12",-0.450773349750791,0.0104806823160024,"false"
