"gene","symbol","effectsize","pvalue","signif"
11287,"Pzp",-0.323186901257535,0.586593265605444,"false"
11298,"Aanat",1.54618618957853,0.0769090531356536,"false"
11302,"Aatk",0.0506862103894696,0.731739568601584,"false"
11303,"Abca1",0.0606549579889274,0.634653638987282,"false"
11304,"Abca4",-0.0693977240748026,0.764183729088856,"false"
11305,"Abca2",0.134339775403907,0.140924464143071,"false"
11306,"Abcb7",0.00206480775376382,0.98418125656344,"false"
11307,"Abcg1",-0.0060172121261436,0.968529375876581,"false"
11308,"Abi1",-0.0233216470553399,0.785845702314523,"false"
11350,"Abl1",0.0853124415222021,0.325574486807703,"false"
11352,"Abl2",0.112148844770232,0.342344684099747,"false"
11363,"Acadl",-0.0857364098370353,0.378479307690657,"false"
11364,"Acadm",-0.203828514676783,0.0498154811871705,"false"
11370,"Acadvl",-0.0209842303364529,0.815249537336587,"false"
11409,"Acads",0.0182207638293945,0.86187842107881,"false"
11416,"Slc33a1",-0.0808605073252723,0.458927854236472,"false"
11418,"Asic2",0.045128604881737,0.940712183606587,"false"
11419,"Asic1",0.226868906297333,0.180071837795813,"false"
11421,"Ace",-0.0561763843346004,0.71161039642428,"false"
11423,"Ache",0.471691763782782,0.092520389593869,"false"
11425,"Apoc4",0.0765451998726813,0.957296560572413,"false"
11426,"Macf1",-0.0563319235145821,0.663310525874798,"false"
11428,"Aco1",0.132447572683353,0.263473404137875,"false"
11429,"Aco2",-0.082222150473357,0.323130178504763,"false"
11430,"Acox1",-0.0267566304261543,0.748811083875035,"false"
11431,"Acp1",-0.157125608119078,0.189485278789925,"false"
11432,"Acp2",0.153207391040535,0.158803193125231,"false"
11433,"Acp5",0.179170787595689,0.510682879782732,"false"
11434,"Acr",0.573764755967106,0.428987420810968,"false"
11435,"Chrna1",-0.0287552403300024,0.952419702168245,"false"
11438,"Chrna4",-0.271283147132442,0.679895939501497,"false"
11440,"Chrna6",-2.41084717373201,0.149810392907218,"false"
11441,"Chrna7",-0.0234683586560144,0.954821188496558,"false"
11443,"Chrnb1",0.0998326301878342,0.413607970357724,"false"
11444,"Chrnb2",0.552002975316187,0.0508492954058556,"false"
11448,"Chrne",0.442431272239177,0.521369975519107,"false"
11449,"Chrng",-3.07596983778567,0.112831669863774,"false"
11450,"Adipoq",-0.314269384684341,0.302266271127637,"false"
11451,"Acrv1",0.341196514651825,0.823412306617178,"false"
11459,"Acta1",-1.36106811947888,0.187361772450442,"false"
11461,"Actb",-0.0849727039148402,0.336196621220089,"false"
11464,"Actc1",-0.404751919351946,0.0974079144829123,"false"
11465,"Actg1",-0.0811745643946058,0.401317211717742,"false"
11468,"Actg2",-0.264781702829841,0.247351641543099,"false"
11470,"Actl7a",-0.90335804949258,0.508012740859885,"false"
11471,"Actl7b",2.81547194196734,0.0694113407987212,"false"
11472,"Actn2",-0.30388691625273,0.4012723980266,"false"
11474,"Actn3",0.0487631301230796,0.956768667068611,"false"
11475,"Acta2",-0.213007414598684,0.0934153013867589,"false"
11477,"Acvr1",-0.105607744813401,0.302704575403854,"false"
11479,"Acvr1b",0.0128910258570049,0.881767301883748,"false"
11480,"Acvr2a",-0.007618424106679,0.949818343498342,"false"
11481,"Acvr2b",0.142009501549143,0.452573852686738,"false"
11482,"Acvrl1",-0.206669251671979,0.19760649913143,"false"
11484,"Aspa",0.039357319956428,0.808471595280762,"false"
11486,"Ada",0.184915729091484,0.833485330184974,"false"
11487,"Adam10",0.00928633087079623,0.916911687697786,"false"
11488,"Adam11",0.306196891805301,0.230114672457327,"false"
11489,"Adam12",-0.0855817521493628,0.626173950090035,"false"
11490,"Adam15",-0.13118709729804,0.256292105372537,"false"
11491,"Adam17",0.000755757190112416,0.99309506820925,"false"
11492,"Adam19",0.232595394581219,0.129627688538807,"false"
11495,"Adam2",-2.41084717373201,0.149810392907217,"false"
11496,"Adam22",-0.0445526592632231,0.761476167254886,"false"
11497,"Adam3",-0.282685541247842,0.473283738830028,"false"
11498,"Adam4",-0.883650289377247,0.0987098057317265,"false"
11499,"Adam5",-0.0434986650381731,0.90355316240658,"false"
11500,"Adam7",0.292840554162159,0.322721821915225,"false"
11501,"Adam8",0.107434076015444,0.483054539378063,"false"
11502,"Adam9",-0.0163207930123784,0.867989428241612,"false"
11504,"Adamts1",0.0709541966375505,0.742225242305641,"false"
11512,"Adcy6",-0.0244945030792498,0.82306829822269,"false"
11513,"Adcy7",0.233770698948991,0.0768282468641223,"false"
11514,"Adcy8",0.0344976831434682,0.877188540900863,"false"
11515,"Adcy9",0.0268680042059537,0.840621047196002,"false"
11516,"Adcyap1",1.31860596114148,0.299826075462384,"false"
11517,"Adcyap1r1",0.0592116302509925,0.765207667457157,"false"
11518,"Add1",-0.0086892942119293,0.911284752698551,"false"
11519,"Add2",-0.086716663937228,0.664797243164181,"false"
11520,"Plin2",-0.05756400710264,0.756632666652051,"false"
