Gene,Symbol,Ure,Ure,Ure,Ure_DMXAA,Ure_DMXAA,Ure_DMXAA,Ure_RT,Ure_RT,Ure_RT,Ure_RT_DMXAA,Ure_RT_DMXAA,Ure_RT_DMXAA,PBS_RT_DMXAA,PBS_RT_DMXAA,PBS_RT_DMXAA
ENSMUSG00000056763,Cspp1,31.45606436,32.72737032,27.72221554,29.47147633,30.28349003,22.8881775,30.96331206,27.78623146,31.55449934,30.7672217,29.35613924,29.66266355,29.30180419,27.64875561,34.84896587
ENSMUSG00000067851,Arfgef1,183.6846672,176.5826136,146.6517203,172.3847465,181.5966941,171.375229,173.7353202,163.6418135,193.6611827,178.2783613,166.0506393,168.9827785,180.3639877,180.1983575,172.3069509
ENSMUSG00000048960,Prex2,399.6065925,380.387624,252.1401508,421.5824518,339.2167867,393.3905508,407.752155,324.4201605,406.2388624,370.653899,341.815878,341.9404532,358.5615513,355.490551,391.9441185
ENSMUSG00000057715,A830018L16Rik,2.551899261,2.359274385,1.560124684,1.917984967,1.459445302,1.716613313,2.408910426,1.908977734,3.362032663,2.948078734,2.282665438,1.689330923,2.864086124,1.558967978,2.627631734
ENSMUSG00000016918,Sulf1,49.99639369,45.00769597,38.16304996,52.67441642,41.02083761,54.30220112,57.81385022,55.9966802,55.97986917,49.52772274,43.68915478,45.91005213,49.13009274,40.34975943,54.06352292
ENSMUSG00000025938,Slco5a1,1.92694434,1.996309095,0.960076729,5.145813327,3.909228489,6.294248813,3.995266072,3.552819672,3.321526246,5.467346016,4.618416119,4.123954899,1.909390749,4.722755934,6.667615525
ENSMUSG00000005886,Ncoa2,95.40978462,88.01908284,68.46547171,91.17445613,82.09379826,86.17398829,89.92286358,81.3966895,88.95209312,88.2279563,82.33521149,79.29918096,80.34128768,82.90041484,82.57332724
ENSMUSG00000025935,Tram1,148.8434304,147.424402,141.4913079,131.4053603,136.0932745,139.4462214,130.2868017,141.7946239,137.3167558,146.1175024,131.863743,134.8483566,151.7965646,142.278754,137.0966857
ENSMUSG00000025937,Lactb2,51.92333803,47.60894721,50.40402825,53.98425981,50.8720934,50.01066784,51.85032807,50.69396427,50.83555413,53.76223583,53.50992469,53.7604723,51.14964065,52.59224326,50.48337469
ENSMUSG00000025932,Eya1,8.749368895,6.472881006,6.540522713,7.531599506,5.785658163,7.724759907,8.636825185,6.257204795,7.331661591,4.877730269,5.839376702,5.564854804,7.013339098,5.823203918,5.747944418
ENSMUSG00000025930,Msc,0.624954921,0.786424795,0.660052751,0.374240969,0.208492186,0.286102219,0.646293041,1.325678982,0.364557759,0.643217178,0.424681942,0.844665461,0.587504846,0.366815995,0.68975333
ENSMUSG00000092083,Kcnb2,0.572875344,0.24197686,0.060004796,0.093560242,0.15636914,0.400543106,0.763800867,0.636325911,0.729115517,0.536014315,0.530852427,0.794979258,0.807819163,0.68777999,0.459835553
