"gene","kMEblue","kMEbrown","kMEgreen","kMEgrey","kMEred","kMEturquoise","kMEyellow","degree","betweenness","closeness"
"ENSMUSG00000025938",-0.467593660604844,0.373542601021794,-0.728724229652218,0.569817313856002,0.57664344500306,0.392092529544249,-0.319519627005906,NA,NA,NA
"ENSMUSG00000042686",0.509336326541436,0.832358558013111,0.0965134342330138,-0.0778149696186544,0.237112856662669,-0.520869488620672,-0.108678545896729,NA,NA,NA
"ENSMUSG00000067780",-0.557769463634025,-0.0889528713037402,0.398318907356937,-0.600113563289916,-0.558178847261066,0.650915191756555,-0.682847337833485,NA,NA,NA
"ENSMUSG00000025776",-0.76740286937204,-0.0131524034771142,-0.372028690913097,0.0558974935331393,-0.0555370561297828,0.793548087565453,-0.541540015401292,NA,NA,NA
"ENSMUSG00000025931",0.398414623527255,-0.0399079779159039,0.0694913488677359,0.299173526484354,0.0133257614877559,-0.525650877435537,0.913232211766028,NA,NA,NA
"ENSMUSG00000025934",0.669643509562134,0.267873932241176,0.502171778755385,-0.503756933805718,-0.154263029374288,-0.546479164319625,-0.130672779509025,NA,NA,NA
"ENSMUSG00000025936",0.683224732397788,0.259417748276996,0.14413443713133,-0.0945829024444795,0.232864634958018,-0.60812853246262,0.0030943960915379,NA,NA,NA
"ENSMUSG00000028033",0.897396151709901,0.46164420423554,0.136537028105395,0.139470380975766,0.341940622975232,-0.907730369015935,0.402857735695529,NA,NA,NA
"ENSMUSG00000026158",-0.935426741005837,-0.158877192159229,-0.511174995849811,0.230991775744356,0.0430780851678485,0.907596078406301,-0.275416855924859,NA,NA,NA
"ENSMUSG00000037447",-0.551382090530388,0.163223718856578,0.081437873150278,-0.333888530388283,-0.354669178181489,0.572239962595748,-0.426257436841258,NA,NA,NA
"ENSMUSG00000037138",0.928025177990264,0.255932502435582,0.310612286478333,-0.0438908437515073,0.231261173407577,-0.894153124105969,0.230366762868493,NA,NA,NA
"ENSMUSG00000026077",0.592987028470725,-0.213626204787504,0.653959948380846,-0.446591318880094,-0.405317729649002,-0.5088486837053,0.205323287401893,NA,NA,NA
"ENSMUSG00000048234",-0.901540689935903,-0.280655672255378,-0.430736234326711,0.189487029339196,-0.0497213675618079,0.8624907271187,-0.14754265418617,NA,NA,NA
"ENSMUSG00000050967",-0.932156369893685,-0.251321866347276,-0.271309239362742,-0.0321768061946279,-0.148029020203053,0.965339000768938,-0.566293273826562,NA,NA,NA
"ENSMUSG00000070942",-0.811609571174473,0.0652552717875229,-0.757167942679488,0.481389942344909,0.390311562935179,0.744670292413927,-0.331883763795618,NA,NA,NA
"ENSMUSG00000026069",-0.941527364468652,-0.165348922208389,-0.19360927354035,-0.128526309570303,-0.181281209134778,0.975504809821042,-0.655359427914418,NA,NA,NA
"ENSMUSG00000026070",0.453325247388391,-0.273048719747339,0.811727480670687,-0.707979907995828,-0.632657225966297,-0.363023522849335,0.112668076654759,NA,NA,NA
"ENSMUSG00000026065",-0.590876885777047,-0.226695675891497,0.148150276464043,-0.288029213834455,-0.521294286039521,0.573364209908186,-0.134240605166305,NA,NA,NA
"ENSMUSG00000079588",0.351476408202974,0.740692799235403,0.0922239485774116,-0.102807229542187,0.130541771594681,-0.350021740903915,-0.18098211093323,NA,NA,NA
"ENSMUSG00000046828",-0.580234331636873,0.0841961686754945,-0.260532898792164,-0.0741745588204538,-0.0402636421294467,0.638830105171239,-0.453368385768584,NA,NA,NA
"ENSMUSG00000026043",-0.831550885367464,-0.197632170620204,0.0997140533439756,-0.371131992001153,-0.428234310854662,0.894051229286536,-0.630868292813416,NA,NA,NA
