"","ID","Gene.name","logFC","logCPM","LR","PValue"
"12088","ENSMUSG00000043419","Chd3os",-0.0742700988131821,2.27348976448826,0.0325642677867934,0.856794812018271
"12089","ENSMUSG00000018474","Chd3",0.194790612698252,7.77989060723598,1.55506968167582,0.2123885763468
"12090","ENSMUSG00000044795","Cyb5d1",-0.153894694574814,4.40467551816628,0.775608532717517,0.378487580547902
"12091","ENSMUSG00000059278","Naa38",-0.0132596526773047,3.9183971631814,0.00233656284577899,0.961446865354634
"12092","ENSMUSG00000045377","Tmem88",0.396889557607469,3.13768881143779,1.1573760147525,0.282010397325321
"12093","ENSMUSG00000018476","Kdm6b",0.269730850165746,7.13434395303015,2.55011728365755,0.110286068065568
"12094","ENSMUSG00000085178","Kdm6bos",0.608066114675462,-0.143182970256332,1.33812894190595,0.247364202760948
"12095","ENSMUSG00000005237","Dnah2",-0.191616265724602,3.95405156510257,0.651635160025307,0.41952867318293
"12096","ENSMUSG00000086591","Dnah2os",0.986679291952236,0.765058981858845,3.480007659676,0.0621144522101037
"12097","ENSMUSG00000003934","Efnb3",-0.399740595187784,-0.142048586403682,0.574866653411915,0.448331492775016
"12098","ENSMUSG00000041346","Wrap53",0.265923712250053,3.00345195510837,1.11281681422513,0.291470454322561
"12099","ENSMUSG00000059552","Trp53",0.0651575919123983,5.53820962110519,0.173404450850296,0.677103719889032
"12100","ENSMUSG00000041329","Atp1b2",-0.0129992039308044,3.44972491623281,0.00184583046366171,0.9657309254003
"12101","ENSMUSG00000069835","Sat2",-0.154068461463736,0.287588641163085,0.127567202991215,0.720967902791623
"12102","ENSMUSG00000018765","Fxr2",-0.0631873219103893,6.61555257304789,0.182262176482389,0.669436326575742
"12103","ENSMUSG00000018761","Mpdu1",0.271501743596115,5.20617622830569,1.20992907603993,0.271346168655943
"12104","ENSMUSG00000018774","Cd68",-0.0734536926737373,6.12851628957433,0.140494488514338,0.707789917881876
"12105","ENSMUSG00000059796","Eif4a1",-0.100612893060798,7.87774073196804,0.402666918349283,0.525715153385292
"12106","ENSMUSG00000089542","Gm25835",0.626529920784867,-0.930319218107721,0.953728645902352,0.32877201511696
"12107","ENSMUSG00000005204","Senp3",0.0412821093650663,5.95118869411785,0.0835912512126805,0.772488388728372
"12108","ENSMUSG00000085890","Tnfsf13os",0.359291399262055,0.0715733363031958,0.461748922554814,0.496807744262564
"12109","ENSMUSG00000018752","Tnfsfm13",0.443419448549497,3.4695544070777,2.57772027620129,0.108377648230146
"12110","ENSMUSG00000089669","Tnfsf13",0.050834928425223,3.14449227680362,0.0261245218019801,0.871596585991344
"12111","ENSMUSG00000097328","Tnfsf12",-0.0908948399437588,4.58358066358334,0.294904035861629,0.587094912180201
"12112","ENSMUSG00000005198","Polr2a",0.12532225520089,7.9967146616936,0.282921415683814,0.594792779441085
"12113","ENSMUSG00000018776","Slc35g3",-1.29787454501522,1.12493563195469,13.6024982399682,0.000225884723584711
"12114","ENSMUSG00000018750","Zbtb4",0.153342343282334,8.22036465528164,0.798486810220867,0.371546173798227
