"X","ID","Gene.name","logFC","logCPM","LR","PValue","entrezgene_id"
1878,"ENSMUSG00000001998","Ap4e1",-1.45619471866261,4.46202461903541,59.8805098324179,1.00794672588583e-14,108011
2199,"ENSMUSG00000017950","Hnf4a",-2.82998309965648,-1.39848150928537,15.8336697160343,6.91608173189558e-05,15378
2901,"ENSMUSG00000015401","Tmem27",-2.19255751154554,-0.958583610947552,12.5477818703649,0.000396676886008074,NA
5287,"ENSMUSG00000029377","Ereg",-1.37662461623233,1.47064458134143,13.4619591488735,0.000243449411379092,13874
6287,"ENSMUSG00000094491","Igkv1-133",-1.43930423193261,2.33728290942743,15.8093770239003,7.00544611368717e-05,NA
6293,"ENSMUSG00000095497","Igkv1-122",-1.87227709121971,0.57479313088209,14.5171037355809,0.000138892770433168,NA
6297,"ENSMUSG00000076518","Igkv2-112",-2.70070837790015,0.878485870937362,21.5922991822975,3.37203017701379e-06,NA
6511,"ENSMUSG00000030049","Gkn2",-5.21585894053919,-1.59599968825553,30.9889665263502,2.59499435557011e-08,66284
8549,"ENSMUSG00000019893","Ros1",-1.95218817818598,1.72013260950754,30.0262866455991,4.26229004262945e-08,19886
11932,"ENSMUSG00000082292","Gm12250",-1.2021222790713,3.9886094447272,31.4112852065508,2.08763969073568e-08,NA
12368,"ENSMUSG00000035042","Ccl5",-1.14158760672282,3.36541033206564,20.8712176060094,4.91220566905542e-06,20304
13542,"ENSMUSG00000023132","Gzma",-1.37128528490536,3.01238402544969,21.9723040976176,2.76613451476409e-06,14938
14018,"ENSMUSG00000066363","Serpina3f",-1.18465231501352,3.74471714057808,21.4953145012092,3.54694255555408e-06,238393
14053,"ENSMUSG00000040856","Dlk1",-3.06074040404719,4.74060492808349,178.658888582475,9.51141812210179e-41,13386
14054,"ENSMUSG00000021268","Meg3",-1.23598584717266,4.31299425060866,15.3187744278346,9.08095087404266e-05,17263
14055,"ENSMUSG00000097451","Rian",-1.1589502893767,3.21004317289447,13.1401631433822,0.000289032689927679,NA
14129,"ENSMUSG00000095866","Ighv2-4",-1.5996801873878,0.552653614331186,13.1793862624302,0.000283045440727719,NA
14152,"ENSMUSG00000102515","Ighv12-2",-3.24207114624278,-0.0721537213751688,31.4669288949717,2.02866163370545e-08,NA
14177,"ENSMUSG00000102364","Ighv8-5",-1.23230269161729,2.91888404352557,12.6357589033309,0.000378437550203631,NA
14436,"ENSMUSG00000044678","Ly6k",-1.84346320042785,0.0644720547893252,14.8065899172336,0.000119118520686772,76486
