"gene","kMEblue","kMEbrown","kMEgreen","kMEgrey","kMEred","kMEturquoise","kMEyellow"
"ENSMUSG00000028033",0.897396151709901,0.46164420423554,0.136537028105395,0.139470380975766,0.341940622975232,-0.907730369015935,0.402857735695529
"ENSMUSG00000037138",0.928025177990264,0.255932502435582,0.310612286478333,-0.0438908437515073,0.231261173407577,-0.894153124105969,0.230366762868493
"ENSMUSG00000052331",0.88467549934497,0.152811745340758,0.119518260807013,0.114388914746908,0.374292023171974,-0.841228454797584,0.260543750141824
"ENSMUSG00000067336",0.884436787294849,0.148465266793574,0.166945482183166,0.0854856322524648,0.340349759225591,-0.874276477445622,0.24767457263989
"ENSMUSG00000044340",0.946745900654409,0.137809929580272,0.317375587853444,0.038515877303129,0.132474636679247,-0.961626843205579,0.53062335511081
"ENSMUSG00000042066",0.944655262884207,0.0336124803018183,0.518298090997554,-0.269845056265629,-0.0533470824404622,-0.884887697581243,0.370378312780621
"ENSMUSG00000070643",0.908881038357528,-0.0881760661913683,0.461918886044317,-0.115614605117099,-0.00704363362741858,-0.883442411310907,0.369543309420148
"ENSMUSG00000040181",0.969590192568655,0.270725018889422,0.232500571527432,0.00351751698904053,0.251369276776063,-0.952196389258674,0.419664111863324
"ENSMUSG00000040170",0.836381731703484,0.324210204743585,0.368953261833054,-0.228396402094056,0.0985534811076818,-0.773349582938076,0.115904943702697
"ENSMUSG00000026691",0.85681221188369,0.236016687841357,0.101505941121494,0.0489890288724504,0.275848041505142,-0.826991743578584,0.200157949740579
"ENSMUSG00000007097",0.841394057152301,0.530705700328813,0.235709166385006,-0.024413320245136,0.23179367441837,-0.821888636265775,0.169276762940288
"ENSMUSG00000073489",0.90013729147119,0.288482635341948,0.143294502815249,0.0260878034271486,0.255977378941806,-0.875600440550871,0.427816714422432
"ENSMUSG00000009633",0.886167747311289,0.112408003010196,0.390138304624493,-0.167163833019597,-0.00265252177970652,-0.836317621670655,0.396648841827178
"ENSMUSG00000026961",0.914501534499029,0.266017549954459,0.129905176002501,0.0709895142278075,0.284380608227662,-0.896905035168622,0.414116007991775
"ENSMUSG00000026814",0.914407252885031,0.0322153139837804,0.609616250326187,-0.407521780040413,-0.181719753409835,-0.836265767690529,0.257839471200018
"ENSMUSG00000026879",0.921550154129343,0.283508536821603,0.40503821718735,-0.213670730487577,0.0459078127430313,-0.87584306496503,0.261382310666006
"ENSMUSG00000049044",0.844700642379584,-0.039896341185221,0.233744947086478,0.0143938227105473,0.0535036896268269,-0.834450204347672,0.431307780453235
"ENSMUSG00000059588",0.968730824702652,0.108074165189653,0.322222177930968,0.00580477993371775,0.158420917739297,-0.958800089538138,0.473317346017507
"ENSMUSG00000027074",0.968797711160326,0.195981992887414,0.349605329739459,-0.110643087713019,0.0816003775814967,-0.926644723593169,0.37054155008834
"ENSMUSG00000027217",0.970308724038365,0.134472723597524,0.256237328438208,0.057671371313462,0.20851580198482,-0.962130367821851,0.470012572188237
"ENSMUSG00000041644",0.858655207139337,0.0997572344915069,0.392167506998696,-0.152599135954864,0.0823825345447613,-0.826669478026251,0.141626494488623
"ENSMUSG00000027314",0.89350734023588,0.242711109555659,0.218976985454251,-0.0387590734997472,0.193730237145655,-0.869376454389134,0.43770658876713
"ENSMUSG00000027380",0.96730590529238,0.175003797886268,0.370998677300993,-0.0756638598193452,0.0125149173347951,-0.973903865525269,0.586429019795664
"ENSMUSG00000037014",0.849322456871051,0.135493027881291,-0.0144363311385861,0.386213403063723,0.387759305540207,-0.907530793502858,0.645878072629836
"ENSMUSG00000074743",0.962185035975184,0.0757070077252203,0.432779726322225,-0.105589332490216,0.0119275023831274,-0.945492538155774,0.4692239252693
"ENSMUSG00000027442",0.936664840462898,0.133957227316128,0.160851618238795,0.193047066019112,0.244795466228221,-0.963034074347527,0.574782596516453
"ENSMUSG00000037754",0.927701574020842,0.0911807288109509,0.234242214754615,0.108144937049103,0.271479814370489,-0.922369706837493,0.4249167277705
"ENSMUSG00000074607",0.950893963041445,0.185213254451751,0.327389236533217,-0.087959418435738,0.175862232181992,-0.898376425273425,0.254254712133528
"ENSMUSG00000018209",0.877631314531224,0.244646937127265,0.05611781121792,0.267156903798907,0.407458688401607,-0.910529705848752,0.47504237558331
"ENSMUSG00000017754",0.938120477082198,0.172629272795322,0.171201983670114,0.109420592757818,0.244601287329659,-0.939230912315519,0.478681898125087
"ENSMUSG00000058254",0.980405027551129,0.242861135144671,0.308021325916359,-0.0538296444036437,0.182197481411928,-0.95889043985173,0.430738770169517
"ENSMUSG00000036782",0.877358794215693,0.0374933752134704,0.627772398315845,-0.362792417543275,-0.221457344558781,-0.832347365861676,0.495168701865904
"ENSMUSG00000031340",0.893760782070945,0.265919557765264,0.0951872137808892,0.235806660826203,0.31053793790272,-0.924446117415479,0.530738647070917
"ENSMUSG00000031216",0.894161324146004,0.00837568487835106,0.180819865503847,0.105409220893651,0.148459783912859,-0.901552290105003,0.666983624261725
"ENSMUSG00000031217",0.909207397302074,0.0548992997079909,0.587030485113685,-0.325767194267909,-0.20956257641433,-0.864008830026191,0.467321969019738
"ENSMUSG00000071719",0.844406831995868,0.131316660518418,0.52986184383688,-0.210546678132071,-0.128144718510182,-0.849209808676389,0.447213638392845
"ENSMUSG00000042750",0.834410412039616,0.161393613516265,0.147326665363773,0.193329682045514,0.141563557597943,-0.90701127386992,0.831822263109179
"ENSMUSG00000047844",0.859053006729484,0.12768177637516,0.188412954096819,0.14274020662666,0.114104382316203,-0.917648530298242,0.805508359138184
"ENSMUSG00000025270",0.840022344667035,0.239267343274099,0.0223806565433449,0.251003597269657,0.416051080631863,-0.841158507037271,0.254193638973838
"ENSMUSG00000040289",0.806343620697354,0.157126695871893,0.396937733519845,-0.296910657773061,0.0369137676412481,-0.732140213523898,0.216653457292892
"ENSMUSG00000037211",0.957336658132591,0.231725572648517,0.334497521564145,-0.0418731242524654,0.0631681901341512,-0.973826906798444,0.531650670363615
"ENSMUSG00000044864",0.89729807573762,0.0367719499934759,0.376839566128148,-0.0734040347849249,0.114334805713951,-0.881457087480656,0.315319040513861
"ENSMUSG00000041842",0.920199597228791,0.0968584188610788,0.247279920506596,0.0593508415773993,0.136631243058043,-0.938519149742666,0.483309453315519
"ENSMUSG00000046280",0.896456040727463,-0.010063404476706,0.606205046658192,-0.362321984551848,-0.109669250900507,-0.819592540576496,0.165992344273283
"ENSMUSG00000027931",0.959707767829117,0.0196728185438434,0.454824916886108,-0.12124955323035,-0.0475665562515793,-0.946105594759559,0.547602925620928
"ENSMUSG00000074457",0.903102717391357,0.310587101810572,0.295060697158453,-0.0697968021641269,0.0502177138512017,-0.899114141938496,0.551673386332067
