"gene1","module1","EntrezID"
"ENSMUSG00000002588","blue","18979"
"ENSMUSG00000000058","blue","12390"
"ENSMUSG00000007655","blue","12389"
"ENSMUSG00000041301","blue","12638"
"ENSMUSG00000017978","blue","320405"
"ENSMUSG00000079654","blue","101359"
"ENSMUSG00000003500","blue","23917"
"ENSMUSG00000043421","blue","69573"
"ENSMUSG00000029772","blue","74340"
"ENSMUSG00000038871","blue","12183"
"ENSMUSG00000029864","blue","76263"
"ENSMUSG00000029859","blue","13835"
"ENSMUSG00000079560","blue","15400"
"ENSMUSG00000038253","blue","15402"
"ENSMUSG00000043496","blue","66873"
"ENSMUSG00000038065","blue","68235"
"ENSMUSG00000003477","blue","21743"
"ENSMUSG00000004655","blue","11826"
"ENSMUSG00000045441","blue","243385"
"ENSMUSG00000025889","blue","20617"
"ENSMUSG00000054422","blue","14080"
"ENSMUSG00000053907","blue","232087"
"ENSMUSG00000063415","blue","232174"
"ENSMUSG00000015053","blue","14461"
"ENSMUSG00000030087","blue","66277"
"ENSMUSG00000034037","blue","232237"
"ENSMUSG00000097462","blue","330385"
"ENSMUSG00000030067","blue","108655"
"ENSMUSG00000030278","blue","14311"
"ENSMUSG00000030134","blue","70727"
"ENSMUSG00000001930","blue","22371"
"ENSMUSG00000030352","blue","109246"
"ENSMUSG00000033082","blue","243653"
"ENSMUSG00000030189","blue","56449"
"ENSMUSG00000041741","blue","54611"
"ENSMUSG00000030246","blue","16832"
"ENSMUSG00000062524","blue","17086"
"ENSMUSG00000035458","blue","21954"
"ENSMUSG00000085272","blue","381835"
"ENSMUSG00000041560","blue","68077"
"ENSMUSG00000040987","blue","243864"
"ENSMUSG00000003545","blue","14282"
"ENSMUSG00000052974","blue","13107"
"ENSMUSG00000040488","blue","108075"
"ENSMUSG00000037166","blue","68458"
"ENSMUSG00000074218","blue","12865"
"ENSMUSG00000036570","blue","56188"
"ENSMUSG00000030495","blue","53896"
"ENSMUSG00000064023","blue","259277"
"ENSMUSG00000110206","blue","14256"
"ENSMUSG00000070570","blue","72961"
"ENSMUSG00000063511","blue","20637"
"ENSMUSG00000030554","blue","233335"
"ENSMUSG00000005533","blue","16001"
"ENSMUSG00000097415","blue","108167440"
"ENSMUSG00000049791","blue","14366"
"ENSMUSG00000030616","blue","83671"
"ENSMUSG00000035686","blue","21835"
"ENSMUSG00000035547","blue","12337"
"ENSMUSG00000090958","blue","434215"
"ENSMUSG00000018909","blue","109689"
"ENSMUSG00000073940","blue","101488143"
"ENSMUSG00000052305","blue","15129"
"ENSMUSG00000036989","blue","55992"
"ENSMUSG00000007279","blue","56788"
"ENSMUSG00000030787","blue","114332"
"ENSMUSG00000038296","blue","233733"
"ENSMUSG00000055116","blue","11865"
"ENSMUSG00000055723","blue","66922"
"ENSMUSG00000058420","blue","110058"
"ENSMUSG00000030878","blue","12585"
"ENSMUSG00000030717","blue","56312"
"ENSMUSG00000030711","blue","20887"
"ENSMUSG00000025488","blue","12869"
"ENSMUSG00000037664","blue","12577"
"ENSMUSG00000019762","blue","70337"
"ENSMUSG00000038587","blue","83397"
"ENSMUSG00000045680","blue","21412"
"ENSMUSG00000047669","blue","73390"
"ENSMUSG00000037202","blue","18646"
"ENSMUSG00000020069","blue","432467"
"ENSMUSG00000069601","blue","11735"
"ENSMUSG00000037762","blue","66859"
"ENSMUSG00000035697","blue","70719"
"ENSMUSG00000044199","blue","13611"
"ENSMUSG00000020038","blue","12952"
"ENSMUSG00000019929","blue","13179"
"ENSMUSG00000020154","blue","19263"
"ENSMUSG00000028630","blue","69181"
"ENSMUSG00000025407","blue","14632"
"ENSMUSG00000058396","blue","11536"
"ENSMUSG00000001300","blue","13642"
"ENSMUSG00000031442","blue","17207"
"ENSMUSG00000038515","blue","66790"
"ENSMUSG00000031489","blue","11556"
"ENSMUSG00000031613","blue","15446"
"ENSMUSG00000053626","blue","21892"
"ENSMUSG00000034911","blue","234395"
"ENSMUSG00000034845","blue","84094"
"ENSMUSG00000043664","blue","434325"
"ENSMUSG00000055148","blue","16598"
"ENSMUSG00000051839","blue","14934"
"ENSMUSG00000031710","blue","22227"
"ENSMUSG00000005481","blue","68278"
"ENSMUSG00000002885","blue","26364"
"ENSMUSG00000043668","blue","244579"
"ENSMUSG00000055368","blue","20538"
"ENSMUSG00000057074","blue","12623"
"ENSMUSG00000031748","blue","14681"
"ENSMUSG00000031775","blue","67801"
"ENSMUSG00000031778","blue","20312"
"ENSMUSG00000031881","blue","12556"
"ENSMUSG00000014846","blue","67971"
"ENSMUSG00000086390","blue","69771"
"ENSMUSG00000033763","blue","244654"
"ENSMUSG00000031825","blue","78892"
"ENSMUSG00000031824","blue","234797"
"ENSMUSG00000097336","blue","68790"
"ENSMUSG00000042812","blue","15227"
"ENSMUSG00000006362","blue","12398"
"ENSMUSG00000021750","blue","268709"
"ENSMUSG00000023243","blue","16529"
"ENSMUSG00000039081","blue","218820"
"ENSMUSG00000040717","blue","171463"
"ENSMUSG00000071547","blue","70021"
"ENSMUSG00000021904","blue","218877"
"ENSMUSG00000057606","blue","382864"
"ENSMUSG00000041479","blue","319508"
"ENSMUSG00000072601","blue","13586"
"ENSMUSG00000004558","blue","29811"
"ENSMUSG00000060373","blue","15381"
"ENSMUSG00000022220","blue","104110"
"ENSMUSG00000044461","blue","219134"
"ENSMUSG00000063060","blue","20680"
"ENSMUSG00000034522","blue","380912"
"ENSMUSG00000022032","blue","71145"
"ENSMUSG00000045875","blue","11549"
"ENSMUSG00000022122","blue","13618"
"ENSMUSG00000022132","blue","58187"
"ENSMUSG00000032172","blue","244723"
"ENSMUSG00000032198","blue","319899"
"ENSMUSG00000036395","blue","244757"
"ENSMUSG00000032035","blue","23871"
"ENSMUSG00000035934","blue","208076"
"ENSMUSG00000053310","blue","64011"
"ENSMUSG00000059495","blue","69632"
"ENSMUSG00000066687","blue","235320"
"ENSMUSG00000032315","blue","13076"
"ENSMUSG00000066607","blue","319477"
"ENSMUSG00000032249","blue","11737"
"ENSMUSG00000041729","blue","235431"
"ENSMUSG00000036867","blue","17130"
"ENSMUSG00000091956","blue","75697"
"ENSMUSG00000013584","blue","19378"
"ENSMUSG00000041361","blue","102371"
"ENSMUSG00000033590","blue","208943"
"ENSMUSG00000042487","blue","235497"
"ENSMUSG00000056267","blue","68121"
"ENSMUSG00000037681","blue","272636"
"ENSMUSG00000043154","blue","235542"
"ENSMUSG00000032548","blue","24059"
"ENSMUSG00000079355","blue","252837"
"ENSMUSG00000010047","blue","15587"
"ENSMUSG00000056724","blue","235627"
"ENSMUSG00000066319","blue","235636"
"ENSMUSG00000043953","blue","54199"
"ENSMUSG00000041794","blue","245049"
"ENSMUSG00000044534","blue","59289"
"ENSMUSG00000020427","blue","16009"
"ENSMUSG00000020160","blue","17268"
"ENSMUSG00000032878","blue","216613"
"ENSMUSG00000020467","blue","216616"
"ENSMUSG00000069919","blue","15122"
"ENSMUSG00000069917","blue","110257"
"ENSMUSG00000044707","blue","380694"
"ENSMUSG00000048852","blue","620913"
"ENSMUSG00000078921","blue","100039796"
"ENSMUSG00000078920","blue","15953"
"ENSMUSG00000020357","blue","14257"
"ENSMUSG00000018899","blue","16362"
"ENSMUSG00000081769","blue","622459"
"ENSMUSG00000020524","blue","14799"
"ENSMUSG00000078853","blue","16145"
"ENSMUSG00000069874","blue","54396"
"ENSMUSG00000004837","blue","71520"
"ENSMUSG00000020902","blue","18208"
"ENSMUSG00000052921","blue","442801"
