"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000055116","ENSMUSG00000055116","Arntl",-1.15917923058446,2.79704971047677,14.8188333485968,0.000118347693099177,0.0182160346547921
"ENSMUSG00000094164","ENSMUSG00000094164","Ighv2-3",-1.48410175443771,2.73992348091689,14.242842267062,0.000160670713010085,0.0232756506015198
"ENSMUSG00000095351","ENSMUSG00000095351","Igkv3-2",-1.72995158996013,4.03451524810916,14.1457905662301,0.00016917520891919,0.0241025737732059
"ENSMUSG00000094502","ENSMUSG00000094502","Ighv1-69",-2.11035483096062,1.14616929991229,13.7333069181726,0.000210684907755734,0.0288951322318107
"ENSMUSG00000076540","ENSMUSG00000076540","Igkv4-80",-1.55316429863298,2.03886239189555,13.3905637075185,0.000252893373829533,0.0327791644469723
"ENSMUSG00000028255","ENSMUSG00000028255","Clca1",-1.61772548800556,0.789738865431264,13.3224118705339,0.000262252634339944,0.0334886900991577
"ENSMUSG00000096833","ENSMUSG00000096833","Igkv4-55",-1.90011351150981,4.28012145802268,13.0267185831599,0.000307078143714343,0.0369060666734477
"ENSMUSG00000018822","ENSMUSG00000018822","Sfrp5",-1.12131827735102,1.18114868105998,12.6154694933471,0.000382567436837981,0.042548903507419
"ENSMUSG00000076672","ENSMUSG00000076672","Ighv3-6",-1.82551681957642,4.6374274978167,11.3946262360391,0.000736568671981217,0.0708645308520749
"ENSMUSG00000076555","ENSMUSG00000076555","Igkv4-57-1",-1.81226649047849,4.79159876141501,11.0896914861288,0.000868089252705926,0.0779426595176951
"ENSMUSG00000089809","ENSMUSG00000089809","Rasgef1b",-1.0268613962292,5.73688902663257,10.3254996959293,0.00131204732571833,0.104471375525423
"ENSMUSG00000095642","ENSMUSG00000095642","Ighv14-3",-1.06764480214581,3.60327275904984,10.0603531247495,0.00151494186534335,0.117651357301909
"ENSMUSG00000042895","ENSMUSG00000042895","Abra",-1.09453984471214,0.89755424310539,10.0243180154656,0.00154486866676422,0.119425968369275
