"Gene_ID","PC2_Loading","Gene.name"
"ENSMUSG00000001865",0.0241340457710389,"Cpa3"
"ENSMUSG00000009185",0.0240377792049027,"Ccl8"
"ENSMUSG00000020053",0.023864712467453,"Igf1"
"ENSMUSG00000022225",0.0241448210868944,"Cma1"
"ENSMUSG00000023992",0.0240367761339217,"Trem2"
"ENSMUSG00000024173",0.0241486141066335,"Tpsab1"
"ENSMUSG00000026069",0.0238217717406717,"Il1rl1"
"ENSMUSG00000027338",0.0236072719118995,"Prnd"
"ENSMUSG00000027400",0.023622741416524,"Pdyn"
"ENSMUSG00000027442",0.0244218418892823,"Cst8"
"ENSMUSG00000028111",0.0236387605657842,"Ctsk"
"ENSMUSG00000028364",0.0242200907372833,"Tnc"
"ENSMUSG00000033825",0.0244814458541368,"Tpsb2"
"ENSMUSG00000037953",0.0236227245630222,"A4gnt"
"ENSMUSG00000039196",0.0243957075657304,"Orm1"
"ENSMUSG00000040046",0.0247646890645056,"Tph1"
"ENSMUSG00000045312",0.0235245416802106,"Lhfpl2"
"ENSMUSG00000046186",0.0236053543346803,"Cd109"
"ENSMUSG00000053469",0.0236116970885607,"Tg"
"ENSMUSG00000061068",0.0239861766898554,"Mcpt4"
