"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000022206","ENSMUSG00000022206","Npr3",1.39198777016077,6.68839676291668,96.4030040930975,9.37248349733114e-23,1.61572243010492e-18
"ENSMUSG00000030787","ENSMUSG00000030787","Lyve1",1.58604372980424,6.03884573093037,75.0427168959239,4.60639065611114e-18,3.970478426035e-14
"ENSMUSG00000087582","ENSMUSG00000087582","Ighv6-7",6.96630130906042,0.49015452822365,71.9939488793371,2.1585828054391e-17,1.24039363276549e-13
"ENSMUSG00000095079","ENSMUSG00000095079","Igha",1.51404461617377,11.6857504668148,59.5119584644465,1.2155324513599e-14,5.23864098224835e-11
"ENSMUSG00000096464","ENSMUSG00000096464","Ighv2-2",1.51895298484947,4.28875330392071,48.0165182816729,4.22643491467006e-12,1.45719022987994e-08
"ENSMUSG00000067149","ENSMUSG00000067149","Jchain",1.50416278044217,9.95853967676494,46.9456159200718,7.29840670340629e-12,2.09695388600035e-08
"ENSMUSG00000096672","ENSMUSG00000096672","Ighv1-63",5.40964040309369,1.32484330234294,42.1615619312587,8.40356341000419e-11,2.06955756607232e-07
"ENSMUSG00000110631","ENSMUSG00000110631","Gm42047",1.51461905996438,5.10796065021501,33.4498011352042,7.31272540010776e-09,1.40071192413842e-05
"ENSMUSG00000096499","ENSMUSG00000096499","Ighv1-5",3.60258569858413,3.16173480944155,33.0001338104837,9.21525293834485e-09,1.44419768549206e-05
"ENSMUSG00000024353","ENSMUSG00000024353","Mzb1",1.5750925741471,3.75062122204345,31.0552306217472,2.50789582156431e-08,3.6028013389956e-05
"ENSMUSG00000076609","ENSMUSG00000076609","Igkc",1.42379558901362,10.8631808216528,30.3318078271657,3.64105872006886e-08,4.82832394425132e-05
"ENSMUSG00000041481","ENSMUSG00000041481","Serpina3g",1.13039135360805,4.46827750585229,28.7040603933046,8.43267393737268e-08,9.69139106709117e-05
"ENSMUSG00000040035","ENSMUSG00000040035","Disp2",1.23418525888006,4.69385608244686,27.2022026931949,1.83249780156703e-07,0.000175502386673411
"ENSMUSG00000094433","ENSMUSG00000094433","Igkv5-43",1.56636559621974,5.53108700293084,26.9555936997806,2.08183781691349e-07,0.000187134218985688
"ENSMUSG00000094345","ENSMUSG00000094345","Igkv14-126",3.22257780675841,1.95906922825245,25.3953487419299,4.67042848783251e-07,0.000365970530462475
"ENSMUSG00000076613","ENSMUSG00000076613","Ighg2b",1.17559248757802,7.16518296313459,25.3034889915741,4.89821936085859e-07,0.00036713218939931
"ENSMUSG00000076940","ENSMUSG00000076940","Iglv2",2.14682846808027,3.05984415714521,23.7358622771732,1.10504120029556e-06,0.00076199221007581
"ENSMUSG00000051998","ENSMUSG00000051998","Lax1",1.413507945962,3.33260604406471,22.5313587234954,2.06740978092056e-06,0.00132000285975146
"ENSMUSG00000066363","ENSMUSG00000066363","Serpina3f",1.3883759633534,3.19075184963474,21.9168992656103,2.84715584832925e-06,0.00169248688514993
"ENSMUSG00000096074","ENSMUSG00000096074","Ighv1-72",3.22468096548404,1.30631556062182,21.146490116832,4.25479798391655e-06,0.00236607943370121
"ENSMUSG00000076646","ENSMUSG00000076646","Ighv2-6-8",2.68301236997999,4.78258927470787,20.8687761444057,4.91847089246582e-06,0.00264967249110057
"ENSMUSG00000076937","ENSMUSG00000076937","Iglc2",1.7315904111225,4.9296807817399,20.7137946201389,5.33304190129965e-06,0.00278594876777287
"ENSMUSG00000094797","ENSMUSG00000094797","Igkv6-15",1.26741704790441,6.07609199502982,20.2147534423929,6.9217048350448e-06,0.00343403653964772
"ENSMUSG00000029371","ENSMUSG00000029371","Cxcl5",1.88489787697927,1.00199731558148,18.4240720740816,1.76810206905273e-05,0.00712763763507069
"ENSMUSG00000094164","ENSMUSG00000094164","Ighv2-3",2.33844571096963,2.73992348091689,18.4191400583148,1.77268422608364e-05,0.00712763763507069
"ENSMUSG00000096670","ENSMUSG00000096670","Ighv2-6",2.4419365384223,4.54962617292235,18.1390352504983,2.05348403780064e-05,0.00769565463644461
"ENSMUSG00000096336","ENSMUSG00000096336","Igkv1-135",3.38878271647389,5.42936546411488,17.9155073027612,2.3093177960891e-05,0.00812455703811835
"ENSMUSG00000093861","ENSMUSG00000093861","Igkv1-110",1.8468522871346,5.92741281475789,17.7661802426725,2.4978406537562e-05,0.00861205500602064
"ENSMUSG00000094420","ENSMUSG00000094420","Igkv10-96",2.00743259175014,5.67149027421244,17.4157862944305,3.00321350826345e-05,0.00976837691867049
"ENSMUSG00000076672","ENSMUSG00000076672","Ighv3-6",3.2610232798405,4.6374274978167,17.2781774003154,3.22873698269287e-05,0.010307443860119
"ENSMUSG00000018822","ENSMUSG00000018822","Sfrp5",1.7164996299036,1.18114868105998,16.4234379003064,5.06550054643485e-05,0.0148007057491509
"ENSMUSG00000076598","ENSMUSG00000076598","Igkv3-7",2.97927386152236,4.55800894963154,16.3867292740202,5.16455573824906e-05,0.0148386293952792
"ENSMUSG00000041794","ENSMUSG00000041794","Myrip",1.00337076226906,2.99569510541223,15.9273649474379,6.58201756414512e-05,0.0170637339385446
"ENSMUSG00000016756","ENSMUSG00000016756","Cmah",1.07047996171858,4.70406767507628,15.9130796751704,6.63188220826318e-05,0.0170637339385446
"ENSMUSG00000058396","ENSMUSG00000058396","Gpr182",1.13546676779869,4.60119816292612,15.8763362024339,6.76189286859111e-05,0.0171423928178885
"ENSMUSG00000032053","ENSMUSG00000032053","Pou2af1",1.02834769239565,4.75725537171796,15.6042701488484,7.80780660810567e-05,0.0189203777069084
