"","ID","Gene.name","logFC","logCPM","LR","PValue"
"1","ENSMUSG00000051951","Xkr4",0.531675153769047,0.357050516479795,2.02809349877268,0.154414204615648
"2","ENSMUSG00000025900","Rp1",0.0519782739154639,3.45107260117726,0.0961971227710259,0.756441864694185
"3","ENSMUSG00000025902","Sox17",-0.106887925240232,6.02211931219931,0.554680382239944,0.456411573644767
"4","ENSMUSG00000102269","Gm7357",0.676949808891057,-0.0708322209936642,1.67433816210946,0.19567847952996
"5","ENSMUSG00000033845","Mrpl15",-0.0923908212206728,4.30227729392814,0.526761732622982,0.467971485097535
"6","ENSMUSG00000025903","Lypla1",-0.214303935758975,5.92803190276785,4.26030153773027,0.039012995798717
"7","ENSMUSG00000033813","Tcea1",-0.0719429311825989,6.30534684130297,0.319317463778878,0.57201811318354
"8","ENSMUSG00000033793","Atp6v1h",-0.128068603514981,5.88306774642625,1.49689333545995,0.221149992432826
"9","ENSMUSG00000025907","Rb1cc1",0.0593255436114135,6.53821449378183,0.233580984238969,0.628881201911872
"10","ENSMUSG00000090031","4732440D04Rik",0.0794957264759083,2.31601237432295,0.122500754631951,0.726337888597718
"11","ENSMUSG00000087247","Alkal1",-0.0698310741552214,2.43972481491919,0.0650254263886128,0.798722453495642
"12","ENSMUSG00000051285","Pcmtd1",0.123380836247513,6.75510725146383,1.14801178801294,0.283965739057286
"13","ENSMUSG00000103509","Gm38372",0.679800921253329,1.09881494094966,2.67417098940608,0.10198842230448
"14","ENSMUSG00000061024","Rrs1",-0.276141688692297,4.67186479660639,5.13155358313814,0.0234946889823474
"15","ENSMUSG00000025911","Adhfe1",0.158349923583254,3.54181461727491,0.543863371965987,0.460836015316044
"16","ENSMUSG00000079671","2610203C22Rik",-0.0767044621698593,2.87383229246572,0.151819613755846,0.696802499871305
"17","ENSMUSG00000025912","Mybl1",-0.27160511319623,1.68104553142964,1.00010393741039,0.317285359359353
"18","ENSMUSG00000045210","Vcpip1",0.0667788993702042,5.9995462341763,0.308334037254518,0.578704290360948
"19","ENSMUSG00000097893","1700034P13Rik",0.291047659566422,-0.192020424503707,0.457517628674952,0.498786403515975
"20","ENSMUSG00000025915","Sgk3",-0.00747332667475532,4.49815029009723,0.00289280181028895,0.957106641317361
"21","ENSMUSG00000098234","Snhg6",0.0169474094975513,2.6189773147088,0.00510471207908481,0.943041791420632
"22","ENSMUSG00000099032","Tcf24",0.0941780416257563,0.86430232639506,0.0978688411890734,0.754402253619817
"23","ENSMUSG00000025916","Ppp1r42",-0.220622860886245,-0.0284679553723754,0.271345480108287,0.602430637717228
