"gene","kMEblue","kMEbrown","kMEgreen","kMEgrey","kMEred","kMEturquoise","kMEyellow"
"ENSMUSG00000042474",0.157144657293471,0.365603905390956,-0.736867219481519,0.767671637807411,0.97115770178367,-0.215513243410545,0.0334187944551738
"ENSMUSG00000020423",-0.0872515297890368,0.193598215663338,-0.822380547746458,0.775063505037438,0.868085223669675,0.0339478856651711,-0.0808125969603589
"ENSMUSG00000041642",0.0391996285271577,0.302771805458687,-0.856455748835696,0.901337384906888,0.977212281913641,-0.126171963468476,0.0686692090218975
"ENSMUSG00000026395",-0.286416949181801,0.206656536472372,-0.899585939820794,0.811916398954769,0.836171244185326,0.226240253919933,-0.137654786433845
"ENSMUSG00000026581",0.299254745608965,0.346903087245749,-0.727423536782932,0.759100815405297,0.948011734108813,-0.3629732575557,0.199729315175151
"ENSMUSG00000038421",0.0771645806070754,0.330461795040052,-0.781736380564238,0.813024485629639,0.967479834620344,-0.150279750656019,0.0860263723542221
"ENSMUSG00000015314",-0.10631998124457,0.237932983290845,-0.807281846583812,0.77758418147849,0.909803883674813,0.0529584316699381,-0.160387049038289
"ENSMUSG00000037318",0.30868595892443,0.311727317547139,-0.718902278339073,0.765284967264418,0.924413924144745,-0.357680692243401,0.166725995036955
"ENSMUSG00000026616",0.224312798554044,0.191923779797752,-0.660676468684742,0.755047571038179,0.933181045723683,-0.287777350214845,0.0627997523638442
"ENSMUSG00000047909",0.162110895504406,0.0478072247795518,-0.759017863992248,0.851332301156191,0.803151582813102,-0.240559153041094,0.205898727796975
"ENSMUSG00000027347",0.0093170600617539,0.372588071692834,-0.762984809205453,0.803102939405304,0.943776287176236,-0.0793990105994087,-0.00675918411896824
"ENSMUSG00000042851",-0.0243655779120163,0.284636393381956,-0.896211504874686,0.817322232111527,0.906693334355604,-0.0467185714973445,0.085219322884297
"ENSMUSG00000050600",-0.0835507287150292,0.0300373652849925,-0.829841686041728,0.795798813443013,0.89813176599138,0.0296856310775035,-0.00760837863404921
"ENSMUSG00000000823",-0.20975707580076,0.169600211605796,-0.900947139535468,0.85012879171551,0.828129471166726,0.117364167341246,0.0862567463550031
"ENSMUSG00000031389",0.31716693927297,0.186252576828002,-0.688490179139643,0.785074579052057,0.897987432419364,-0.367373954167655,0.105359087550344
"ENSMUSG00000073008",-6.86054270950809e-05,0.230058689191088,-0.744764319577577,0.697413822346696,0.91682987358357,-0.0297362045043968,-0.119831526276335
"ENSMUSG00000059994",0.0411884042166627,0.218275558006125,-0.847581607990213,0.833781264571048,0.968365692916049,-0.103338397643527,0.0448550552151014
"ENSMUSG00000037922",-0.0444002840324731,0.209175763244147,-0.824663411654183,0.825114667387096,0.952264950935791,-0.0344899952963827,0.0125154278869472
"ENSMUSG00000014030",0.12903332083111,0.28119240827835,-0.815642320921849,0.880579032852191,0.980639525418552,-0.221416943259335,0.194865250537012
"ENSMUSG00000000409",0.519863295519976,0.417927276414449,-0.470094697273337,0.603769624673919,0.838404217031397,-0.540379896322268,0.212696360785194
"ENSMUSG00000029084",0.13976082832308,0.207827956912826,-0.734381392633198,0.781294339493847,0.828576176996206,-0.214599114417273,0.350414548538974
"ENSMUSG00000044827",-0.40115277432457,0.0646186106282373,-0.881476427724707,0.761910157154979,0.800952009237919,0.348791912328955,-0.140174619620347
"ENSMUSG00000039264",0.188364303069139,0.408307442761576,-0.747472703854206,0.739544094753474,0.90253968851771,-0.244515934430368,0.0357097470897756
"ENSMUSG00000029804",-0.0325241054046439,0.175672652273718,-0.856570168962836,0.941797364987506,0.86372469201845,-0.102858140588497,0.313811763552204
"ENSMUSG00000030091",0.370930665552697,0.327088218789873,-0.637812570735208,0.828021532121156,0.81767476758572,-0.482450147091646,0.428676983057025
"ENSMUSG00000030337",0.189791234525306,0.200251577630015,-0.761901165518176,0.875126049145723,0.887347212844943,-0.274126548533186,0.141823948356368
"ENSMUSG00000030156",-0.019909699773399,0.410476525789613,-0.801860937744926,0.795178175350365,0.863825395914038,-0.0896020200954275,0.178558521047161
"ENSMUSG00000003379",-0.116612047215388,0.254642273025886,-0.799931033064945,0.724645317975698,0.924594278757596,0.0727488659259001,-0.0970608635617388
"ENSMUSG00000008496",0.0144934269696271,0.256404416879678,-0.818782482869408,0.812407626215228,0.950217883154849,-0.0689621489573983,-0.00972583891053739
"ENSMUSG00000030468",0.214599641301344,0.353012869042545,-0.710043916903687,0.79814987503364,0.954255119766357,-0.297304775612277,0.0646016343770009
"ENSMUSG00000008193",0.114551050228272,0.388153560548615,-0.525809803259594,0.554063913761275,0.852973753189326,-0.142232074238963,-0.200169293826888
"ENSMUSG00000030798",-0.358585340352742,0.210625657235269,-0.910860124195846,0.761255830534907,0.845354857188177,0.290131852277459,-0.197218365749345
"ENSMUSG00000053541",0.167521801334756,0.320839382133,-0.648932982366354,0.700217194736592,0.905344462120814,-0.209958378076227,0.0117155837946805
"ENSMUSG00000030724",0.131411589273228,0.286864315269561,-0.754303667380259,0.826663901356941,0.976743422941444,-0.208548292936835,0.0615432400299535
"ENSMUSG00000030707",0.353531336100116,0.407639650419403,-0.63935924353205,0.699017659653845,0.879235775318099,-0.409701934499992,0.278583729139988
"ENSMUSG00000000486",0.175722231387543,0.314471916944871,-0.76045473354913,0.772034819160038,0.950674093819219,-0.220196738502751,0.122796968143543
"ENSMUSG00000044770",0.178456610501683,0.495370472233877,-0.756715384848036,0.77184261885016,0.92904374918464,-0.260993412833195,0.177059956233308
