"gene1","module1"
"ENSMUSG00000063415","blue"
"ENSMUSG00000015053","blue"
"ENSMUSG00000030087","blue"
"ENSMUSG00000034037","blue"
"ENSMUSG00000097462","blue"
"ENSMUSG00000107655","blue"
"ENSMUSG00000030067","blue"
"ENSMUSG00000030278","blue"
"ENSMUSG00000030134","blue"
"ENSMUSG00000001930","blue"
"ENSMUSG00000030352","blue"
"ENSMUSG00000033082","blue"
"ENSMUSG00000030189","blue"
"ENSMUSG00000041741","blue"
"ENSMUSG00000030246","blue"
"ENSMUSG00000062524","blue"
"ENSMUSG00000035458","blue"
"ENSMUSG00000085272","blue"
"ENSMUSG00000041560","blue"
"ENSMUSG00000040987","blue"
"ENSMUSG00000003545","blue"
"ENSMUSG00000052974","blue"
"ENSMUSG00000086868","blue"
"ENSMUSG00000040488","blue"
"ENSMUSG00000037166","blue"
"ENSMUSG00000074218","blue"
"ENSMUSG00000036570","blue"
"ENSMUSG00000030495","blue"
"ENSMUSG00000064023","blue"
"ENSMUSG00000110206","blue"
"ENSMUSG00000070570","blue"
"ENSMUSG00000063511","blue"
"ENSMUSG00000030554","blue"
"ENSMUSG00000005533","blue"
"ENSMUSG00000097415","blue"
"ENSMUSG00000049791","blue"
"ENSMUSG00000030616","blue"
"ENSMUSG00000035686","blue"
"ENSMUSG00000035547","blue"
"ENSMUSG00000090958","blue"
"ENSMUSG00000018909","blue"
"ENSMUSG00000073940","blue"
"ENSMUSG00000052305","blue"
"ENSMUSG00000036989","blue"
"ENSMUSG00000007279","blue"
"ENSMUSG00000030787","blue"
"ENSMUSG00000038296","blue"
"ENSMUSG00000055116","blue"
"ENSMUSG00000055723","blue"
"ENSMUSG00000058420","blue"
"ENSMUSG00000030878","blue"
"ENSMUSG00000030717","blue"
"ENSMUSG00000030711","blue"
"ENSMUSG00000025488","blue"
"ENSMUSG00000037664","blue"
"ENSMUSG00000019762","blue"
"ENSMUSG00000038587","blue"
"ENSMUSG00000045680","blue"
"ENSMUSG00000047669","blue"
"ENSMUSG00000037202","blue"
"ENSMUSG00000020069","blue"
"ENSMUSG00000069601","blue"
"ENSMUSG00000037762","blue"
"ENSMUSG00000035697","blue"
"ENSMUSG00000044199","blue"
"ENSMUSG00000020038","blue"
"ENSMUSG00000019929","blue"
"ENSMUSG00000090665","blue"
"ENSMUSG00000020154","blue"
"ENSMUSG00000028630","blue"
"ENSMUSG00000025407","blue"
"ENSMUSG00000058396","blue"
"ENSMUSG00000001300","blue"
"ENSMUSG00000031442","blue"
"ENSMUSG00000038515","blue"
"ENSMUSG00000031489","blue"
"ENSMUSG00000031613","blue"
"ENSMUSG00000110397","blue"
"ENSMUSG00000053626","blue"
"ENSMUSG00000034911","blue"
"ENSMUSG00000034845","blue"
"ENSMUSG00000043664","blue"
"ENSMUSG00000055148","blue"
"ENSMUSG00000051839","blue"
"ENSMUSG00000031710","blue"
"ENSMUSG00000005481","blue"
"ENSMUSG00000002885","blue"
"ENSMUSG00000043668","blue"
"ENSMUSG00000055368","blue"
"ENSMUSG00000057074","blue"
"ENSMUSG00000031748","blue"
"ENSMUSG00000031775","blue"
"ENSMUSG00000110702","blue"
"ENSMUSG00000031778","blue"
"ENSMUSG00000031881","blue"
"ENSMUSG00000014846","blue"
"ENSMUSG00000086390","blue"
"ENSMUSG00000033763","blue"
"ENSMUSG00000031825","blue"
"ENSMUSG00000031824","blue"
"ENSMUSG00000097087","blue"
"ENSMUSG00000097336","blue"
"ENSMUSG00000042812","blue"
"ENSMUSG00000006362","blue"
"ENSMUSG00000021750","blue"
