"gene1","module1"
"ENSMUSG00000030156","red"
"ENSMUSG00000003379","red"
"ENSMUSG00000008496","red"
"ENSMUSG00000030468","red"
"ENSMUSG00000008193","red"
"ENSMUSG00000053541","red"
"ENSMUSG00000030724","red"
"ENSMUSG00000030707","red"
"ENSMUSG00000000486","red"
"ENSMUSG00000044770","red"
"ENSMUSG00000047146","red"
"ENSMUSG00000045193","red"
"ENSMUSG00000074497","red"
"ENSMUSG00000005540","red"
"ENSMUSG00000050357","red"
"ENSMUSG00000014453","red"
"ENSMUSG00000034959","red"
"ENSMUSG00000035566","red"
"ENSMUSG00000047880","red"
"ENSMUSG00000032572","red"
"ENSMUSG00000018654","red"
"ENSMUSG00000000861","red"
"ENSMUSG00000001588","red"
"ENSMUSG00000018168","red"
"ENSMUSG00000037944","red"
"ENSMUSG00000040592","red"
"ENSMUSG00000016756","red"
"ENSMUSG00000036006","red"
"ENSMUSG00000021250","red"
"ENSMUSG00000104213","red"
"ENSMUSG00000022416","red"
"ENSMUSG00000068105","red"
"ENSMUSG00000022686","red"
"ENSMUSG00000052013","red"
"ENSMUSG00000035356","red"
"ENSMUSG00000033826","red"
"ENSMUSG00000041538","red"
"ENSMUSG00000045826","red"
"ENSMUSG00000040247","red"
"ENSMUSG00000024673","red"
"ENSMUSG00000056290","red"
"ENSMUSG00000058470","red"
"ENSMUSG00000025938","turquoise"
"ENSMUSG00000067780","turquoise"
"ENSMUSG00000025776","turquoise"
"ENSMUSG00000026158","turquoise"
"ENSMUSG00000037447","turquoise"
"ENSMUSG00000048234","turquoise"
"ENSMUSG00000050967","turquoise"
"ENSMUSG00000070942","turquoise"
"ENSMUSG00000026069","turquoise"
"ENSMUSG00000026065","turquoise"
"ENSMUSG00000046828","turquoise"
"ENSMUSG00000026043","turquoise"
"ENSMUSG00000026042","turquoise"
"ENSMUSG00000025993","turquoise"
"ENSMUSG00000026107","turquoise"
"ENSMUSG00000026094","turquoise"
"ENSMUSG00000025981","turquoise"
"ENSMUSG00000025969","turquoise"
"ENSMUSG00000025964","turquoise"
"ENSMUSG00000026193","turquoise"
"ENSMUSG00000039395","turquoise"
"ENSMUSG00000039323","turquoise"
"ENSMUSG00000100444","turquoise"
"ENSMUSG00000061815","turquoise"
"ENSMUSG00000048480","turquoise"
"ENSMUSG00000026177","turquoise"
"ENSMUSG00000047330","turquoise"
"ENSMUSG00000026249","turquoise"
"ENSMUSG00000079465","turquoise"
"ENSMUSG00000079445","turquoise"
"ENSMUSG00000090124","turquoise"
"ENSMUSG00000044337","turquoise"
"ENSMUSG00000048126","turquoise"
"ENSMUSG00000026303","turquoise"
"ENSMUSG00000067071","turquoise"
"ENSMUSG00000014602","turquoise"
"ENSMUSG00000026285","turquoise"
"ENSMUSG00000040710","turquoise"
"ENSMUSG00000047496","turquoise"
"ENSMUSG00000026321","turquoise"
"ENSMUSG00000037035","turquoise"
"ENSMUSG00000026384","turquoise"
"ENSMUSG00000050777","turquoise"
"ENSMUSG00000026389","turquoise"
"ENSMUSG00000026390","turquoise"
"ENSMUSG00000036086","turquoise"
"ENSMUSG00000104164","turquoise"
"ENSMUSG00000026405","turquoise"
"ENSMUSG00000042510","turquoise"
"ENSMUSG00000052688","turquoise"
"ENSMUSG00000042115","turquoise"
"ENSMUSG00000041757","turquoise"
"ENSMUSG00000051998","turquoise"
"ENSMUSG00000041559","turquoise"
"ENSMUSG00000064246","turquoise"
"ENSMUSG00000042429","turquoise"
"ENSMUSG00000073557","turquoise"
"ENSMUSG00000097993","turquoise"
"ENSMUSG00000031506","turquoise"
"ENSMUSG00000041801","turquoise"
"ENSMUSG00000026398","turquoise"
"ENSMUSG00000033849","turquoise"
"ENSMUSG00000026360","turquoise"
"ENSMUSG00000026358","turquoise"
"ENSMUSG00000026480","turquoise"
"ENSMUSG00000026478","turquoise"
"ENSMUSG00000026475","turquoise"
"ENSMUSG00000026471","turquoise"
"ENSMUSG00000026600","turquoise"
"ENSMUSG00000073530","turquoise"
"ENSMUSG00000040265","turquoise"
"ENSMUSG00000026586","turquoise"
"ENSMUSG00000026582","turquoise"
"ENSMUSG00000026580","turquoise"
"ENSMUSG00000026574","turquoise"
"ENSMUSG00000040713","turquoise"
"ENSMUSG00000040612","turquoise"
"ENSMUSG00000026678","turquoise"
"ENSMUSG00000026675","turquoise"
"ENSMUSG00000026656","turquoise"
"ENSMUSG00000059089","turquoise"
"ENSMUSG00000059498","turquoise"
"ENSMUSG00000038370","turquoise"
"ENSMUSG00000058715","turquoise"
"ENSMUSG00000006403","turquoise"
"ENSMUSG00000038209","turquoise"
"ENSMUSG00000004707","turquoise"
"ENSMUSG00000038179","turquoise"
"ENSMUSG00000038147","turquoise"
"ENSMUSG00000044708","turquoise"
"ENSMUSG00000005339","turquoise"
"ENSMUSG00000037872","turquoise"
"ENSMUSG00000037860","turquoise"
"ENSMUSG00000073490","turquoise"
"ENSMUSG00000026535","turquoise"
"ENSMUSG00000038776","turquoise"
"ENSMUSG00000026620","turquoise"
"ENSMUSG00000039239","turquoise"
"ENSMUSG00000026628","turquoise"
"ENSMUSG00000026623","turquoise"
"ENSMUSG00000016200","turquoise"
"ENSMUSG00000026639","turquoise"
"ENSMUSG00000016494","turquoise"
"ENSMUSG00000039145","turquoise"
"ENSMUSG00000025780","turquoise"
"ENSMUSG00000026728","turquoise"
"ENSMUSG00000026712","turquoise"
"ENSMUSG00000026786","turquoise"
"ENSMUSG00000026981","turquoise"
"ENSMUSG00000036833","turquoise"
"ENSMUSG00000026958","turquoise"
"ENSMUSG00000026956","turquoise"
"ENSMUSG00000036040","turquoise"
"ENSMUSG00000026837","turquoise"
"ENSMUSG00000026785","turquoise"
"ENSMUSG00000026840","turquoise"
"ENSMUSG00000026822","turquoise"
"ENSMUSG00000026817","turquoise"
"ENSMUSG00000004105","turquoise"
"ENSMUSG00000047250","turquoise"
"ENSMUSG00000026749","turquoise"
"ENSMUSG00000026866","turquoise"
"ENSMUSG00000060703","turquoise"
"ENSMUSG00000026980","turquoise"
"ENSMUSG00000086196","turquoise"
"ENSMUSG00000026971","turquoise"
"ENSMUSG00000027068","turquoise"
"ENSMUSG00000027070","turquoise"
"ENSMUSG00000027102","turquoise"
"ENSMUSG00000054510","turquoise"
"ENSMUSG00000027004","turquoise"
"ENSMUSG00000023224","turquoise"
"ENSMUSG00000002111","turquoise"
"ENSMUSG00000027239","turquoise"
"ENSMUSG00000027220","turquoise"
"ENSMUSG00000075014","turquoise"
"ENSMUSG00000075012","turquoise"
"ENSMUSG00000005087","turquoise"
"ENSMUSG00000032679","turquoise"
"ENSMUSG00000068373","turquoise"
"ENSMUSG00000048482","turquoise"
"ENSMUSG00000074968","turquoise"
"ENSMUSG00000074934","turquoise"
"ENSMUSG00000085582","turquoise"
"ENSMUSG00000040152","turquoise"
"ENSMUSG00000040133","turquoise"
"ENSMUSG00000040061","turquoise"
"ENSMUSG00000040035","turquoise"
"ENSMUSG00000027227","turquoise"
"ENSMUSG00000027199","turquoise"
"ENSMUSG00000033213","turquoise"
"ENSMUSG00000027204","turquoise"
"ENSMUSG00000027360","turquoise"
"ENSMUSG00000027375","turquoise"
"ENSMUSG00000014361","turquoise"
"ENSMUSG00000037902","turquoise"
"ENSMUSG00000027400","turquoise"
"ENSMUSG00000027408","turquoise"
"ENSMUSG00000027322","turquoise"
"ENSMUSG00000079037","turquoise"
"ENSMUSG00000027338","turquoise"
"ENSMUSG00000027339","turquoise"
"ENSMUSG00000027346","turquoise"
"ENSMUSG00000085071","turquoise"
"ENSMUSG00000074766","turquoise"
"ENSMUSG00000032046","turquoise"
"ENSMUSG00000032802","turquoise"
"ENSMUSG00000027470","turquoise"
"ENSMUSG00000038572","turquoise"
"ENSMUSG00000027611","turquoise"
"ENSMUSG00000074622","turquoise"
"ENSMUSG00000053141","turquoise"
"ENSMUSG00000027656","turquoise"
"ENSMUSG00000042845","turquoise"
"ENSMUSG00000017002","turquoise"
"ENSMUSG00000017007","turquoise"
"ENSMUSG00000017760","turquoise"
"ENSMUSG00000017929","turquoise"
"ENSMUSG00000038400","turquoise"
"ENSMUSG00000016256","turquoise"
"ENSMUSG00000031167","turquoise"
"ENSMUSG00000015340","turquoise"
"ENSMUSG00000031007","turquoise"
"ENSMUSG00000040229","turquoise"
"ENSMUSG00000001131","turquoise"
"ENSMUSG00000001128","turquoise"
"ENSMUSG00000036502","turquoise"
"ENSMUSG00000037010","turquoise"
"ENSMUSG00000037005","turquoise"
"ENSMUSG00000062184","turquoise"
"ENSMUSG00000031375","turquoise"
"ENSMUSG00000031196","turquoise"
"ENSMUSG00000034457","turquoise"
"ENSMUSG00000015665","turquoise"
"ENSMUSG00000086503","turquoise"
"ENSMUSG00000033777","turquoise"
"ENSMUSG00000050921","turquoise"
"ENSMUSG00000031239","turquoise"
"ENSMUSG00000025597","turquoise"
"ENSMUSG00000031266","turquoise"
"ENSMUSG00000050071","turquoise"
"ENSMUSG00000042712","turquoise"
"ENSMUSG00000031438","turquoise"
"ENSMUSG00000042425","turquoise"
"ENSMUSG00000031278","turquoise"
"ENSMUSG00000041633","turquoise"
"ENSMUSG00000057457","turquoise"
"ENSMUSG00000040522","turquoise"
"ENSMUSG00000027533","turquoise"
"ENSMUSG00000062515","turquoise"
"ENSMUSG00000027555","turquoise"
"ENSMUSG00000025128","turquoise"
"ENSMUSG00000039519","turquoise"
"ENSMUSG00000003617","turquoise"
"ENSMUSG00000019528","turquoise"
"ENSMUSG00000001865","turquoise"
"ENSMUSG00000027698","turquoise"
"ENSMUSG00000027663","turquoise"
"ENSMUSG00000027737","turquoise"
"ENSMUSG00000023087","turquoise"
"ENSMUSG00000027748","turquoise"
"ENSMUSG00000027797","turquoise"
"ENSMUSG00000050075","turquoise"
"ENSMUSG00000036381","turquoise"
"ENSMUSG00000036334","turquoise"
"ENSMUSG00000027831","turquoise"
"ENSMUSG00000061175","turquoise"
"ENSMUSG00000027955","turquoise"
"ENSMUSG00000033981","turquoise"
"ENSMUSG00000028019","turquoise"
"ENSMUSG00000033860","turquoise"
"ENSMUSG00000028001","turquoise"
"ENSMUSG00000027995","turquoise"
"ENSMUSG00000056498","turquoise"
"ENSMUSG00000015852","turquoise"
"ENSMUSG00000004891","turquoise"
"ENSMUSG00000059743","turquoise"
"ENSMUSG00000028041","turquoise"
"ENSMUSG00000000794","turquoise"
"ENSMUSG00000027907","turquoise"
"ENSMUSG00000028111","turquoise"
"ENSMUSG00000038642","turquoise"
"ENSMUSG00000027875","turquoise"
"ENSMUSG00000027848","turquoise"
"ENSMUSG00000002233","turquoise"
"ENSMUSG00000062127","turquoise"
"ENSMUSG00000048458","turquoise"
"ENSMUSG00000000562","turquoise"
"ENSMUSG00000040809","turquoise"
"ENSMUSG00000040747","turquoise"
"ENSMUSG00000068744","turquoise"
"ENSMUSG00000045326","turquoise"
"ENSMUSG00000027962","turquoise"
"ENSMUSG00000028007","turquoise"
"ENSMUSG00000028132","turquoise"
"ENSMUSG00000028028","turquoise"
"ENSMUSG00000058952","turquoise"
"ENSMUSG00000028031","turquoise"
"ENSMUSG00000054690","turquoise"
"ENSMUSG00000059921","turquoise"
"ENSMUSG00000028255","turquoise"
"ENSMUSG00000028197","turquoise"
"ENSMUSG00000028037","turquoise"
"ENSMUSG00000039146","turquoise"
"ENSMUSG00000040016","turquoise"
"ENSMUSG00000085295","turquoise"
"ENSMUSG00000028249","turquoise"
"ENSMUSG00000051279","turquoise"
"ENSMUSG00000028211","turquoise"
"ENSMUSG00000028238","turquoise"
"ENSMUSG00000028278","turquoise"
"ENSMUSG00000028459","turquoise"
"ENSMUSG00000028327","turquoise"
"ENSMUSG00000039813","turquoise"
"ENSMUSG00000028339","turquoise"
"ENSMUSG00000028341","turquoise"
"ENSMUSG00000015243","turquoise"
"ENSMUSG00000028369","turquoise"
"ENSMUSG00000039196","turquoise"
"ENSMUSG00000045917","turquoise"
"ENSMUSG00000028364","turquoise"
"ENSMUSG00000028373","turquoise"
"ENSMUSG00000028351","turquoise"
"ENSMUSG00000028399","turquoise"
"ENSMUSG00000059049","turquoise"
"ENSMUSG00000028494","turquoise"
"ENSMUSG00000028497","turquoise"
"ENSMUSG00000044303","turquoise"
"ENSMUSG00000028600","turquoise"
"ENSMUSG00000028698","turquoise"
"ENSMUSG00000028691","turquoise"
"ENSMUSG00000006390","turquoise"
"ENSMUSG00000028633","turquoise"
"ENSMUSG00000028655","turquoise"
"ENSMUSG00000047945","turquoise"
"ENSMUSG00000050493","turquoise"
"ENSMUSG00000025743","turquoise"
"ENSMUSG00000028581","turquoise"
"ENSMUSG00000028893","turquoise"
"ENSMUSG00000056529","turquoise"
"ENSMUSG00000000682","turquoise"
"ENSMUSG00000028673","turquoise"
"ENSMUSG00000036905","turquoise"
"ENSMUSG00000036896","turquoise"
"ENSMUSG00000036887","turquoise"
"ENSMUSG00000028763","turquoise"
"ENSMUSG00000028766","turquoise"
"ENSMUSG00000041202","turquoise"
"ENSMUSG00000041193","turquoise"
"ENSMUSG00000006219","turquoise"
"ENSMUSG00000028583","turquoise"
"ENSMUSG00000028599","turquoise"
"ENSMUSG00000028989","turquoise"
"ENSMUSG00000028996","turquoise"
"ENSMUSG00000039911","turquoise"
"ENSMUSG00000028965","turquoise"
"ENSMUSG00000028957","turquoise"
"ENSMUSG00000042116","turquoise"
"ENSMUSG00000001467","turquoise"
"ENSMUSG00000012428","turquoise"
"ENSMUSG00000040584","turquoise"
"ENSMUSG00000028970","turquoise"
"ENSMUSG00000073208","turquoise"
"ENSMUSG00000044968","turquoise"
"ENSMUSG00000028978","turquoise"
"ENSMUSG00000025746","turquoise"
"ENSMUSG00000029135","turquoise"
"ENSMUSG00000011034","turquoise"
"ENSMUSG00000054520","turquoise"
"ENSMUSG00000029103","turquoise"
"ENSMUSG00000036596","turquoise"
"ENSMUSG00000029093","turquoise"
"ENSMUSG00000029119","turquoise"
"ENSMUSG00000029086","turquoise"
"ENSMUSG00000029092","turquoise"
"ENSMUSG00000031558","turquoise"
"ENSMUSG00000072941","turquoise"
"ENSMUSG00000039252","turquoise"
"ENSMUSG00000029189","turquoise"
"ENSMUSG00000029108","turquoise"
"ENSMUSG00000029174","turquoise"
"ENSMUSG00000036377","turquoise"
"ENSMUSG00000036256","turquoise"
"ENSMUSG00000067149","turquoise"
"ENSMUSG00000029373","turquoise"
"ENSMUSG00000029417","turquoise"
"ENSMUSG00000034855","turquoise"
"ENSMUSG00000023078","turquoise"
"ENSMUSG00000035273","turquoise"
"ENSMUSG00000029307","turquoise"
"ENSMUSG00000029306","turquoise"
"ENSMUSG00000029304","turquoise"
"ENSMUSG00000054720","turquoise"
"ENSMUSG00000014158","turquoise"
"ENSMUSG00000029561","turquoise"
"ENSMUSG00000029602","turquoise"
"ENSMUSG00000032690","turquoise"
"ENSMUSG00000032661","turquoise"
"ENSMUSG00000052776","turquoise"
"ENSMUSG00000029608","turquoise"
"ENSMUSG00000064267","turquoise"
"ENSMUSG00000029401","turquoise"
"ENSMUSG00000034324","turquoise"
"ENSMUSG00000044017","turquoise"
"ENSMUSG00000025534","turquoise"
"ENSMUSG00000015950","turquoise"
"ENSMUSG00000040751","turquoise"
"ENSMUSG00000037411","turquoise"
"ENSMUSG00000047592","turquoise"
"ENSMUSG00000025854","turquoise"
"ENSMUSG00000029581","turquoise"
"ENSMUSG00000052271","turquoise"
"ENSMUSG00000029622","turquoise"
"ENSMUSG00000060063","turquoise"
"ENSMUSG00000029661","turquoise"
"ENSMUSG00000068794","turquoise"
"ENSMUSG00000042717","turquoise"
"ENSMUSG00000097815","turquoise"
"ENSMUSG00000068748","turquoise"
"ENSMUSG00000051855","turquoise"
"ENSMUSG00000029763","turquoise"
"ENSMUSG00000029762","turquoise"
"ENSMUSG00000080242","turquoise"
"ENSMUSG00000029925","turquoise"
"ENSMUSG00000029915","turquoise"
"ENSMUSG00000029810","turquoise"
"ENSMUSG00000023367","turquoise"
"ENSMUSG00000108084","turquoise"
"ENSMUSG00000029811","turquoise"
"ENSMUSG00000029816","turquoise"
"ENSMUSG00000029819","turquoise"
"ENSMUSG00000038301","turquoise"
"ENSMUSG00000053007","turquoise"
"ENSMUSG00000086040","turquoise"
"ENSMUSG00000019124","turquoise"
"ENSMUSG00000029802","turquoise"
"ENSMUSG00000029919","turquoise"
"ENSMUSG00000049001","turquoise"
"ENSMUSG00000076501","turquoise"
"ENSMUSG00000096336","turquoise"
"ENSMUSG00000094491","turquoise"
"ENSMUSG00000096461","turquoise"
"ENSMUSG00000093906","turquoise"
"ENSMUSG00000076508","turquoise"
"ENSMUSG00000094345","turquoise"
"ENSMUSG00000096632","turquoise"
"ENSMUSG00000076512","turquoise"
"ENSMUSG00000095497","turquoise"
"ENSMUSG00000076514","turquoise"
"ENSMUSG00000094872","turquoise"
"ENSMUSG00000094335","turquoise"
"ENSMUSG00000076518","turquoise"
"ENSMUSG00000095771","turquoise"
"ENSMUSG00000093861","turquoise"
"ENSMUSG00000105606","turquoise"
"ENSMUSG00000076522","turquoise"
"ENSMUSG00000076523","turquoise"
"ENSMUSG00000096515","turquoise"
"ENSMUSG00000076525","turquoise"
"ENSMUSG00000076526","turquoise"
"ENSMUSG00000094420","turquoise"
"ENSMUSG00000096490","turquoise"
"ENSMUSG00000098814","turquoise"
"ENSMUSG00000076532","turquoise"
"ENSMUSG00000076534","turquoise"
"ENSMUSG00000076535","turquoise"
"ENSMUSG00000076536","turquoise"
"ENSMUSG00000079543","turquoise"
"ENSMUSG00000076538","turquoise"
"ENSMUSG00000076540","turquoise"
"ENSMUSG00000076541","turquoise"
"ENSMUSG00000076543","turquoise"
"ENSMUSG00000076545","turquoise"
"ENSMUSG00000076547","turquoise"
"ENSMUSG00000076548","turquoise"
"ENSMUSG00000076549","turquoise"
"ENSMUSG00000076550","turquoise"
"ENSMUSG00000094262","turquoise"
"ENSMUSG00000076552","turquoise"
"ENSMUSG00000094006","turquoise"
"ENSMUSG00000095633","turquoise"
"ENSMUSG00000076555","turquoise"
"ENSMUSG00000076556","turquoise"
"ENSMUSG00000096833","turquoise"
"ENSMUSG00000095753","turquoise"
"ENSMUSG00000094993","turquoise"
"ENSMUSG00000076562","turquoise"
"ENSMUSG00000076563","turquoise"
"ENSMUSG00000076564","turquoise"
"ENSMUSG00000094094","turquoise"
"ENSMUSG00000096422","turquoise"
"ENSMUSG00000094433","turquoise"
"ENSMUSG00000095007","turquoise"
"ENSMUSG00000076569","turquoise"
"ENSMUSG00000076570","turquoise"
"ENSMUSG00000076571","turquoise"
"ENSMUSG00000104769","turquoise"
"ENSMUSG00000076576","turquoise"
"ENSMUSG00000076577","turquoise"
"ENSMUSG00000094356","turquoise"
"ENSMUSG00000076580","turquoise"
"ENSMUSG00000094930","turquoise"
"ENSMUSG00000076583","turquoise"
"ENSMUSG00000095630","turquoise"
"ENSMUSG00000076586","turquoise"
"ENSMUSG00000076587","turquoise"
"ENSMUSG00000096594","turquoise"
"ENSMUSG00000095794","turquoise"
"ENSMUSG00000076591","turquoise"
"ENSMUSG00000094797","turquoise"
"ENSMUSG00000096844","turquoise"
"ENSMUSG00000076594","turquoise"
"ENSMUSG00000094117","turquoise"
"ENSMUSG00000076596","turquoise"
"ENSMUSG00000095338","turquoise"
"ENSMUSG00000076598","turquoise"
"ENSMUSG00000095335","turquoise"
"ENSMUSG00000096715","turquoise"
"ENSMUSG00000095351","turquoise"
"ENSMUSG00000095682","turquoise"
"ENSMUSG00000076604","turquoise"
"ENSMUSG00000076605","turquoise"
"ENSMUSG00000076608","turquoise"
"ENSMUSG00000076609","turquoise"
"ENSMUSG00000056737","turquoise"
"ENSMUSG00000079523","turquoise"
"ENSMUSG00000052861","turquoise"
"ENSMUSG00000030017","turquoise"
"ENSMUSG00000033788","turquoise"
"ENSMUSG00000051343","turquoise"
"ENSMUSG00000030000","turquoise"
"ENSMUSG00000030046","turquoise"
"ENSMUSG00000030047","turquoise"
"ENSMUSG00000033174","turquoise"
"ENSMUSG00000033152","turquoise"
"ENSMUSG00000064080","turquoise"
"ENSMUSG00000030096","turquoise"
"ENSMUSG00000030022","turquoise"
"ENSMUSG00000030074","turquoise"
"ENSMUSG00000035357","turquoise"
"ENSMUSG00000030077","turquoise"
"ENSMUSG00000034648","turquoise"
"ENSMUSG00000030103","turquoise"
"ENSMUSG00000030104","turquoise"
"ENSMUSG00000034387","turquoise"
"ENSMUSG00000009394","turquoise"
"ENSMUSG00000030123","turquoise"
"ENSMUSG00000048489","turquoise"
"ENSMUSG00000030111","turquoise"
"ENSMUSG00000030116","turquoise"
"ENSMUSG00000040613","turquoise"
"ENSMUSG00000003153","turquoise"
"ENSMUSG00000040552","turquoise"
"ENSMUSG00000030148","turquoise"
"ENSMUSG00000023349","turquoise"
"ENSMUSG00000030144","turquoise"
"ENSMUSG00000038527","turquoise"
"ENSMUSG00000055172","turquoise"
"ENSMUSG00000038521","turquoise"
"ENSMUSG00000000182","turquoise"
"ENSMUSG00000000184","turquoise"
"ENSMUSG00000047228","turquoise"
"ENSMUSG00000053063","turquoise"
"ENSMUSG00000079293","turquoise"
"ENSMUSG00000030162","turquoise"
"ENSMUSG00000067591","turquoise"
"ENSMUSG00000090698","turquoise"
"ENSMUSG00000030208","turquoise"
"ENSMUSG00000030214","turquoise"
"ENSMUSG00000030217","turquoise"
"ENSMUSG00000030218","turquoise"
"ENSMUSG00000030237","turquoise"
"ENSMUSG00000063975","turquoise"
"ENSMUSG00000030256","turquoise"
"ENSMUSG00000058818","turquoise"
"ENSMUSG00000081665","turquoise"
"ENSMUSG00000089942","turquoise"
"ENSMUSG00000074417","turquoise"
"ENSMUSG00000055541","turquoise"
"ENSMUSG00000070873","turquoise"
"ENSMUSG00000081723","turquoise"
"ENSMUSG00000043017","turquoise"
"ENSMUSG00000011263","turquoise"
"ENSMUSG00000002985","turquoise"
"ENSMUSG00000014686","turquoise"
"ENSMUSG00000040907","turquoise"
"ENSMUSG00000060188","turquoise"
"ENSMUSG00000005547","turquoise"
"ENSMUSG00000003363","turquoise"
"ENSMUSG00000030579","turquoise"
"ENSMUSG00000030577","turquoise"
"ENSMUSG00000009687","turquoise"
"ENSMUSG00000019194","turquoise"
"ENSMUSG00000074170","turquoise"
"ENSMUSG00000013367","turquoise"
"ENSMUSG00000004609","turquoise"
"ENSMUSG00000002204","turquoise"
"ENSMUSG00000007783","turquoise"
"ENSMUSG00000050708","turquoise"
"ENSMUSG00000003873","turquoise"
"ENSMUSG00000059824","turquoise"
"ENSMUSG00000040046","turquoise"
"ENSMUSG00000040026","turquoise"
"ENSMUSG00000010307","turquoise"
"ENSMUSG00000099620","turquoise"
"ENSMUSG00000070547","turquoise"
"ENSMUSG00000074109","turquoise"
"ENSMUSG00000050425","turquoise"
"ENSMUSG00000030609","turquoise"
"ENSMUSG00000030605","turquoise"
"ENSMUSG00000039062","turquoise"
"ENSMUSG00000070469","turquoise"
"ENSMUSG00000015709","turquoise"
"ENSMUSG00000030562","turquoise"
"ENSMUSG00000061119","turquoise"
"ENSMUSG00000048078","turquoise"
"ENSMUSG00000030737","turquoise"
"ENSMUSG00000051048","turquoise"
"ENSMUSG00000048779","turquoise"
"ENSMUSG00000032860","turquoise"
"ENSMUSG00000043366","turquoise"
"ENSMUSG00000037060","turquoise"
"ENSMUSG00000109904","turquoise"
"ENSMUSG00000031016","turquoise"
"ENSMUSG00000005611","turquoise"
"ENSMUSG00000030772","turquoise"
"ENSMUSG00000030671","turquoise"
"ENSMUSG00000030657","turquoise"
"ENSMUSG00000030650","turquoise"
"ENSMUSG00000030954","turquoise"
"ENSMUSG00000052889","turquoise"
"ENSMUSG00000030683","turquoise"
"ENSMUSG00000030789","turquoise"
"ENSMUSG00000030862","turquoise"
"ENSMUSG00000054555","turquoise"
"ENSMUSG00000010476","turquoise"
"ENSMUSG00000025473","turquoise"
"ENSMUSG00000054672","turquoise"
"ENSMUSG00000025498","turquoise"
"ENSMUSG00000025511","turquoise"
"ENSMUSG00000066108","turquoise"
"ENSMUSG00000007891","turquoise"
"ENSMUSG00000045362","turquoise"
"ENSMUSG00000037613","turquoise"
"ENSMUSG00000048965","turquoise"
"ENSMUSG00000058454","turquoise"
"ENSMUSG00000070348","turquoise"
"ENSMUSG00000048677","turquoise"
"ENSMUSG00000040675","turquoise"
"ENSMUSG00000079685","turquoise"
"ENSMUSG00000019796","turquoise"
"ENSMUSG00000019806","turquoise"
"ENSMUSG00000019970","turquoise"
"ENSMUSG00000019997","turquoise"
"ENSMUSG00000037370","turquoise"
"ENSMUSG00000039031","turquoise"
"ENSMUSG00000019899","turquoise"
"ENSMUSG00000039697","turquoise"
"ENSMUSG00000019846","turquoise"
"ENSMUSG00000038481","turquoise"
"ENSMUSG00000062593","turquoise"
"ENSMUSG00000019874","turquoise"
"ENSMUSG00000020108","turquoise"
"ENSMUSG00000058297","turquoise"
"ENSMUSG00000004207","turquoise"
"ENSMUSG00000020100","turquoise"
"ENSMUSG00000020099","turquoise"
"ENSMUSG00000020097","turquoise"
"ENSMUSG00000037868","turquoise"
"ENSMUSG00000037855","turquoise"
"ENSMUSG00000019947","turquoise"
"ENSMUSG00000060044","turquoise"
"ENSMUSG00000006344","turquoise"
"ENSMUSG00000006342","turquoise"
"ENSMUSG00000009092","turquoise"
"ENSMUSG00000001435","turquoise"
"ENSMUSG00000020262","turquoise"
"ENSMUSG00000000290","turquoise"
"ENSMUSG00000005054","turquoise"
"ENSMUSG00000004933","turquoise"
"ENSMUSG00000034854","turquoise"
"ENSMUSG00000034591","turquoise"
"ENSMUSG00000020044","turquoise"
"ENSMUSG00000020053","turquoise"
"ENSMUSG00000035311","turquoise"
"ENSMUSG00000074802","turquoise"
"ENSMUSG00000020017","turquoise"
"ENSMUSG00000035916","turquoise"
"ENSMUSG00000020181","turquoise"
"ENSMUSG00000056888","turquoise"
"ENSMUSG00000069516","turquoise"
"ENSMUSG00000069515","turquoise"
"ENSMUSG00000034707","turquoise"
"ENSMUSG00000020102","turquoise"
"ENSMUSG00000025355","turquoise"
"ENSMUSG00000025352","turquoise"
"ENSMUSG00000025351","turquoise"
"ENSMUSG00000025348","turquoise"
"ENSMUSG00000031497","turquoise"
"ENSMUSG00000031502","turquoise"
"ENSMUSG00000031503","turquoise"
"ENSMUSG00000031443","turquoise"
"ENSMUSG00000038457","turquoise"
"ENSMUSG00000031451","turquoise"
"ENSMUSG00000031548","turquoise"
"ENSMUSG00000056313","turquoise"
"ENSMUSG00000025044","turquoise"
"ENSMUSG00000031596","turquoise"
"ENSMUSG00000031594","turquoise"
"ENSMUSG00000070047","turquoise"
"ENSMUSG00000031626","turquoise"
"ENSMUSG00000050914","turquoise"
"ENSMUSG00000038173","turquoise"
"ENSMUSG00000031517","turquoise"
"ENSMUSG00000037921","turquoise"
"ENSMUSG00000031604","turquoise"
"ENSMUSG00000036469","turquoise"
"ENSMUSG00000036437","turquoise"
"ENSMUSG00000015568","turquoise"
"ENSMUSG00000036330","turquoise"
"ENSMUSG00000006273","turquoise"
"ENSMUSG00000007888","turquoise"
"ENSMUSG00000038508","turquoise"
"ENSMUSG00000000792","turquoise"
"ENSMUSG00000050147","turquoise"
"ENSMUSG00000005413","turquoise"
"ENSMUSG00000064325","turquoise"
"ENSMUSG00000031709","turquoise"
"ENSMUSG00000034656","turquoise"
"ENSMUSG00000052837","turquoise"
"ENSMUSG00000005142","turquoise"
"ENSMUSG00000045333","turquoise"
"ENSMUSG00000031665","turquoise"
"ENSMUSG00000031740","turquoise"
"ENSMUSG00000033192","turquoise"
"ENSMUSG00000031762","turquoise"
"ENSMUSG00000031765","turquoise"
"ENSMUSG00000031785","turquoise"
"ENSMUSG00000031883","turquoise"
"ENSMUSG00000031886","turquoise"
"ENSMUSG00000031903","turquoise"
