"X","ID","Gene.name","logFC","logCPM","LR","PValue","entrezgene_id"
802,"ENSMUSG00000026580","Selp",1.05909736938241,2.96267772525314,11.148529145286,0.000840983269586537,20344
3685,"ENSMUSG00000028031","Dkk2",1.6068828775001,2.27041015436365,17.4367670235616,2.9702477793131e-05,56811
5366,"ENSMUSG00000029304","Spp1",1.27918823491932,7.87052731897303,53.265722598337,2.91346227967935e-13,20750
6197,"ENSMUSG00000029819","Npy",1.47978059019493,1.32711997245284,11.2213348816843,0.000808623106194819,109648
6294,"ENSMUSG00000076514","Igkv17-121",1.24869029873473,3.10291599462467,17.0776238453579,3.58825994844269e-05,NA
6303,"ENSMUSG00000096515","Igkv14-100",1.42961266337012,2.74237056756383,14.8365694926691,0.000117239948761074,NA
6313,"ENSMUSG00000076536","Igkv4-86",3.07488238282312,0.860693328955749,22.6351746352823,1.95865711376951e-06,NA
6320,"ENSMUSG00000076547","Igkv4-70",1.48081955791422,4.16267555820705,28.8018151888544,8.01759345961621e-08,NA
6322,"ENSMUSG00000076549","Igkv4-68",2.03094779814195,3.51349023962735,41.4143444274458,1.2315039545392e-10,NA
6324,"ENSMUSG00000094262","Igkv4-62",6.57804969454338,1.6261340774123,13.4685942671236,0.000242589994976939,NA
6331,"ENSMUSG00000095753","Igkv4-53",1.64842106617035,3.77578030275676,33.3649297607564,7.63891309749982e-09,NA
6332,"ENSMUSG00000094993","Igkv4-51",7.34760178612286,-0.741734319807243,14.3304936023486,0.000153360454510719,NA
6335,"ENSMUSG00000076564","Igkv12-46",1.00684113338845,5.66945042012442,14.8238459891187,0.000118033555434741,NA
6343,"ENSMUSG00000104769","Igkv8-34",3.95021257380763,0.54711429248271,23.5913430020664,1.19122236452114e-06,NA
6344,"ENSMUSG00000076576","Igkv6-32",2.46654566677089,4.3936206045229,70.7334185811379,4.08906865811124e-17,NA
6357,"ENSMUSG00000096844","Igkv6-14",1.45615106888331,3.59111317327232,30.2929255198014,3.71478336593004e-08,NA
6364,"ENSMUSG00000095351","Igkv3-2",1.55148711338691,4.45568025166297,19.1508682598683,1.20782548240832e-05,NA
6463,"ENSMUSG00000063415","Cyp26b1",1.57159209649605,3.2071784373606,26.680894815214,2.39982691800782e-07,232174
6608,"ENSMUSG00000034648","Lrrn1",2.25163305222851,0.631263669168252,12.1019917070195,0.000503679926049291,16979
6724,"ENSMUSG00000030111","A2m",7.21452616890027,3.13279517082595,11.8328112599505,0.000581960645649936,232345
6804,"ENSMUSG00000000182","Fgf23",4.06809084869525,0.143731556835544,14.6709659392186,0.000128002887751398,64654
7140,"ENSMUSG00000011263","Exoc3l2",1.45215076366774,3.54581494867718,23.3104327409378,1.37850250786487e-06,74463
7558,"ENSMUSG00000040026","Saa3",1.76722265067153,3.83563101847079,49.9106819204873,1.60906285668908e-12,20210
11829,"ENSMUSG00000040283","Btnl9",1.96933953454888,4.00479357484332,18.1917946023062,1.99737520722024e-05,237754
14117,"ENSMUSG00000076614","Ighg1",1.5705605689492,4.9780584946158,18.535079349707,1.66805856376543e-05,NA
14118,"ENSMUSG00000076615","Ighg3",1.033916004041,4.64953355045974,26.566535362076,2.54616096676723e-07,NA
14179,"ENSMUSG00000093894","Ighv1-53",1.7412449433451,2.0987446563595,19.6031303143744,9.53129099955482e-06,NA
14187,"ENSMUSG00000094088","Ighv1-64",1.6760474066345,1.68659213326679,15.311544864637,9.11576992812475e-05,NA
14196,"ENSMUSG00000094124","Ighv1-74",2.15653933009203,1.18841406762927,14.3880459094811,0.000148743579615148,NA
16211,"ENSMUSG00000096768","Gm47283",1.30016482936229,4.27324269199669,36.3133266681153,1.68011081182498e-09,NA
16621,"ENSMUSG00000059336","Slc14a1",1.68131222085241,3.04652881297837,19.165753680247,1.19844296654164e-05,108052
