"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000070697","ENSMUSG00000070697","Utp3",-0.0631481110614575,5.13498989709369,0.338601267320893,0.560637711720963,0.998267783568601
"ENSMUSG00000087298","ENSMUSG00000087298","Gm9392",-0.213253680996285,-0.0172657001445449,0.33856670564825,0.56065771720358,0.998267783568601
"ENSMUSG00000052681","ENSMUSG00000052681","Rap1b",-0.0582614595526666,8.42519975296725,0.338512146279797,0.560689300821107,0.998267783568601
"ENSMUSG00000052534","ENSMUSG00000052534","Pbx1",-0.059337924240882,7.34716183889186,0.338449739705078,0.56072543124848,0.998267783568601
"ENSMUSG00000031626","ENSMUSG00000031626","Sorbs2",-0.106970015607567,4.93795311901903,0.338315578676308,0.560803119176376,0.998267783568601
"ENSMUSG00000050064","ENSMUSG00000050064","Zfp697",0.0820978855639656,4.90290396002059,0.338288014344442,0.560819083263241,0.998267783568601
"ENSMUSG00000056973","ENSMUSG00000056973","Ces1d",-0.0713591077443687,9.28016174720769,0.3378925145023,0.561048235817832,0.998267783568601
"ENSMUSG00000026096","ENSMUSG00000026096","Osgepl1",-0.104152261710401,3.19635690399049,0.337822341704245,0.561088912668042,0.998267783568601
"ENSMUSG00000020695","ENSMUSG00000020695","Mrc2",0.0836069703171446,7.1696009685738,0.337785620028114,0.561110201261966,0.998267783568601
"ENSMUSG00000030162","ENSMUSG00000030162","Olr1",0.14301871742725,5.00888092132755,0.337678863438768,0.561172099868496,0.998267783568601
"ENSMUSG00000031672","ENSMUSG00000031672","Got2",0.0529343738813047,6.37853678579505,0.337636167030633,0.561196859364461,0.998267783568601
"ENSMUSG00000031070","ENSMUSG00000031070","Mrgprf",-0.129698644886911,2.35216775134082,0.33761102851527,0.561211438079994,0.998267783568601
"ENSMUSG00000073016","ENSMUSG00000073016","Uprt",0.114777492202617,3.35647942359349,0.337349061933715,0.561363404999162,0.998267783568601
"ENSMUSG00000040006","ENSMUSG00000040006","Ginm1",-0.0565208152510432,6.01874879618385,0.337298621385511,0.561392674640707,0.998267783568601
"ENSMUSG00000052485","ENSMUSG00000052485","Tmem171",-0.20975531858172,1.50198355957056,0.337262632190487,0.561413560240082,0.998267783568601
"ENSMUSG00000032064","ENSMUSG00000032064","Dixdc1",0.0747184873918266,4.96426471122035,0.337019315912354,0.561554803014084,0.998267783568601
"ENSMUSG00000062542","ENSMUSG00000062542","Syt9",-0.212377130406237,0.230891688392847,0.336928143852989,0.5616077450811,0.998267783568601
"ENSMUSG00000034334","ENSMUSG00000034334","Fam151b",-0.115384105485722,2.59778250801018,0.336677205340589,0.561753510282524,0.998267783568601
"ENSMUSG00000003199","ENSMUSG00000003199","Mpnd",0.066046748154213,5.24187335573579,0.336661936336178,0.561762382087478,0.998267783568601
"ENSMUSG00000086401","ENSMUSG00000086401","Gm15559",0.26227428672217,-0.805265935664316,0.336508776306569,0.561851388095041,0.998267783568601
"ENSMUSG00000036002","ENSMUSG00000036002","Fam214b",-0.066837470474886,4.94329645126865,0.336471047790016,0.561873317452924,0.998267783568601
"ENSMUSG00000028111","ENSMUSG00000028111","Ctsk",0.232351545776485,7.63549855411945,0.336104975752633,0.562086178863479,0.998267783568601
"ENSMUSG00000051748","ENSMUSG00000051748","Wfdc21",0.175181007226122,2.7093758654065,0.336076246280678,0.562102890861314,0.998267783568601
"ENSMUSG00000027243","ENSMUSG00000027243","Harbi1",0.110255114404751,2.701295710575,0.336055506651429,0.562114955743015,0.998267783568601
"ENSMUSG00000039105","ENSMUSG00000039105","Atp6v1g1",-0.0631045224537295,6.79319294162267,0.33601227033113,0.562140109242858,0.998267783568601
