"X","ID","Gene.name","logFC","logCPM","LR","PValue","entrezgene_id"
1,"ENSMUSG00000051951","Xkr4",-0.0475328441572517,0.796081610974967,0.0122618534530356,0.911827875569089,497097
2,"ENSMUSG00000025900","Rp1",0.0647731785516346,3.84758226456145,0.076108291216789,0.782642300417123,19888
3,"ENSMUSG00000025902","Sox17",0.278062810369853,6.146574292825,2.78916468605691,0.0949036858579755,20671
4,"ENSMUSG00000102269","Gm7357",0.0907167754927161,-0.878626216304869,0.0140431341401408,0.905668539421788,NA
5,"ENSMUSG00000033845","Mrpl15",-0.0702469805260909,4.31873418458259,0.124485116939351,0.724220026697074,27395
6,"ENSMUSG00000025903","Lypla1",-0.000978242141845224,6.17282698969869,3.54966618107966e-05,0.995246305712296,18777
7,"ENSMUSG00000033813","Tcea1",-0.0491065438609594,6.35914663476403,0.0904909106899328,0.763553989607939,21399
8,"ENSMUSG00000033793","Atp6v1h",0.0167215181195175,6.09614563592715,0.0107845361171837,0.917289480923862,108664
9,"ENSMUSG00000025907","Rb1cc1",-0.0626851768910823,6.65964915363119,0.162756360556592,0.686631377843214,12421
10,"ENSMUSG00000090031","4732440D04Rik",0.217564789174479,2.15284213508942,0.27977247409633,0.596850384029353,NA
11,"ENSMUSG00000087247","Alkal1",-0.0793327135542383,2.641631633557,0.0642914288183813,0.79983739875736,620393
12,"ENSMUSG00000051285","Pcmtd1",-0.0793779426452974,6.71076733336524,0.246783177471286,0.619349304794565,319263
13,"ENSMUSG00000103509","Gm38372",-0.0929619147864415,0.986209923227528,0.0337528097909146,0.854233606350147,NA
14,"ENSMUSG00000061024","Rrs1",0.115573847557463,4.76273741603699,0.324566497175916,0.568876184738135,59014
15,"ENSMUSG00000025911","Adhfe1",-0.144599746065912,3.44829998070832,0.292052842434147,0.588908013949757,76187
16,"ENSMUSG00000079671","2610203C22Rik",0.0504996617507902,3.00677252716924,0.0308847249786135,0.860497812380591,NA
17,"ENSMUSG00000025912","Mybl1",-0.107088851764394,2.13387350303595,0.0997708793630762,0.752104761170678,17864
18,"ENSMUSG00000045210","Vcpip1",-0.0524688595103805,6.14986987933199,0.10809602577282,0.742322283036759,70675
19,"ENSMUSG00000097893","1700034P13Rik",-0.427279985655348,-0.314578834598947,0.639673117592508,0.42382919080058,NA
20,"ENSMUSG00000025915","Sgk3",-0.0338061660803699,4.39282054337703,0.0291075604003822,0.864530922226709,170755
21,"ENSMUSG00000098234","Snhg6",0.0919316686669952,2.31666758553731,0.0766175889850248,0.781934584192282,NA
22,"ENSMUSG00000099032","Tcf24",0.0907444452273464,1.18368013641744,0.0492983989426171,0.824288639659466,100039596
23,"ENSMUSG00000025916","Ppp1r42",0.170145574289219,0.6098477576877,0.140036727263733,0.708244503155879,69312
24,"ENSMUSG00000025917","Cops5",-0.0688560927277864,5.6346134955507,0.158544764298001,0.690499865832288,26754
25,"ENSMUSG00000056763","Cspp1",0.0242522976910175,4.9992523296869,0.0156982187215946,0.900291963733564,211660
26,"ENSMUSG00000067851","Arfgef1",-0.13525453620798,7.50916522939872,0.747009654087647,0.387424646611951,211673
27,"ENSMUSG00000048960","Prex2",-0.114425543093522,8.59115209388448,0.490242876804847,0.483818982677198,109294
28,"ENSMUSG00000057715","A830018L16Rik",-0.292594629164349,1.5908501099362,0.61274802422118,0.433755002660624,320492
29,"ENSMUSG00000016918","Sulf1",-0.117331662787809,5.73139047516871,0.487033244327642,0.485253699339515,240725
30,"ENSMUSG00000025938","Slco5a1",0.371539232648197,2.03070743233659,0.394024454307263,0.53019152717527,240726
31,"ENSMUSG00000005886","Ncoa2",-0.126917858906216,6.39269067277169,0.660366957933626,0.41643042322569,17978
32,"ENSMUSG00000025935","Tram1",0.0729070234557593,7.15119525022758,0.204586243197031,0.651044154383094,72265
33,"ENSMUSG00000025937","Lactb2",-0.000581619433251651,5.66945440304734,1.22343991859741e-05,0.997209188529885,212442
34,"ENSMUSG00000025932","Eya1",-0.201686254395174,2.75594342085721,0.418188941723307,0.517842113195184,14048
35,"ENSMUSG00000025930","Msc",0.80473429674331,-0.668492073166539,1.63458879012565,0.201069527412688,17681
36,"ENSMUSG00000092083","Kcnb2",-0.212051227148929,-0.452601929612646,0.136187372323541,0.712101090477479,98741
37,"ENSMUSG00000025925","Terf1",-0.0401290010760137,3.70863252740856,0.0301086400294482,0.862243955063448,21749
38,"ENSMUSG00000104379","Gm37509",-0.302602281912415,-1.36291518616804,0.18895482445086,0.663787935258413,NA
39,"ENSMUSG00000032719","Sbspon",-0.197920446796288,0.968750852261883,0.228907372993119,0.632335181034576,226866
40,"ENSMUSG00000067795","4930444P10Rik",0.239191767809845,-0.393648662484879,0.141788361314978,0.706509572365936,75799
41,"ENSMUSG00000043716","Rpl7",-0.0553993322392383,8.69910976822447,0.103530481416622,0.747633361156265,19989
42,"ENSMUSG00000025921","Rdh10",0.054689701590749,5.11285830169916,0.0926657532915494,0.760815168324399,98711
43,"ENSMUSG00000025920","Stau2",-0.146190993032532,4.5065960676052,0.590994938171702,0.442034640003713,29819
44,"ENSMUSG00000025939","Ube2w",-0.0417668678826269,5.35045792611229,0.0573554158323983,0.81072572138853,66799
45,"ENSMUSG00000079658","Eloc",0.0365524796968538,5.57971274988988,0.0468427872341688,0.82865106704594,67923
46,"ENSMUSG00000025940","Tmem70",0.0545930721835392,4.34417776325939,0.0694465083110924,0.792144374000273,70397
47,"ENSMUSG00000025779","Ly96",0.076034343837811,1.88291528474593,0.0416308643042419,0.838325031543491,17087
48,"ENSMUSG00000042686","Jph1",-0.44579235335549,1.81599600764125,1.56996392961733,0.210212252080676,57339
49,"ENSMUSG00000067780","Pi15",0.0844017389872885,4.4723800454339,0.189363805189941,0.663446645147895,94227
50,"ENSMUSG00000025776","Crispld1",0.63884679346869,2.4865396521024,3.16626069562546,0.0751743751669969,83691
51,"ENSMUSG00000043760","Pkhd1",-1.07078589502379,0.00255535215106512,4.87747060771153,0.0272094637018488,241035
52,"ENSMUSG00000041859","Mcm3",0.134044300993592,4.56270810796911,0.493748084924735,0.482260116525098,17215
53,"ENSMUSG00000025931","Paqr8",-0.103106074157123,5.52042855021635,0.356195389492177,0.550626849103666,74229
54,"ENSMUSG00000041809","Efhc1",0.140293239735693,3.7261082069783,0.339244652069865,0.560265547851153,71877
55,"ENSMUSG00000041779","Tram2",-0.00352255049346721,5.56882275444092,0.000389301742835135,0.984258175814804,170829
56,"ENSMUSG00000025933","Tmem14a",0.280057130352923,2.63144890398431,0.768506470499031,0.380679484533462,75712
57,"ENSMUSG00000025934","Gsta3",-0.00491900705549347,7.43739535517912,0.000956307097166931,0.975329978071671,14859
58,"ENSMUSG00000025936","Gm4956",0.21484734478865,3.67016177425967,0.81911042424961,0.365440385290261,NA
59,"ENSMUSG00000028033","Kcnq5",-0.111550840816004,2.89892116282652,0.145282122489779,0.703085329247762,226922
60,"ENSMUSG00000082935","Gm7658",0.192439115406964,1.17161956579778,0.222921867665546,0.636822563706401,NA
61,"ENSMUSG00000041670","Rims1",-0.836280084391816,-1.1924965980824,1.59830551627217,0.20614350915908,116837
62,"ENSMUSG00000097970","Gm27028",0.339353405149123,0.233299514386794,0.477866207527313,0.489390429930953,NA
63,"ENSMUSG00000026158","Ogfrl1",0.0404026265386886,5.31839952359767,0.0508414451115528,0.82160551212997,70155
64,"ENSMUSG00000026156","B3gat2",-0.222794996624579,0.514884849156247,0.183041641079495,0.668772228419097,280645
65,"ENSMUSG00000026155","Smap1",-0.0412317014082513,5.20929012507995,0.0513918102784172,0.820658878996307,98366
66,"ENSMUSG00000026154","Sdhaf4",0.0957979230824697,3.37448063843639,0.137193425144246,0.71108722413135,68002
67,"ENSMUSG00000026153","Fam135a",-0.188712461335827,5.00379576068243,1.01610436915832,0.31344484931849,68187
68,"ENSMUSG00000100131","Gm28439",-0.427790376529377,0.856405045579811,0.90426598262028,0.34164041397048,NA
69,"ENSMUSG00000067736","Gm10222",-0.801079950013635,0.412407737168778,3.15603927303788,0.0756465086216243,NA
70,"ENSMUSG00000101939","Gm28438",-0.0585903630589422,3.21054303651258,0.0467795742013793,0.82876492857245,NA
71,"ENSMUSG00000101111","Gm28437",-0.217888853805986,1.5867968554297,0.336089533955926,0.5620951612724,NA
72,"ENSMUSG00000100862","Gm10925",-0.00862591051891773,1.84094264592992,0.000577017652166223,0.980835705026406,NA
73,"ENSMUSG00000102070","Gm28661",-0.361084806699848,1.51406320177388,0.9119541594107,0.339596453869665,NA
74,"ENSMUSG00000101249","Gm29216",-0.413208174910789,0.534672579051742,0.856777788346388,0.354641978355536,NA
75,"ENSMUSG00000073725","Lmbrd1",-0.0682473053569999,6.75476589727879,0.194058406126793,0.659560089842899,68421
76,"ENSMUSG00000073722","4931408C20Rik",-0.321937004423601,-0.663659139549972,0.301834921493184,0.582734370027001,210940
77,"ENSMUSG00000086240","Gm7846",0.762281650143789,-0.697223895347111,1.42383477810706,0.232773247266464,NA
78,"ENSMUSG00000048874","Phf3",-0.167844126750467,7.01180466553967,1.18146302303534,0.277058354311949,213109
79,"ENSMUSG00000026064","Ptp4a1",-0.0188425908217563,6.24048884621216,0.0126410598318014,0.910480512888326,19243
80,"ENSMUSG00000026134","Prim2",0.0282292823481316,2.92305548444089,0.00930539242559141,0.923151697492461,19076
81,"ENSMUSG00000004768","Rab23",-0.0205179068430091,4.79278833185422,0.0122918220071086,0.911720633101652,19335
82,"ENSMUSG00000042215","Bag2",0.228634154917222,3.12928016594276,0.638354680247581,0.424307219966281,213539
83,"ENSMUSG00000042197","Zfp451",-0.0557425147826791,5.28387141316312,0.09820225304029,0.753997760322567,98403
84,"ENSMUSG00000042182","Bend6",0.585984735363327,1.20497272905859,1.98854654601324,0.158492933740102,320705
85,"ENSMUSG00000026131","Dst",-0.183440140796074,8.76991068177699,1.31126932979158,0.252164964854251,13518
86,"ENSMUSG00000102336","Gm37233",-0.485412304065895,0.767584662633801,1.15704995524525,0.282078194981487,NA
