"Gene_ID","Gene_Name","Count"
"ENSMUSG00000026062","Slc9a2",106
"ENSMUSG00000041945","Mfsd9",78
"ENSMUSG00000079588","Tmem182",134
"ENSMUSG00000060679","Mrps9",1002
"ENSMUSG00000070939","Tgfbrap1",3238
"ENSMUSG00000010290","AI597479",1111
"ENSMUSG00000008136","Fhl2",110
"ENSMUSG00000094497","Gm8210",435
"ENSMUSG00000066877","Nck2",1345
"ENSMUSG00000103945","Gm38228",20
"ENSMUSG00000026051","1500015O10Rik",16
"ENSMUSG00000057363","Uxs1",1255
"ENSMUSG00000100701","Gm19587",19
"ENSMUSG00000041763","Tpp2",2204
"ENSMUSG00000026049","Tex30",171
"ENSMUSG00000026047","Kdelc1",541
"ENSMUSG00000041684","Bivm",673
"ENSMUSG00000026048","Ercc5",1084
"ENSMUSG00000046828","Mettl21e",210
"ENSMUSG00000089703","Gm15833",16
"ENSMUSG00000056870","Gulp1",734
"ENSMUSG00000026043","Col3a1",7771
"ENSMUSG00000026042","Col5a2",2715
"ENSMUSG00000025995","Wdr75",880
"ENSMUSG00000084817","Gm5526",133
"ENSMUSG00000025993","Slc40a1",897
"ENSMUSG00000041144","Dnah7b",259
"ENSMUSG00000101337","Dnah7c",164
"ENSMUSG00000025986","Slc39a10",1636
"ENSMUSG00000100213","Gm28151",48
"ENSMUSG00000026109","Tmeff2",335
"ENSMUSG00000045954","Cavin2",25223
"ENSMUSG00000026107","Nabp1",1204
"ENSMUSG00000018417","Myo1b",14637
"ENSMUSG00000062939","Stat4",197
"ENSMUSG00000026104","Stat1",2740
"ENSMUSG00000026103","Gls",4636
"ENSMUSG00000002881","Nab1",4059
"ENSMUSG00000043015","Nemp2",299
"ENSMUSG00000041439","Mfsd6",3102
"ENSMUSG00000026102","Inpp1",887
"ENSMUSG00000041426","Hibch",621
"ENSMUSG00000043629","1700019D03Rik",71
"ENSMUSG00000026098","Pms1",137
"ENSMUSG00000026097","Ormdl1",474
"ENSMUSG00000026096","Osgepl1",371
"ENSMUSG00000026095","Asnsd1",195
"ENSMUSG00000096141","Dnah7a",215
"ENSMUSG00000026094","Stk17b",3286
"ENSMUSG00000042807","Hecw2",3193
"ENSMUSG00000025983","Ccdc150",59
"ENSMUSG00000041303","Gtf3c3",736
"ENSMUSG00000073678","Pgap1",592
"ENSMUSG00000052331","Ankrd44",4964
"ENSMUSG00000025982","Sf3b1",10700
"ENSMUSG00000103030","E330011M16Rik",43
"ENSMUSG00000025981","Coq10b",1467
"ENSMUSG00000101122","Gm17971",46
"ENSMUSG00000025980","Hspd1",3776
"ENSMUSG00000073676","Hspe1",1325
"ENSMUSG00000025979","Mob4",2047
"ENSMUSG00000025978","Rftn2",734
"ENSMUSG00000097649","Gm10561",34
"ENSMUSG00000046994","Mars2",559
"ENSMUSG00000100215","Gm8292",73
"ENSMUSG00000038349","Plcl1",940
"ENSMUSG00000038331","Satb2",67
"ENSMUSG00000038323","1700066M21Rik",327
"ENSMUSG00000048495","Tyw5",193
"ENSMUSG00000025971","Maip1",306
"ENSMUSG00000038305","Spats2l",686
"ENSMUSG00000054770","Kctd18",553
"ENSMUSG00000026039","Sgol2a",45
"ENSMUSG00000063558","Aox1",2250
"ENSMUSG00000064294","Aox3",6197
"ENSMUSG00000103839","Gm37607",27
"ENSMUSG00000051223","Bzw1",6870
"ENSMUSG00000026034","Clk1",6345
"ENSMUSG00000026035","Ppil3",383
"ENSMUSG00000026036","Nif3l1",504
"ENSMUSG00000026037","Orc2",802
"ENSMUSG00000038174","Fam126b",1871
"ENSMUSG00000026032","Ndufb3",1148
"ENSMUSG00000047528","Als2cr12",16
"ENSMUSG00000102059","Gm20257",90
"ENSMUSG00000026031","Cflar",7077
"ENSMUSG00000026029","Casp8",1583
"ENSMUSG00000026028","Trak2",4977
"ENSMUSG00000026027","Stradb",532
"ENSMUSG00000038079","Tmem237",800
"ENSMUSG00000097573","G730003C15Rik",59
"ENSMUSG00000079550","Mpp4",30
"ENSMUSG00000026024","Als2",985
"ENSMUSG00000041075","Fzd7",2445
"ENSMUSG00000097819","Gm26813",16
"ENSMUSG00000047361","Gm973",383
"ENSMUSG00000026021","Sumo1",2109
"ENSMUSG00000103821","D430013B06Rik",21
"ENSMUSG00000026020","Nop58",1080
"ENSMUSG00000067336","Bmpr2",35192
"ENSMUSG00000041040","Fam117b",3129
"ENSMUSG00000026018","Ica1l",40
"ENSMUSG00000026019","Wdr12",364
"ENSMUSG00000026017","Carf",303
"ENSMUSG00000073664","Nbeal1",5633
"ENSMUSG00000049439","Cyp20a1",1152
"ENSMUSG00000026782","Abi2",1295
"ENSMUSG00000026014","Raph1",4269
"ENSMUSG00000101188","Eif4a-ps4",121
"ENSMUSG00000026012","Cd28",296
"ENSMUSG00000026011","Ctla4",58
"ENSMUSG00000026009","Icos",132
"ENSMUSG00000052062","Pard3b",1724
"ENSMUSG00000025969","Nrp2",6002
"ENSMUSG00000103032","Gm37121",24
"ENSMUSG00000040865","Ino80d",2483
"ENSMUSG00000084799","Ino80dos",95
"ENSMUSG00000101599","Gm20342",146
"ENSMUSG00000025968","Ndufs1",2543
"ENSMUSG00000025967","Eef1b2",5451
"ENSMUSG00000027520","Zdbf2",30
"ENSMUSG00000025964","Adam23",456
"ENSMUSG00000025963","Mdh1b",98
"ENSMUSG00000025962","Fastkd2",331
"ENSMUSG00000025959","Klf7",2991
"ENSMUSG00000025958","Creb1",3099
"ENSMUSG00000025956","Mettl21a",443
"ENSMUSG00000070871","Ccnyl1",1030
"ENSMUSG00000045005","Fzd5",1365
"ENSMUSG00000051344","Plekhm3",1885
"ENSMUSG00000084416","Rpl10a-ps1",81
"ENSMUSG00000025950","Idh1",3341
