"","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000060450","ENSMUSG00000060450","Rnf14",0.0691051805397534,6.5989633175065,0.618239525798662,0.431702242402443,0.660863902154359
"ENSMUSG00000029345","ENSMUSG00000029345","Tfip11",-0.0804164005277753,5.573428846671,0.618208223149312,0.43171390170755,0.660863902154359
"ENSMUSG00000078137","ENSMUSG00000078137","Ankrd63",0.518321117207556,-0.849348397136654,0.618156316027109,0.431733236618272,0.660863902154359
"ENSMUSG00000054863","ENSMUSG00000054863","Fam19a5",-0.23933451126588,1.08297982147793,0.617818864682,0.431858966080609,0.660997666364523
"ENSMUSG00000001082","ENSMUSG00000001082","Mfsd10",-0.0937600548297045,4.83041464140608,0.617130891725214,0.432115466952744,0.661294921042532
"ENSMUSG00000040433","ENSMUSG00000040433","Zbtb38",0.0825815442660367,6.55424425409988,0.617092208011222,0.432129896487274,0.661294921042532
"ENSMUSG00000036918","ENSMUSG00000036918","Ttc7",0.0861051125743839,6.28609176989604,0.616630900379999,0.432302026689944,0.661497304674878
"ENSMUSG00000029415","ENSMUSG00000029415","Sdad1",0.0982620872769053,4.58155327864639,0.616451186246935,0.432369112569294,0.661497304674878
"ENSMUSG00000101225","ENSMUSG00000101225","1700008J07Rik",0.199217891395398,1.68192445814774,0.616381040987656,0.432395301534647,0.661497304674878
"ENSMUSG00000004040","ENSMUSG00000004040","Stat3",0.0760313248398979,7.93053337983175,0.616326584548867,0.432415634687696,0.661497304674878
"ENSMUSG00000039997","ENSMUSG00000039997","Ifi203",0.110579489077089,5.78294569428867,0.616094947513698,0.432502140434105,0.661569756918271
"ENSMUSG00000046191","ENSMUSG00000046191","Pcdhb20",0.165579139299827,2.63910214359526,0.61599426517214,0.432539748838438,0.661569756918271
"ENSMUSG00000079083","ENSMUSG00000079083","Jrkl",-0.116403670424552,3.91059714222943,0.615497211250823,0.432725488815796,0.661795129674903
"ENSMUSG00000086350","ENSMUSG00000086350","B230369F24Rik",-0.289838047898877,0.103089563434162,0.615026509200651,0.432901493309156,0.662005574661274
"ENSMUSG00000090194","ENSMUSG00000090194","Gm16161",-0.404869385489261,-0.810564690570885,0.614623190877335,0.433052388292596,0.662177587526704
"ENSMUSG00000030188","ENSMUSG00000030188","Magohb",-0.1533777074373,2.85654148587889,0.614362291412524,0.433150042166419,0.662229062817504
"ENSMUSG00000085058","ENSMUSG00000085058","8030453O22Rik",0.305396557587771,0.168389060677433,0.614240198844477,0.43319575254066,0.662229062817504
"ENSMUSG00000002768","ENSMUSG00000002768","Mea1",-0.099213995671993,5.0232699437263,0.614180224785459,0.433218208982234,0.662229062817504
"ENSMUSG00000000827","ENSMUSG00000000827","Tpd52l2",-0.0710544911823972,6.40186415157528,0.614122805277688,0.433239710566495,0.662229062817504
