"gene1","module1","EntrezID"
"ENSMUSG00000027227","turquoise","20322"
"ENSMUSG00000027199","turquoise","67092"
"ENSMUSG00000033213","turquoise","433470"
"ENSMUSG00000027204","turquoise","14118"
"ENSMUSG00000027360","turquoise","15186"
"ENSMUSG00000027375","turquoise","17153"
"ENSMUSG00000014361","turquoise","17289"
"ENSMUSG00000037902","turquoise","19261"
"ENSMUSG00000027400","turquoise","18610"
"ENSMUSG00000027408","turquoise","56264"
"ENSMUSG00000027322","turquoise","20612"
"ENSMUSG00000079037","turquoise","19122"
"ENSMUSG00000027338","turquoise","26434"
"ENSMUSG00000027339","turquoise","215653"
"ENSMUSG00000027346","turquoise","74182"
"ENSMUSG00000074766","turquoise","319909"
"ENSMUSG00000032046","turquoise","76192"
"ENSMUSG00000032802","turquoise","76650"
"ENSMUSG00000027470","turquoise","228785"
"ENSMUSG00000038572","turquoise","228802"
"ENSMUSG00000027611","turquoise","19124"
"ENSMUSG00000074622","turquoise","16658"
"ENSMUSG00000053141","turquoise","19281"
"ENSMUSG00000027656","turquoise","22403"
"ENSMUSG00000042845","turquoise","192200"
"ENSMUSG00000017002","turquoise","20568"
"ENSMUSG00000017007","turquoise","19668"
"ENSMUSG00000017760","turquoise","19025"
"ENSMUSG00000017929","turquoise","56336"
"ENSMUSG00000038400","turquoise","65112"
"ENSMUSG00000016256","turquoise","64138"
"ENSMUSG00000031167","turquoise","19652"
"ENSMUSG00000015340","turquoise","13058"
"ENSMUSG00000031007","turquoise","70495"
"ENSMUSG00000040229","turquoise","23890"
"ENSMUSG00000001131","turquoise","21857"
"ENSMUSG00000001128","turquoise","18636"
"ENSMUSG00000036502","turquoise","245386"
"ENSMUSG00000037010","turquoise","30878"
"ENSMUSG00000037005","turquoise","170745"
"ENSMUSG00000062184","turquoise","50786"
"ENSMUSG00000031375","turquoise","12111"
"ENSMUSG00000031196","turquoise","14069"
"ENSMUSG00000034457","turquoise","245527"
"ENSMUSG00000015665","turquoise","245533"
"ENSMUSG00000086503","turquoise","213742"
"ENSMUSG00000033777","turquoise","279572"
"ENSMUSG00000050921","turquoise","78826"
"ENSMUSG00000031239","turquoise","16431"
"ENSMUSG00000025597","turquoise","237010"
"ENSMUSG00000031266","turquoise","11605"
"ENSMUSG00000050071","turquoise","19716"
"ENSMUSG00000042712","turquoise","22381"
"ENSMUSG00000031438","turquoise","66889"
"ENSMUSG00000042425","turquoise","245643"
"ENSMUSG00000031278","turquoise","50790"
"ENSMUSG00000041633","turquoise","207474"
"ENSMUSG00000057457","turquoise","18675"
"ENSMUSG00000040522","turquoise","170744"
"ENSMUSG00000027533","turquoise","16592"
"ENSMUSG00000062515","turquoise","11770"
"ENSMUSG00000027555","turquoise","71934"
"ENSMUSG00000025128","turquoise","59058"
"ENSMUSG00000039519","turquoise","13123"
"ENSMUSG00000003617","turquoise","12870"
"ENSMUSG00000019528","turquoise","27357"
"ENSMUSG00000001865","turquoise","12873"
"ENSMUSG00000027698","turquoise","320024"
"ENSMUSG00000027663","turquoise","22401"
"ENSMUSG00000027737","turquoise","26570"
"ENSMUSG00000023087","turquoise","12457"
