"Gene_ID","PC1_Loading","PC2_Loading","Gene_Name","PC1_Direction","PC2_Direction"
"ENSMUSG00000030738",0.00896107350815913,0.00192665149298735,"Eif3c","Positive","Positive"
"ENSMUSG00000022124",0.00896078328789254,-0.00169261137244655,"Fbxl3","Positive","Negative"
"ENSMUSG00000033808",0.00896064602519229,0.000598801049939159,"Tmem87a","Positive","Positive"
"ENSMUSG00000035011",0.00896062514243801,-0.000823353893317567,"Zbtb7a","Positive","Negative"
"ENSMUSG00000026848",0.00896040049853155,0.00218571972268359,"Tor1b","Positive","Positive"
"ENSMUSG00000035517",0.00896014952790083,-0.000334720148971664,"Tdrd7","Positive","Negative"
"ENSMUSG00000039347",0.00895957017390341,-0.00169895724618781,"Atp6v0e2","Positive","Negative"
"ENSMUSG00000029458",0.00895947443334937,-0.00061588353124583,"Brap","Positive","Negative"
"ENSMUSG00000079614",0.00895917484181555,-0.00183105530749446,"Seh1l","Positive","Negative"
"ENSMUSG00000024937",0.00895901666638974,0.000661680909030844,"Ehbp1l1","Positive","Positive"
"ENSMUSG00000022404",0.00895889180648395,-0.000154713802299633,"Slc25a17","Positive","Negative"
"ENSMUSG00000072704",0.00895870139729165,-0.00159856523312017,"Smim10l1","Positive","Negative"
"ENSMUSG00000000538",0.0089585820790138,0.000340576358644902,"Tom1l2","Positive","Positive"
"ENSMUSG00000041408",0.00895849000287816,-0.00112520339448235,"Wapl","Positive","Negative"
"ENSMUSG00000055932",0.00895836727212725,-0.000189175738806428,"Fto","Positive","Negative"
"ENSMUSG00000054843",0.00895833051010262,0.000254659202227125,"Atrnl1","Positive","Positive"
"ENSMUSG00000034850",0.00895822625653667,0.00281633111549572,"Tmem127","Positive","Positive"
"ENSMUSG00000023965",0.00895816749287159,0.00155938729893449,"Fbxl17","Positive","Positive"
"ENSMUSG00000038861",0.00895816672357241,-0.00133533144028404,"Pi4kb","Positive","Negative"
"ENSMUSG00000013662",0.0089578709171238,0.00100747599339618,"Atad1","Positive","Positive"
"ENSMUSG00000033335",0.00895773368044736,9.19558375100744e-05,"Dnm2","Positive","Positive"
