"X","ID","Gene.name","logFC","logCPM","LR","PValue"
35,"ENSMUSG00000025930","Msc",-1.21685921568168,-0.759868267775203,6.69653533949715,0.00966004449461186
131,"ENSMUSG00000026077","Npas2",-1.62717208237256,3.4514743474419,23.453743320645,1.27953511414827e-06
364,"ENSMUSG00000043230","Fam124b",-1.19990499257128,3.024757767047,9.51421556200996,0.00203886242238355
442,"ENSMUSG00000083064","Gm7785",-1.2690766130773,-0.472237482179269,6.57767067767753,0.0103265940885014
827,"ENSMUSG00000097823","Gm16701",-1.27576274744821,0.90600627969313,15.0735345483077,0.000103402899243697
1541,"ENSMUSG00000085519","Gm13703",-1.03840111609692,-0.25440031264968,6.13126875929606,0.0132811528696003
1557,"ENSMUSG00000086813","Gm13657",-1.05694173234975,-0.657301138592003,5.05067346007029,0.0246163687027209
2274,"ENSMUSG00000087684","1200007C13Rik",-1.15801003819531,0.933322775103292,5.87009428831948,0.0154002270222467
2483,"ENSMUSG00000036699","Zcchc12",-1.05915885887952,-0.53347629344206,5.95659831247699,0.0146623039460241
2939,"ENSMUSG00000097365","C030034L19Rik",-1.81772751844319,-0.806623314756186,12.5291058783516,0.000400661491156656
2964,"ENSMUSG00000082896","Gm5844",-1.2346778023163,1.15734326068328,13.9194892091611,0.000190809700687323
3425,"ENSMUSG00000081058","Hist2h3c2",-1.06462294095718,0.922808996086373,11.5341186943078,0.000683304621682714
3442,"ENSMUSG00000090210","Itga10",-1.0667138214197,0.76893595267863,6.60244595378939,0.0101838773965346
3934,"ENSMUSG00000028410","Dnaja1",-1.11367075501641,8.3661273307125,36.1986256952604,1.78196176672431e-09
4319,"ENSMUSG00000084260","Gm12844",-1.39602767842185,-0.590543820618343,8.33771280555734,0.00388304517870981
4864,"ENSMUSG00000097554","Gm26825",-1.30179074567061,5.87372790641126,91.0374388492752,1.40979278783527e-21
4865,"ENSMUSG00000100801","Gm15459",-1.00764839769514,5.97785866029121,29.916378499602,4.51086262323507e-08
5037,"ENSMUSG00000037379","Spon2",-1.5173711990678,3.48570977652126,28.748594474151,8.24097072504083e-08
5195,"ENSMUSG00000107319","Gm42670",-1.28356641107244,0.115302006766004,7.53884507489752,0.00603827354876821
5277,"ENSMUSG00000029371","Cxcl5",-1.99073443856594,2.3449829196921,14.8644197297344,0.000115521531602722
5500,"ENSMUSG00000029544","Cabp1",-1.03137184581458,1.74141034307966,12.7137427217828,0.000362978242367506
5723,"ENSMUSG00000029675","Eln",-1.1569331268578,7.82045758198419,44.1104450301437,3.10360407396988e-11
5746,"ENSMUSG00000004951","Hspb1",-1.32722495224564,6.86918857638609,25.0204253489084,5.67261929665665e-07
5942,"ENSMUSG00000029657","Hsph1",-2.0016362914108,7.05950773938098,37.8468326352358,7.65225214386221e-10
6304,"ENSMUSG00000076525","Igkv1-99",-1.99814092792646,-2.03016164326393,5.46680501162785,0.0193810253480233
6313,"ENSMUSG00000076536","Igkv4-86",-1.51801040844757,-0.434469887692935,8.29276292102377,0.0039803382881463
6324,"ENSMUSG00000094262","Igkv4-62",-5.16004363264543,-2.1957586483539,12.4818610058579,0.000410922621027864
6333,"ENSMUSG00000076562","Igkv4-50",-1.17015535290633,1.12759009772101,5.88688170620841,0.015254088228209
6350,"ENSMUSG00000095630","Igkv6-23",-1.0130218206654,3.01370801284179,12.4199657720673,0.000424768024878286
6825,"ENSMUSG00000059659","Gm10069",-1.14797730999888,0.20474688164173,4.56394676067225,0.0326517457306877
7635,"ENSMUSG00000058145","Adamts17",-1.29943989931041,2.31367058081418,28.0951429888815,1.15495350314356e-07
7953,"ENSMUSG00000030790","Adm",-1.08011326734036,3.59356144118162,12.591006807818,0.000387607290464947
7972,"ENSMUSG00000055116","Arntl",-1.92560680795865,4.50714232933464,34.3333147065912,4.6436440937658e-09
7983,"ENSMUSG00000030666","Calcb",-1.31554222136309,0.314751466389848,7.10640280864451,0.00768090908039266
8254,"ENSMUSG00000025489","Ifitm5",-1.35465045500359,-0.252937463701675,10.8639086283891,0.000980565199177149
8389,"ENSMUSG00000093798","Gm8355",-1.30700491756283,1.56697676317583,16.2398347092866,5.58082239506594e-05
8875,"ENSMUSG00000084899","Gm15344",-1.04118877698504,0.262751898232044,8.54737815722433,0.0034602024211745
8979,"ENSMUSG00000020151","Ptprr",-1.00672785161522,0.76352365729121,9.59421838019698,0.00195190995416499
9136,"ENSMUSG00000051906","Cd209f",-1.01077301288003,2.51716253494128,16.8872442410703,3.96672587586876e-05
10356,"ENSMUSG00000040314","Ctsg",-2.2632006848529,-2.19810672468736,5.72605262711397,0.0167150136744165
10801,"ENSMUSG00000015656","Hspa8",-1.05919620666152,9.84357107201641,43.1652465685959,5.03063503622746e-11
11592,"ENSMUSG00000034570","Inpp5j",-1.69974094015881,2.3829246019412,11.8668311668078,0.000571425572968884
11721,"ENSMUSG00000020288","Ahsa2",-1.10862862987051,4.75438957320076,31.2428318701312,2.27686642621765e-08
11790,"ENSMUSG00000044707","Ccnjl",-1.40583128930039,2.13312346449395,26.6130010274786,2.48565465325301e-07
11969,"ENSMUSG00000087249","Gm16062",-1.25504243830158,-0.0533999780162194,8.51469103702047,0.00352290731185671
12270,"ENSMUSG00000083899","Gm12346",-1.05514895592108,1.90083159553684,15.5424665128424,8.06724757934141e-05
12336,"ENSMUSG00000035373","Ccl7",-1.31640463827022,-0.560837669214645,4.85778751685219,0.0275216077793516
12658,"ENSMUSG00000001494","Sost",-2.38361926012461,-0.759588740732023,20.089465797622,7.39026097178514e-06
