"X","ID","Gene.name","logFC","logCPM","LR","PValue"
62,"ENSMUSG00000097970","Gm27028",1.0290861759852,0.980461074314495,4.21408305147393,0.0400897285417715
130,"ENSMUSG00000103046","Gm37309",1.07228611101326,0.363439407811657,4.46903371593605,0.0345145054249026
241,"ENSMUSG00000097819","Gm26813",1.52169822783403,-0.319035358248837,5.58073615904508,0.0181590880167004
385,"ENSMUSG00000052477","C130026I21Rik",1.2098070676828,1.77972454388424,8.19683115093323,0.00419636187821778
426,"ENSMUSG00000081984","Dnajb3",2.17470255416272,-0.68937421231467,6.98641925700321,0.00821304995863453
438,"ENSMUSG00000026304","Rab17",1.39594346236772,0.847676590578268,8.83598299690184,0.00295348512210483
504,"ENSMUSG00000099843","Gm7160",1.1326784470032,1.32059860501614,8.68009557948864,0.00321704114657989
578,"ENSMUSG00000042474","Fcmr",1.37158733304219,3.56921620685011,10.0065991345143,0.00155980291915035
656,"ENSMUSG00000041782","Lad1",1.15284331960372,3.64935383053008,8.72516112172696,0.00313848333515321
728,"ENSMUSG00000045968","Teddm2",1.19373650384084,-0.156286557779628,4.9164661432778,0.026601876407897
775,"ENSMUSG00000102817","Gm6185",1.52246662869185,-0.322848262823573,5.22156333154536,0.0223084871779654
801,"ENSMUSG00000026581","Sell",1.0856305640896,5.17651396928003,14.1915049426926,0.000165114266548398
848,"ENSMUSG00000053925","Gm9929",2.13996604216295,-0.753896508623637,8.09645739871832,0.00443518608694357
851,"ENSMUSG00000038421","Fcrla",1.59041214046913,2.51875265385772,18.5227104152582,1.67891831723301e-05
1073,"ENSMUSG00000026616","Cr2",1.11081793527876,2.73795222091153,6.070297728024,0.0137473786086898
1197,"ENSMUSG00000026955","Sapcd2",1.55588867287556,-0.110975695380026,7.05758158337908,0.00789304803559194
1406,"ENSMUSG00000053164","Gpr21",1.32684377064649,0.111501526283372,5.1828392910823,0.0228110190789375
1488,"ENSMUSG00000086881","Gm13594",1.90566828659194,-0.697021202500084,7.88899436685711,0.00497365112437407
1606,"ENSMUSG00000086969","4930443O20Rik",1.30001925281249,0.0665687100700684,4.68531928598061,0.0304214095765012
1783,"ENSMUSG00000027313","Chac1",1.16922369286836,1.62605200722379,6.502832081779,0.0107702801609653
1800,"ENSMUSG00000098789","Jmjd7",2.00498796876052,-0.366453248278664,6.23127039539514,0.0125513658674036
1805,"ENSMUSG00000046971","Pla2g4f",1.09613350221715,3.02573235960471,7.06681837265938,0.00785245753806571
1809,"ENSMUSG00000079110","Capn3",2.10661455950033,-0.043451965142596,6.92813480536823,0.00848501329389555
1845,"ENSMUSG00000068452","Duox2",1.08250188300457,0.72087309288372,5.2554903057737,0.021877636552209
1925,"ENSMUSG00000027401","Tgm3",6.96736727630628,3.49536695487372,4.85402405901247,0.0275817134641284
