Unnamed: 0,ID_Ure_RT_vs_PBS,Gene.name,logFC_Ure_RT_vs_PBS,logCPM_Ure_RT_vs_PBS,LR_Ure_RT_vs_PBS,PValue_Ure_RT_vs_PBS,FDR_Ure_RT_vs_PBS,X,ID_Cluster1,logFC_Cluster1,logCPM_Cluster1,LR_Cluster1,PValue_Cluster1,FDR_Cluster1,entrezgene_id
ENSMUSG00000054672,ENSMUSG00000054672,5830411N06Rik,1.20238500260735,1.5143462433479,13.5926554146623,0.0002270721953729,0.0449942250118797,,,,,,,,
ENSMUSG00000041347,ENSMUSG00000041347,Bdkrb1,1.10907403692905,1.06800092556035,11.9936125491732,0.0005338320554925,0.0707902369587366,,,,,,,,
,,Dll1,,,,,,ENSMUSG00000014773,ENSMUSG00000014773,1.06883394049877,4.71783975445037,29.2016478939099,6.52237093873728e-08,3.51372351915287e-05,13388.0
ENSMUSG00000038418,ENSMUSG00000038418,Egr1,1.38445993651028,6.37153860334927,19.6750406379497,9.17924986645578e-06,0.0047274856324221,,,,,,,,
ENSMUSG00000033730,ENSMUSG00000033730,Egr3,1.23499755197362,1.92376801241993,22.666946682192,1.92653525566476e-06,0.0014439800553219,,,,,,,,
ENSMUSG00000111531,ENSMUSG00000111531,Gm32688,1.80610523773714,-0.0820748974588219,16.1676212081521,5.79766916053714e-05,0.0160269399170177,,,,,,,,
ENSMUSG00000016283,ENSMUSG00000016283,H2-M2,1.18610296642039,3.6211926194875,11.0231760880575,0.0008997976842764,0.0953987764759254,,,,,,,,
,,Hspa1a,,,,,,ENSMUSG00000091971,ENSMUSG00000091971,2.80836903412288,4.77617811550536,291.978559022407,1.8426853319800301e-65,1.58830262190019e-61,193740.0
,,Hspa1b,,,,,,ENSMUSG00000090877,ENSMUSG00000090877,3.15341020698602,5.38326389734012,315.807992704174,1.18584998216498e-70,2.04428678425421e-66,15511.0
,,Hsph1,,,,,,ENSMUSG00000029657,ENSMUSG00000029657,1.23411277539971,6.30410973432982,84.6554169454273,3.55169501506721e-20,8.74681005210624e-17,15505.0
,,Ighg2b,,,,,,ENSMUSG00000076613,ENSMUSG00000076613,1.41352230181444,7.16518296313459,64.0433905242127,1.2170892199993e-15,2.33126678484088e-12,
,,Ighg3,,,,,,ENSMUSG00000076615,ENSMUSG00000076615,2.25046257308916,5.24305082286497,33.9446580659536,5.670215234134981e-09,4.88744202106264e-06,
,,Ighv1-63,,,,,,ENSMUSG00000096672,ENSMUSG00000096672,2.57766570641398,1.32484330234294,29.9629866808781,4.40372557579815e-08,2.53052750670614e-05,
,,Ighv6-7,,,,,,ENSMUSG00000087582,ENSMUSG00000087582,6.80248474310159,0.49015452822365,153.634926179586,2.7829957360742103e-35,9.59521269883667e-32,
ENSMUSG00000095170,ENSMUSG00000095170,Ighv8-11,1.80779807518274,3.30482990912078,23.6378593445965,1.16277182559584e-06,0.0011723090877866,,,,,,,,
,,Igkv1-122,,,,,,ENSMUSG00000095497,ENSMUSG00000095497,3.86151057618763,3.56387869017493,30.0695305922766,4.16829242162359e-08,2.47783424332307e-05,
,,Igkv4-91,,,,,,ENSMUSG00000076532,ENSMUSG00000076532,1.75657742707896,3.25570858693637,31.6273880093278,1.86776753280453e-08,1.24653273355848e-05,
,,Igkv5-43,,,,,,ENSMUSG00000094433,ENSMUSG00000094433,1.32078303285104,5.53108700293084,34.0608848213026,5.34142729276853e-09,4.84636132105456e-06,
,,Iglc1,,,,,,ENSMUSG00000105906,ENSMUSG00000105906,1.24888051768049,5.0769975968192,31.6511730664003,1.84503115808458e-08,1.24653273355848e-05,
,,Iglv2,,,,,,ENSMUSG00000076940,ENSMUSG00000076940,1.95532627117467,3.05984415714521,37.2454370297221,1.0415841935816202e-09,1.28256213665383e-06,
ENSMUSG00000025746,ENSMUSG00000025746,Il6,1.34051055932339,0.250366084068299,11.5708078635482,0.000669953049777,0.0819100753553673,,,,,,,,
,,Kcnk5,,,,,,ENSMUSG00000023243,ENSMUSG00000023243,1.20021474590327,3.35371630940124,34.968238489507,3.3512752781870704e-09,3.20959080670371e-06,16529.0
ENSMUSG00000079330,ENSMUSG00000079330,Lemd1,1.77739440831779,-0.852605456852118,13.4333640778357,0.0002471884465769,0.0478795688824748,,,,,,,,
,,Lyve1,,,,,,ENSMUSG00000030787,ENSMUSG00000030787,1.55274389762644,6.03884573093037,128.607087270821,8.266464212229339e-30,2.37509294257703e-26,114332.0
ENSMUSG00000025355,ENSMUSG00000025355,Mmp19,1.01647016594796,6.46178203220815,11.0122793577031,0.0009051027616643,0.0953987764759254,,,,,,,,
ENSMUSG00000048217,ENSMUSG00000048217,Nags,1.61630390674523,-0.830879499249297,10.9959899434693,0.0009130922976116,0.0953987764759254,,,,,,,,
,,Nod2,,,,,,ENSMUSG00000055994,ENSMUSG00000055994,1.12805459787329,3.29719538134009,23.1802557365105,1.47504036680534e-06,0.0005085644176671,257632.0
,,Npr3,,,,,,ENSMUSG00000022206,ENSMUSG00000022206,1.79652743536516,6.68839676291668,284.280230659281,8.7676760693897e-64,5.0381989253403e-60,18162.0
,,Serpina3f,,,,,,ENSMUSG00000066363,ENSMUSG00000066363,1.42409653429237,3.19075184963474,39.3364701184716,3.56716040219272e-10,4.73032909026156e-07,238393.0
ENSMUSG00000030237,ENSMUSG00000030237,Slco1a4,1.57864948990154,0.583261924680741,13.3378600112606,0.000260101002252,0.0492734195365135,,,,,,,,
ENSMUSG00000034387,ENSMUSG00000034387,Ssu2,2.53697300230082,-0.17645339729351,19.0035802956877,1.30473408883225e-05,0.0053553121327093,,,,,,,,
ENSMUSG00000038457,ENSMUSG00000038457,Tmem255b,1.3656420335682,0.679401780191369,12.1341829504476,0.0004950595322169,0.0682746502071094,,,,,,,,
