"X","ID","Gene.name","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000031972","ENSMUSG00000031972","Acta1",-1.63678369550701,2.78457220599974,29.6457846796003,5.18652939239131e-08,6.38647001395956e-05
"ENSMUSG00000098178","ENSMUSG00000098178","Gm42418",-1.0368867641677,8.59503818812504,27.6302142806812,1.4686665328843e-07,0.000148931425649368
"ENSMUSG00000040809","ENSMUSG00000040809","Chil3",-1.08721101919257,7.41861680192456,24.1841234293375,8.7551054445207e-07,0.000628871928158718
"ENSMUSG00000055254","ENSMUSG00000055254","Ntrk2",-1.6540935064657,5.87487717247706,22.3464464748582,2.27633868640712e-06,0.00140149295053473
"ENSMUSG00000044041","ENSMUSG00000044041","Krt13",-3.84123329334078,-0.743375794085767,21.352792096509,3.82063914778695e-06,0.00219546660895664
"ENSMUSG00000061815","ENSMUSG00000061815","Rufy4",-1.12399392754434,3.4049890254633,19.0570923552181,1.26865397528455e-05,0.00587244276988988
"ENSMUSG00000027102","ENSMUSG00000027102","Hoxd8",-1.38199556784712,2.13488255197614,17.2111756705909,3.34463005931558e-05,0.0104832868350075
"ENSMUSG00000024770","ENSMUSG00000024770","Lipn",-2.29669302905591,0.115410660951349,16.698164103864,4.38233873920383e-05,0.0132538837763394
"ENSMUSG00000030237","ENSMUSG00000030237","Slco1a4",-1.76331105713422,1.44817302348019,16.0618234903409,6.13076174153406e-05,0.016571624865088
"ENSMUSG00000020889","ENSMUSG00000020889","Nr1d1",-1.13040920513002,6.20325745157911,15.3394559995589,8.98208140556886e-05,0.0203739607040265
"ENSMUSG00000055775","ENSMUSG00000055775","Myh8",-3.3580822392841,-1.19837886253878,14.9007478623894,0.000113318053107996,0.0235360231027559
"ENSMUSG00000078925","ENSMUSG00000078925","D030018L15Rik",-1.54663660586951,1.21903912766976,13.8593351895484,0.000197015592915238,0.0353952580457112
"ENSMUSG00000024534","ENSMUSG00000024534","Sncaip",-1.08582200894358,3.28534452261823,13.3705981464741,0.000255599823606658,0.0433615641291342
"ENSMUSG00000060044","ENSMUSG00000060044","Tmem26",-1.09727895605467,2.79241182036632,13.2565142264508,0.000271634278091389,0.04366065529917
"ENSMUSG00000059824","ENSMUSG00000059824","Dbp",-1.21327649518952,5.80422585556748,12.3401223970813,0.000443325953651099,0.0616330331854137
"ENSMUSG00000054672","ENSMUSG00000054672","5830411N06Rik",-1.42549272317223,1.89797214297035,11.941892781011,0.000548856908708667,0.0711409342047271
"ENSMUSG00000044145","ENSMUSG00000044145","1810024B03Rik",-3.63931170317803,-0.554333982341708,11.5960765324863,0.000660911048767584,0.0798488410788378
"ENSMUSG00000107355","ENSMUSG00000107355","AI839979",-2.0902854440708,0.412672584022142,11.3301511238836,0.000762586950116854,0.0868307780989886
"ENSMUSG00000050493","ENSMUSG00000050493","Fam167b",-1.21793125598707,3.22439211302296,11.2712925567799,0.000787149016677965,0.0881146876526716
"ENSMUSG00000011263","ENSMUSG00000011263","Exoc3l2",-1.19338846187351,4.34283652293369,11.1447336280769,0.000842705729160725,0.0937251875161402
"ENSMUSG00000075224","ENSMUSG00000075224","Lrrc55",-1.62666290323432,1.00456100780614,10.9954753300706,0.000913345860719881,0.097796082564907
"ENSMUSG00000106427","ENSMUSG00000106427","Gm42820",-2.88724287378225,-0.57613471419257,10.5172003418733,0.00118268524929273,0.120640893565428
"ENSMUSG00000032942","ENSMUSG00000032942","Ucp3",-1.0028291997267,2.47649033315564,10.4696618703071,0.00121350927514736,0.122587056696982
"ENSMUSG00000076526","ENSMUSG00000076526","Igkv12-98",-1.73134651320801,2.42831398051935,10.4539991716792,0.00122384203977726,0.122661703044885
"ENSMUSG00000086279","ENSMUSG00000086279","Gm15634",-2.04160474070181,-0.196106915357407,9.97184296328837,0.00158952307724831,0.147321442627331
"ENSMUSG00000068417","ENSMUSG00000068417","Pnp2",-2.14224716277254,-0.318478195305076,9.89120687067801,0.00166070415696042,0.151766870036363
"ENSMUSG00000049892","ENSMUSG00000049892","Rasd1",-1.00647759546802,3.32518309009492,9.88767129528755,0.00166389804726913,0.151766870036363
"ENSMUSG00000038457","ENSMUSG00000038457","Tmem255b",-1.87144356244827,1.28959654858405,9.63902306025304,0.00190486524256546,0.168016339865232
"ENSMUSG00000098041","ENSMUSG00000098041","Gm26981",-5.87493490312552,-1.19309152397713,9.24887182839571,0.00235640548796644,0.193268821632049
"ENSMUSG00000072596","ENSMUSG00000072596","Ear2",-1.00035669877368,6.48276898733714,9.19622770305431,0.00242514381199401,0.195360066238153
"ENSMUSG00000111531","ENSMUSG00000111531","Gm32688",-1.74165085878167,0.625711889182338,9.11899355083471,0.00252969099260727,0.199369259394354
"ENSMUSG00000029212","ENSMUSG00000029212","Gabrb1",-1.24375741190977,1.83911075050165,9.06003996091207,0.00261256268210856,0.200168747008309
"ENSMUSG00000066057","ENSMUSG00000066057","Gm1976",-1.67760270089076,0.475163672741993,8.79044528206672,0.00302812327371142,0.218417644834774
"ENSMUSG00000015665","ENSMUSG00000015665","Awat1",-1.43883560762074,2.183426052704,8.45231127286881,0.00364579824739654,0.244552202283537
"ENSMUSG00000040283","ENSMUSG00000040283","Btnl9",-1.00796913807339,4.84516369529666,8.43305496503889,0.00368460788980261,0.245287958856484
"ENSMUSG00000020963","ENSMUSG00000020963","Tshr",-1.36992206150451,1.15799578951993,8.28867546810904,0.00398930761858711,0.260498765290997
"ENSMUSG00000046834","ENSMUSG00000046834","Krt1",-1.39467526942756,1.0566902752208,8.2698076333321,0.0040309777110086,0.261240694586757
"ENSMUSG00000043889","ENSMUSG00000043889","Gm8399",-1.6516767653289,0.0492983268152467,8.14096445804269,0.00432762595516963,0.273274519564722
"ENSMUSG00000030209","ENSMUSG00000030209","Grin2b",-2.07953516372328,-0.0494281525335368,7.74880958035562,0.00537479584070482,0.310926528516478
"ENSMUSG00000098021","ENSMUSG00000098021","Gm9522",-1.72942412915301,0.197841478008223,7.73527082166005,0.00541524407971221,0.311086766260823
