"Gene_ID","Gene.name","Count","entrezgene_id"
"ENSMUSG00000026078","Pdcl3",1657,68833
"ENSMUSG00000103046","Gm37309",38,NA
"ENSMUSG00000026077","Npas2",128,18143
"ENSMUSG00000073702","Rpl31",8221,114641
"ENSMUSG00000003134","Tbc1d8",1494,54610
"ENSMUSG00000003135","Cnot11",1059,52846
"ENSMUSG00000085894","Gm15832",67,NA
"ENSMUSG00000048234","Rnf149",1685,67702
"ENSMUSG00000050967","Creg2",25,263764
"ENSMUSG00000057173","Rfx8",24,619289
"ENSMUSG00000026074","Map4k4",8842,26921
"ENSMUSG00000026073","Il1r2",34,16178
"ENSMUSG00000026072","Il1r1",2179,16177
"ENSMUSG00000070942","Il1rl2",746,107527
"ENSMUSG00000026069","Il1rl1",209,17082
"ENSMUSG00000026070","Il18r1",4706,16182
"ENSMUSG00000026068","Il18rap",411,16174
"ENSMUSG00000026065","Slc9a4",239,110895
"ENSMUSG00000026062","Slc9a2",106,226999
"ENSMUSG00000041945","Mfsd9",78,211798
"ENSMUSG00000079588","Tmem182",134,381339
"ENSMUSG00000060679","Mrps9",1002,69527
"ENSMUSG00000070939","Tgfbrap1",3238,73122
"ENSMUSG00000010290","AI597479",1111,98404
"ENSMUSG00000008136","Fhl2",110,14200
"ENSMUSG00000094497","Gm8210",435,NA
"ENSMUSG00000066877","Nck2",1345,17974
"ENSMUSG00000103945","Gm38228",20,NA
"ENSMUSG00000026051","1500015O10Rik",16,NA
"ENSMUSG00000057363","Uxs1",1255,67883
"ENSMUSG00000100701","Gm19587",19,NA
"ENSMUSG00000041763","Tpp2",2204,22019
"ENSMUSG00000026049","Tex30",171,75623
"ENSMUSG00000026047","Kdelc1",541,NA
"ENSMUSG00000041684","Bivm",673,246229
"ENSMUSG00000026048","Ercc5",1084,22592
"ENSMUSG00000046828","Mettl21e",210,403183
"ENSMUSG00000089703","Gm15833",16,NA
"ENSMUSG00000056870","Gulp1",734,70676
"ENSMUSG00000026043","Col3a1",7771,12825
"ENSMUSG00000026042","Col5a2",2715,12832
"ENSMUSG00000025995","Wdr75",880,73674
"ENSMUSG00000084817","Gm5526",133,NA
"ENSMUSG00000025993","Slc40a1",897,53945
"ENSMUSG00000041144","Dnah7b",259,227058
"ENSMUSG00000101337","Dnah7c",164,100101919
"ENSMUSG00000025986","Slc39a10",1636,227059
"ENSMUSG00000100213","Gm28151",48,NA
"ENSMUSG00000026109","Tmeff2",335,56363
"ENSMUSG00000045954","Cavin2",25223,20324
"ENSMUSG00000026107","Nabp1",1204,109019
"ENSMUSG00000018417","Myo1b",14637,17912
"ENSMUSG00000062939","Stat4",197,20849
"ENSMUSG00000026104","Stat1",2740,20846
"ENSMUSG00000026103","Gls",4636,14660
"ENSMUSG00000002881","Nab1",4059,17936
"ENSMUSG00000043015","Nemp2",299,227094
"ENSMUSG00000041439","Mfsd6",3102,98682
"ENSMUSG00000026102","Inpp1",887,16329
"ENSMUSG00000041426","Hibch",621,227095
"ENSMUSG00000043629","1700019D03Rik",71,67080
"ENSMUSG00000026098","Pms1",137,227099
"ENSMUSG00000026097","Ormdl1",474,227102
"ENSMUSG00000026096","Osgepl1",371,72085
"ENSMUSG00000026095","Asnsd1",195,70396
"ENSMUSG00000096141","Dnah7a",215,627872
"ENSMUSG00000026094","Stk17b",3286,98267
"ENSMUSG00000042807","Hecw2",3193,329152
"ENSMUSG00000025983","Ccdc150",59,78016
"ENSMUSG00000041303","Gtf3c3",736,98488
"ENSMUSG00000073678","Pgap1",592,241062
"ENSMUSG00000052331","Ankrd44",4964,329154
"ENSMUSG00000025982","Sf3b1",10700,81898
"ENSMUSG00000103030","E330011M16Rik",43,NA
"ENSMUSG00000025981","Coq10b",1467,67876
"ENSMUSG00000101122","Gm17971",46,NA
"ENSMUSG00000025980","Hspd1",3776,15510
"ENSMUSG00000073676","Hspe1",1325,15528
"ENSMUSG00000025979","Mob4",2047,19070
"ENSMUSG00000025978","Rftn2",734,74013
"ENSMUSG00000097649","Gm10561",34,NA
"ENSMUSG00000046994","Mars2",559,212679
"ENSMUSG00000100215","Gm8292",73,NA
"ENSMUSG00000038349","Plcl1",940,227120
"ENSMUSG00000038331","Satb2",67,212712
"ENSMUSG00000038323","1700066M21Rik",327,73467
"ENSMUSG00000048495","Tyw5",193,68736
"ENSMUSG00000025971","Maip1",306,68115
"ENSMUSG00000038305","Spats2l",686,67198
"ENSMUSG00000054770","Kctd18",553,51960
"ENSMUSG00000026039","Sgol2a",45,NA
"ENSMUSG00000063558","Aox1",2250,11761
"ENSMUSG00000064294","Aox3",6197,71724
"ENSMUSG00000103839","Gm37607",27,NA
"ENSMUSG00000051223","Bzw1",6870,66882
"ENSMUSG00000026034","Clk1",6345,12747
"ENSMUSG00000026035","Ppil3",383,70225
"ENSMUSG00000026036","Nif3l1",504,65102
"ENSMUSG00000026037","Orc2",802,18393
"ENSMUSG00000038174","Fam126b",1871,NA
"ENSMUSG00000026032","Ndufb3",1148,66495
"ENSMUSG00000047528","Als2cr12",16,NA
"ENSMUSG00000102059","Gm20257",90,NA
"ENSMUSG00000026031","Cflar",7077,12633
"ENSMUSG00000026029","Casp8",1583,12370
"ENSMUSG00000026028","Trak2",4977,70827
"ENSMUSG00000026027","Stradb",532,227154
"ENSMUSG00000038079","Tmem237",800,381259
"ENSMUSG00000097573","G730003C15Rik",59,NA
"ENSMUSG00000079550","Mpp4",30,227157
"ENSMUSG00000026024","Als2",985,74018
"ENSMUSG00000041075","Fzd7",2445,14369
"ENSMUSG00000097819","Gm26813",16,NA
"ENSMUSG00000047361","Gm973",383,381260
"ENSMUSG00000026021","Sumo1",2109,22218
"ENSMUSG00000103821","D430013B06Rik",21,NA
"ENSMUSG00000026020","Nop58",1080,55989
"ENSMUSG00000067336","Bmpr2",35192,12168
"ENSMUSG00000041040","Fam117b",3129,72750
"ENSMUSG00000026018","Ica1l",40,70375
"ENSMUSG00000026019","Wdr12",364,57750
"ENSMUSG00000026017","Carf",303,241066
"ENSMUSG00000073664","Nbeal1",5633,269198
"ENSMUSG00000049439","Cyp20a1",1152,77951
"ENSMUSG00000026782","Abi2",1295,329165
"ENSMUSG00000026014","Raph1",4269,77300
"ENSMUSG00000101188","Eif4a-ps4",121,NA
"ENSMUSG00000026012","Cd28",296,12487
"ENSMUSG00000026011","Ctla4",58,12477
"ENSMUSG00000026009","Icos",132,54167
"ENSMUSG00000052062","Pard3b",1724,72823
"ENSMUSG00000025969","Nrp2",6002,18187
"ENSMUSG00000103032","Gm37121",24,NA
"ENSMUSG00000040865","Ino80d",2483,227195
"ENSMUSG00000084799","Ino80dos",95,100380944
"ENSMUSG00000101599","Gm20342",146,NA
"ENSMUSG00000025968","Ndufs1",2543,227197
"ENSMUSG00000025967","Eef1b2",5451,55949
"ENSMUSG00000027520","Zdbf2",30,73884
"ENSMUSG00000025964","Adam23",456,23792
"ENSMUSG00000025963","Mdh1b",98,76668
"ENSMUSG00000025962","Fastkd2",331,75619
"ENSMUSG00000025959","Klf7",2991,93691
"ENSMUSG00000025958","Creb1",3099,12912
"ENSMUSG00000025956","Mettl21a",443,67099
"ENSMUSG00000070871","Ccnyl1",1030,227210
"ENSMUSG00000045005","Fzd5",1365,14367
"ENSMUSG00000051344","Plekhm3",1885,241075
"ENSMUSG00000084416","Rpl10a-ps1",81,NA
"ENSMUSG00000025950","Idh1",3341,15926
"ENSMUSG00000025949","Pikfyve",1473,18711
"ENSMUSG00000015222","Map2",1893,17756
"ENSMUSG00000055567","Unc80",16,329178
"ENSMUSG00000026005","Rpe",1047,66646
"ENSMUSG00000026004","Kansl1l",901,68691
"ENSMUSG00000102559","Gm37570",26,NA
"ENSMUSG00000102776","Gm38162",12,NA
"ENSMUSG00000026003","Acadl",4326,11363
"ENSMUSG00000061816","Myl1",65,17901
"ENSMUSG00000026000","Lancl1",1074,14768
"ENSMUSG00000062209","Erbb4",109,13869
"ENSMUSG00000025997","Ikzf2",352,22779
"ENSMUSG00000053153","Spag16",648,66722
"ENSMUSG00000026196","Bard1",69,12021
"ENSMUSG00000050296","Abca12",9,74591
"ENSMUSG00000026192","Atic",1592,108147
"ENSMUSG00000026193","Fn1",37982,14268
"ENSMUSG00000039395","Mreg",195,381269
"ENSMUSG00000097131","D230017M19Rik",201,NA
"ENSMUSG00000026189","Pecr",175,111175
"ENSMUSG00000026187","Xrcc5",687,22596
"ENSMUSG00000039372","4-Mar",254,NA
"ENSMUSG00000039354","Smarcal1",1166,54380
"ENSMUSG00000046330","Rpl37a",7215,19981
"ENSMUSG00000039323","Igfbp2",12052,16008
"ENSMUSG00000026185","Igfbp5",20561,16011
"ENSMUSG00000100444","C530043A13Rik",53,NA
"ENSMUSG00000055322","Tns1",74819,21961
"ENSMUSG00000061815","Rufy4",168,435626
"ENSMUSG00000026180","Cxcr2",609,12765
"ENSMUSG00000048480","Cxcr1",134,227288
"ENSMUSG00000006304","Arpc2",9742,76709
"ENSMUSG00000006299","Aamp",3848,227290
"ENSMUSG00000026179","Pnkd",1135,56695
"ENSMUSG00000006301","Tmbim1",6317,69660
"ENSMUSG00000073650","Catip",456,241112
"ENSMUSG00000026177","Slc11a1",404,18173
"ENSMUSG00000026176","Ctdsp1",6431,227292
"ENSMUSG00000026175","Vil1",33,22349
"ENSMUSG00000033364","Usp37",1009,319651
"ENSMUSG00000026174","Cnot9",964,58184
"ENSMUSG00000026173","Plcd4",78,18802
"ENSMUSG00000026135","Zfp142",904,77264
"ENSMUSG00000026172","Bcs1l",320,66821
"ENSMUSG00000026171","Rnf25",852,57751
"ENSMUSG00000033276","Stk36",615,269209
"ENSMUSG00000033257","Ttll4",1664,67534
"ENSMUSG00000026170","Cyp27a1",779,104086
"ENSMUSG00000006542","Prkag3",306,241113
"ENSMUSG00000047021","Cfap65",2441,241116
"ENSMUSG00000006538","Ihh",11,16147
