"Gene_ID","Gene.name","Count","entrezgene_id"
"ENSMUSG00000039852","Rere",6728,68703
"ENSMUSG00000085213","Gm13091",48,NA
"ENSMUSG00000028967","Errfi1",7190,74155
"ENSMUSG00000028964","Park7",3277,57320
"ENSMUSG00000028965","Tnfrsf9",79,21942
"ENSMUSG00000014592","Camta1",831,100072
"ENSMUSG00000028957","Per3",3348,18628
"ENSMUSG00000028955","Vamp3",4182,22319
"ENSMUSG00000039768","Dnajc11",1434,230935
"ENSMUSG00000039759","Thap3",719,69876
"ENSMUSG00000047777","Phf13",939,230936
"ENSMUSG00000073700","Klhl21",1911,242785
"ENSMUSG00000028952","Zbtb48",448,100090
"ENSMUSG00000028950","Tas1r1",28,110326
"ENSMUSG00000028948","Nol9",982,74035
"ENSMUSG00000039713","Plekhg5",1747,269608
"ENSMUSG00000024793","Tnfrsf25",174,85030
"ENSMUSG00000028943","Espn",401,56226
"ENSMUSG00000028940","Hes2",31,15206
"ENSMUSG00000028937","Acot7",1781,70025
"ENSMUSG00000042804","Gpr153",1460,100129
"ENSMUSG00000039662","Icmt",3704,57295
"ENSMUSG00000058498","Rnf207",57,433809
"ENSMUSG00000028936","Rpl22",6205,19934
"ENSMUSG00000005045","Chd5",213,269610
"ENSMUSG00000028931","Kcnab2",641,16498
"ENSMUSG00000039577","Nphp4",190,260305
"ENSMUSG00000039546","Ajap1",58,230959
"ENSMUSG00000047613","A430005L14Rik",530,97159
"ENSMUSG00000029027","Dffb",212,13368
"ENSMUSG00000039523","Cep104",2446,230967
"ENSMUSG00000029028","Lrrc47",1861,72946
"ENSMUSG00000078350","Smim1",1171,68859
"ENSMUSG00000029026","Trp73",354,22062
"ENSMUSG00000029029","Wrap73",406,59002
"ENSMUSG00000029030","Tprgl",6033,NA
"ENSMUSG00000057751","Megf6",2003,230971
"ENSMUSG00000029032","Arhgef16",845,230972
"ENSMUSG00000039410","Prdm16",1353,70673
"ENSMUSG00000085069","Gm13111",246,NA
"ENSMUSG00000098424","Gm27202",20,NA
"ENSMUSG00000086810","Gm13110",11,NA
"ENSMUSG00000046637","Ttc34",251,242800
"ENSMUSG00000029059","Fam213b",188,NA
"ENSMUSG00000042333","Tnfrsf14",342,230979
"ENSMUSG00000029056","Pank4",849,269614
"ENSMUSG00000029055","Plch2",218,269615
"ENSMUSG00000029047","Pex10",513,668173
"ENSMUSG00000029048","Rer1",2504,67830
"ENSMUSG00000029049","Morn1",299,76866
"ENSMUSG00000029050","Ski",9572,20481
"ENSMUSG00000073684","Faap20",529,67513
"ENSMUSG00000029053","Prkcz",2552,18762
"ENSMUSG00000084803","5830444B04Rik",44,641454
"ENSMUSG00000078490","Cfap74",559,544678
"ENSMUSG00000029064","Gnb1",20055,14688
"ENSMUSG00000029063","Nadk",5571,192185
"ENSMUSG00000042202","Slc35e2",795,320541
"ENSMUSG00000086682","Gm16023",56,100502734
"ENSMUSG00000029062","Cdk11b",3164,12537
"ENSMUSG00000029061","Mmp23",528,26561
"ENSMUSG00000029060","Mib2",1702,76580
"ENSMUSG00000074738","Fndc10",227,230991
"ENSMUSG00000029038","Ssu72",1536,68991
"ENSMUSG00000096221","1500002C15Rik",68,NA
"ENSMUSG00000084845","Tmem240",69,381582
"ENSMUSG00000029036","Atad3a",972,108888
"ENSMUSG00000042116","Vwa1",322,246228
"ENSMUSG00000097728","Gm26840",30,NA
"ENSMUSG00000073680","Tmem88b",38,320587
"ENSMUSG00000078487","Ankrd65",112,242805
"ENSMUSG00000029066","Mrpl20",721,66448
"ENSMUSG00000029068","Ccnl2",5593,56036
"ENSMUSG00000065990","Aurkaip1",1551,66077
"ENSMUSG00000073679","Mxra8os",16,NA
"ENSMUSG00000029070","Mxra8",8055,74761
"ENSMUSG00000029071","Dvl1",3430,13542
"ENSMUSG00000029072","Tas1r3",80,83771
"ENSMUSG00000029073","Cptp",741,79554
"ENSMUSG00000029034","Ints11",920,71957
"ENSMUSG00000051557","Pusl1",421,433813
"ENSMUSG00000029033","Acap3",1409,140500
"ENSMUSG00000023286","Ube2j2",1352,140499
"ENSMUSG00000023571","C1qtnf12",243,67389
"ENSMUSG00000050796","B3galt6",196,117592
"ENSMUSG00000029076","Sdf4",7538,20318
"ENSMUSG00000029075","Tnfrsf4",55,22163
"ENSMUSG00000103183","Gm37090",91,NA
"ENSMUSG00000087381","Gm16008",59,NA
"ENSMUSG00000041954","Tnfrsf18",130,21936
"ENSMUSG00000029074","Ttll10",169,330010
"ENSMUSG00000086549","Gm13648",89,100415901
"ENSMUSG00000059939","9430015G10Rik",405,230996
"ENSMUSG00000041936","Agrn",17207,11603
"ENSMUSG00000035692","Isg15",332,100038882
"ENSMUSG00000078349","AW011738",329,100382
"ENSMUSG00000078486","Perm1",148,74183
"ENSMUSG00000078485","Plekhn1",220,231002
"ENSMUSG00000095567","Noc2l",1329,57741
"ENSMUSG00000062353","Gm15772",3507,NA
"ENSMUSG00000040274","Cdk6",2569,12571
"ENSMUSG00000058503","Fam133b",725,68152
"ENSMUSG00000008307","1700109H08Rik",78,77036
"ENSMUSG00000040302","Rbm48",369,269623
"ENSMUSG00000104891","2510017J16Rik",14,NA
"ENSMUSG00000005907","Pex1",481,71382
"ENSMUSG00000104950","4833413G10Rik",104,NA
"ENSMUSG00000007415","Gatad1",2885,67210
"ENSMUSG00000040351","Ankib1",2281,70797
"ENSMUSG00000105950","Gm43679",15,NA
"ENSMUSG00000000600","Krit1",1668,79264
"ENSMUSG00000040429","Mterf1a",68,545725
"ENSMUSG00000040407","Akap9",4273,100986
"ENSMUSG00000106535","Gm43031",67,NA
"ENSMUSG00000001467","Cyp51",1268,13121
"ENSMUSG00000053178","Mterf1b",31,208595
"ENSMUSG00000044674","Fzd1",3147,14362
"ENSMUSG00000028926","Cdk14",3597,18647
"ENSMUSG00000046798","Cldn12",1286,64945
"ENSMUSG00000040464","Gtpbp10",540,207704
"ENSMUSG00000040473","Cfap69",788,207686
"ENSMUSG00000015653","Steap2",914,74051
"ENSMUSG00000015652","Steap1",32,70358
"ENSMUSG00000097554","Gm26825",1170,NA
"ENSMUSG00000100801","Gm15459",1451,NA
"ENSMUSG00000105487","Gm43324",17,NA
"ENSMUSG00000012428","Steap4",1454,117167
"ENSMUSG00000003161","Sri",5197,109552
"ENSMUSG00000040537","Adam22",668,11496
"ENSMUSG00000002297","Dbf4",273,27214
"ENSMUSG00000054099","Slc25a40",441,319653
"ENSMUSG00000040570","Rundc3b",57,242819
"ENSMUSG00000040584","Abcb1a",2411,18671
"ENSMUSG00000028970","Abcb1b",302,18669
"ENSMUSG00000042476","Abcb4",47,18670
"ENSMUSG00000003623","Crot",1309,74114
"ENSMUSG00000078183","Gm15610",9,NA
"ENSMUSG00000079659","Tmem243",3401,652925
"ENSMUSG00000042508","Dmtf1",1331,23857
"ENSMUSG00000080875","Gm7332",18,NA
"ENSMUSG00000056004","9330182L06Rik",539,NA
"ENSMUSG00000040254","Sema3d",1044,108151
"ENSMUSG00000028883","Sema3a",3494,20346
"ENSMUSG00000105366","Gm43719",383,NA
"ENSMUSG00000063531","Sema3e",7683,20349
"ENSMUSG00000061601","Pclo",209,26875
"ENSMUSG00000099762","Gm21149",15,100861702
"ENSMUSG00000073208","Speer4c",14,100502967
"ENSMUSG00000040118","Cacna2d1",1745,12293
"ENSMUSG00000028864","Hgf",1200,15234
"ENSMUSG00000028780","Sema3c",16691,20348
"ENSMUSG00000002944","Cd36",39036,12491
"ENSMUSG00000057614","Gnai1",1762,14677
"ENSMUSG00000106498","Gm43032",13,NA
"ENSMUSG00000097626","4921504A21Rik",14,70832
"ENSMUSG00000040003","Magi2",277,50791
"ENSMUSG00000039987","Phtf2",468,68770
"ENSMUSG00000045435","Tmem60",349,212090
"ENSMUSG00000039968","Rsbn1l",1942,242860
"ENSMUSG00000101013","A630072M18Rik",48,320770
"ENSMUSG00000028771","Ptpn12",3698,19248
"ENSMUSG00000096269","Rpl31-ps21",26,NA
"ENSMUSG00000039934","Gsap",2760,212167
"ENSMUSG00000064280","Ccdc146",436,75172
"ENSMUSG00000039899","Fgl2",2336,14190
"ENSMUSG00000047221","Fam185a",199,330050
"ENSMUSG00000048520","Fbxl13",154,320118
"ENSMUSG00000039883","Lrrc17",252,74511
"ENSMUSG00000106294","Gm8539",31,NA
"ENSMUSG00000038525","Armc10",1112,67211
"ENSMUSG00000044968","Napepld",377,242864
"ENSMUSG00000029017","Pmpcb",1403,73078
"ENSMUSG00000029014","Dnajc2",928,22791
"ENSMUSG00000028932","Psmc2",2986,19181
"ENSMUSG00000042453","Reln",623,19699
"ENSMUSG00000029012","Orc5",513,26429
"ENSMUSG00000084235","Gm15421",20,NA
"ENSMUSG00000097207","6030443J06Rik",24,320719
"ENSMUSG00000104913","Gm6560",35,NA
"ENSMUSG00000073147","5031425E22Rik",1181,269630
"ENSMUSG00000029004","Kmt2e",7325,69188
"ENSMUSG00000062604","Srpk2",2158,20817
"ENSMUSG00000105987","AI506816",826,NA
"ENSMUSG00000057541","Pus7",522,78697
"ENSMUSG00000028999","Rint1",657,72772
"ENSMUSG00000086697","4933427G23Rik",6,NA
"ENSMUSG00000028998","Tomm7",1191,66169
"ENSMUSG00000097180","2700038G22Rik",42,67194
"ENSMUSG00000028995","Fam126a",2057,NA
"ENSMUSG00000028986","Klhl7",1255,52323
"ENSMUSG00000048439","Nupl2",159,231042
"ENSMUSG00000038319","Kcnh2",742,16511
"ENSMUSG00000028978","Nos3",716,18127
"ENSMUSG00000086769","Gm15587",37,NA
"ENSMUSG00000038295","Atg9b",20,213948
"ENSMUSG00000028973","Abcb8",588,74610
"ENSMUSG00000028969","Cdk5",871,12568
"ENSMUSG00000028962","Slc4a2",2934,20535
"ENSMUSG00000028959","Fastk",1509,66587
"ENSMUSG00000028958","Tmub1",279,64295
"ENSMUSG00000023353","Agap3",3575,213990
"ENSMUSG00000038204","Asb10",25,117590
"ENSMUSG00000028953","Abcf2",1826,27407
"ENSMUSG00000067719","Gm10221",36,NA
"ENSMUSG00000038181","Chpf2",1431,100910
"ENSMUSG00000028949","Smarcd3",440,66993
"ENSMUSG00000028954","Nub1",3158,53312
"ENSMUSG00000097275","Gm26648",107,NA
"ENSMUSG00000055235","Wdr86",65,269633
"ENSMUSG00000028945","Rheb",3315,19744
"ENSMUSG00000028944","Prkag2",1022,108099
"ENSMUSG00000087314","Prkag2os2",22,NA
"ENSMUSG00000059631","1500035N22Rik",47,70258
"ENSMUSG00000043833","2900005J15Rik",104,67261
"ENSMUSG00000038072","Galnt11",1543,231050
"ENSMUSG00000038056","Kmt2c",4382,231051
"ENSMUSG00000097236","4831440E17Rik",36,NA
"ENSMUSG00000101856","1700096K18Rik",99,73571
"ENSMUSG00000028933","Xrcc2",179,57434
"ENSMUSG00000056367","Actr3b",40,242894
"ENSMUSG00000061576","Dpp6",106,13483
"ENSMUSG00000002221","Paxip1",1230,55982
"ENSMUSG00000045294","Insig1",2910,231070
"ENSMUSG00000048271","Rbm33",2743,381626
"ENSMUSG00000002633","Shh",622,20423
"ENSMUSG00000097726","9530036O11Rik",73,654796
"ENSMUSG00000097453","Gm26894",33,NA
"ENSMUSG00000029130","Rnf32",163,56874
"ENSMUSG00000010721","Lmbr1",994,56873
"ENSMUSG00000105741","C79130",24,NA
"ENSMUSG00000097561","4632411P08Rik",21,NA
"ENSMUSG00000001569","Nom1",1260,433864
"ENSMUSG00000039000","Ube3c",2062,100763
"ENSMUSG00000029131","Dnajb6",3111,23950
"ENSMUSG00000025746","Il6",22,16193
"ENSMUSG00000025747","Tyms",184,22171
"ENSMUSG00000025745","Hadha",5560,97212
"ENSMUSG00000059447","Hadhb",3010,231086
"ENSMUSG00000067642","Adgrf3",21,381628
"ENSMUSG00000075703","Selenoi",1204,28042
"ENSMUSG00000073102","Drc1",625,381738
"ENSMUSG00000062372","Otof",22,83762
"ENSMUSG00000029182","1700001C02Rik",200,NA
"ENSMUSG00000053214","Gm9899",101,100502829
"ENSMUSG00000049265","Kcnk3",1522,16527
"ENSMUSG00000029175","Slc35f6",1175,74919
"ENSMUSG00000029177","Cenpa",206,12615
"ENSMUSG00000029168","Dpysl5",809,65254
"ENSMUSG00000029166","Mapre3",1928,100732
"ENSMUSG00000038828","Tmem214",1837,68796
"ENSMUSG00000107086","Gm43808",45,NA
"ENSMUSG00000029165","Agbl5",660,231093
"ENSMUSG00000107201","5930420M18Rik",42,NA
"ENSMUSG00000038803","Ost4",1719,67695
"ENSMUSG00000029163","Emilin1",3091,100952
"ENSMUSG00000029162","Khk",628,16548
"ENSMUSG00000029161","Cgref1",28,68567
"ENSMUSG00000006638","Abhd1",152,57742
"ENSMUSG00000045302","Preb",2552,50907
"ENSMUSG00000006642","Tcf23",53,69852
"ENSMUSG00000006641","Slc5a6",401,330064
"ENSMUSG00000013622","Atraid",1813,381629
"ENSMUSG00000013629","Cad",1245,69719
"ENSMUSG00000062077","Trim54",141,58522
"ENSMUSG00000107283","Mpv17",1017,17527
"ENSMUSG00000106864","Gtf3c2",1311,71752
"ENSMUSG00000029145","Eif2b4",930,13667
"ENSMUSG00000029146","Snx17",3093,266781
"ENSMUSG00000043059","Zfp513",866,101023
"ENSMUSG00000029147","Ppm1g",3580,14208
"ENSMUSG00000029148","Nrbp1",2944,192292
"ENSMUSG00000029149","Krtcap3",502,69815
"ENSMUSG00000038564","Ift172",2422,67661
"ENSMUSG00000038552","Fndc4",201,64339
"ENSMUSG00000062761","Zfp512",1230,269639
"ENSMUSG00000107120","Gm43059",18,NA
"ENSMUSG00000064037","Gpn1",682,74254
"ENSMUSG00000053134","Supt7l",621,72195
"ENSMUSG00000029141","Slc4a1ap",1055,20534
"ENSMUSG00000107352","Gm43660",63,NA
"ENSMUSG00000107355","AI839979",41,100740
"ENSMUSG00000106918","Mrpl33",929,66845
"ENSMUSG00000029136","Rbks",146,71336
"ENSMUSG00000052139","Babam2",1238,107976
"ENSMUSG00000029135","Fosl2",5952,14284
"ENSMUSG00000029134","Plb1",556,665270
"ENSMUSG00000107211","Gm5864",21,NA
"ENSMUSG00000014956","Ppp1cb",8591,19046
"ENSMUSG00000107277","Gm10461",209,NA
"ENSMUSG00000014932","Yes1",2237,22612
"ENSMUSG00000082305","Gm2420",12,NA
"ENSMUSG00000023452","Pisd",1326,320951
"ENSMUSG00000054280","Prr14l",1633,215476
"ENSMUSG00000037426","Depdc5",1174,277854
"ENSMUSG00000018965","Ywhah",5994,22629
"ENSMUSG00000011034","Slc5a1",259,20537
"ENSMUSG00000037379","Spon2",185,100689
"ENSMUSG00000037373","Ctbp1",5952,13016
"ENSMUSG00000079562","Maea",3098,59003
"ENSMUSG00000037355","Uvssa",1178,71101
"ENSMUSG00000037339","Fam53a",916,74504
"ENSMUSG00000004642","Slbp",896,20492
"ENSMUSG00000019295","Tmem129",865,68366
"ENSMUSG00000037313","Tacc3",301,21335
"ENSMUSG00000106896","G630022F23Rik",47,NA
"ENSMUSG00000054252","Fgfr3",6516,14184
"ENSMUSG00000005299","Letm1",2252,56384
"ENSMUSG00000057406","Nsd2",1887,107823
"ENSMUSG00000029111","Nelfa",850,24116
"ENSMUSG00000070858","Gm1673",60,NA
"ENSMUSG00000048142","Nat8l",240,269642
"ENSMUSG00000045102","Poln",12,272158
"ENSMUSG00000079555","Haus3",378,231123
"ENSMUSG00000037235","Mxd4",11906,17122
"ENSMUSG00000037224","Zfyve28",134,231125
"ENSMUSG00000086291","Gm15513",22,NA
"ENSMUSG00000109572","Cfap99",91,100862066
"ENSMUSG00000029110","Rnf4",2868,19822
"ENSMUSG00000037210","Fam193a",1772,231128
"ENSMUSG00000106678","Gm43457",57,NA
"ENSMUSG00000059866","Tnip2",1017,231130
"ENSMUSG00000054520","Sh3bp2",714,24055
"ENSMUSG00000029106","Add1",10259,11518
"ENSMUSG00000001082","Mfsd10",963,68294
"ENSMUSG00000036693","Nop14",1080,75416
"ENSMUSG00000052783","Grk4",154,14772
"ENSMUSG00000029104","Htt",2945,15194
"ENSMUSG00000029101","Rgs12",4687,71729
"ENSMUSG00000029102","Hgfac",165,54426
"ENSMUSG00000044716","Dok7",47,231134
"ENSMUSG00000029103","Lrpap1",5054,16976
"ENSMUSG00000045318","Adra2c",9,11553
"ENSMUSG00000036596","Cpz",138,242939
"ENSMUSG00000106928","Gm43860",48,NA
"ENSMUSG00000083907","Plk-ps1",35,NA
"ENSMUSG00000029097","Trmt44",271,78890
"ENSMUSG00000029098","Acox3",2318,80911
"ENSMUSG00000029096","Htra3",579,78558
"ENSMUSG00000036553","Sh3tc1",2311,231147
"ENSMUSG00000029095","Ablim2",246,231148
"ENSMUSG00000029094","Afap1",1554,70292
"ENSMUSG00000029093","Sorcs2",1872,81840
"ENSMUSG00000043430","Psapl1",11,76943
"ENSMUSG00000029198","Grpel1",1280,17713
"ENSMUSG00000029196","Tada2b",1347,231151
"ENSMUSG00000050677","Ccdc96",297,66717
"ENSMUSG00000029192","Tbc1d14",1847,100855
"ENSMUSG00000029190","D5Ertd579e",3960,320661
"ENSMUSG00000060708","Bloc1s4",516,117197
"ENSMUSG00000055302","Mrfap1",6263,67568
"ENSMUSG00000029119","Man2b2",3181,17160
"ENSMUSG00000029120","Ppp2r2c",163,269643
"ENSMUSG00000039474","Wfs1",1105,22393
"ENSMUSG00000063646","Jakmip1",154,76071
"ENSMUSG00000029121","Crmp1",66,12933
"ENSMUSG00000029122","Evc",780,59056
"ENSMUSG00000050248","Evc2",528,68525
"ENSMUSG00000062329","Cytl1",1727,231162
"ENSMUSG00000048450","Msx1",216,17701
"ENSMUSG00000029125","Stx18",711,71116
"ENSMUSG00000029126","Nsg1",1838,18196
"ENSMUSG00000029127","Zbtb49",313,75079
"ENSMUSG00000067367","Lyar",814,17089
"ENSMUSG00000067365","Tmem128",768,66309
"ENSMUSG00000051596","Otop1",55,21906
"ENSMUSG00000005107","Slc2a9",453,117591
"ENSMUSG00000005103","Wdr1",5847,22388
"ENSMUSG00000046572","Zfp518b",451,100515
"ENSMUSG00000039315","Clnk",40,27278
"ENSMUSG00000107134","Gm42528",220,NA
"ENSMUSG00000051022","Hs3st1",812,15476
"ENSMUSG00000083261","Gm7816",19,NA
"ENSMUSG00000029128","Rab28",1531,100972
"ENSMUSG00000061755","Bod1l",3900,665775
"ENSMUSG00000039782","Cpeb2",1191,231207
"ENSMUSG00000061535","C1qtnf7",1414,109323
"ENSMUSG00000039765","Cc2d2a",1306,231214
"ENSMUSG00000039753","Fbxl5",3067,242960
"ENSMUSG00000029082","Bst1",45,12182
"ENSMUSG00000029084","Cd38",1904,12494
"ENSMUSG00000048373","Fgfbp1",479,14181
"ENSMUSG00000029086","Prom1",1628,19126
"ENSMUSG00000046985","Tapt1",2596,231225
"ENSMUSG00000104784","Gm42984",33,NA
"ENSMUSG00000039706","Ldb2",2947,16826
"ENSMUSG00000015806","Qdpr",1551,110391
"ENSMUSG00000039682","Lap3",1479,66988
"ENSMUSG00000015804","Med28",1584,66999
"ENSMUSG00000015880","Ncapg",67,54392
"ENSMUSG00000015882","Lcorl",794,209707
"ENSMUSG00000015882","Lcorl",794,100041576
"ENSMUSG00000031558","Slit2",2412,20563
"ENSMUSG00000029089","5730480H06Rik",296,66768
"ENSMUSG00000029089","5730480H06Rik",296,70592
"ENSMUSG00000029088","Kcnip4",99,80334
"ENSMUSG00000029090","Adgra3",2818,70693
"ENSMUSG00000029167","Ppargc1a",237,19017
"ENSMUSG00000029169","Dhx15",5047,13204
"ENSMUSG00000097145","9230114K14Rik",89,414108
"ENSMUSG00000106464","C130083M11Rik",138,414111
"ENSMUSG00000072941","Sod3",9620,20657
"ENSMUSG00000045790","Ccdc149",439,100503884
"ENSMUSG00000039252","Lgi2",513,246316
"ENSMUSG00000029173","Sepsecs",1287,211006
"ENSMUSG00000029186","Pi4k2b",4380,67073
"ENSMUSG00000029179","Zcchc4",407,78796
"ENSMUSG00000029176","Anapc4",1727,52206
"ENSMUSG00000106352","5033403H07Rik",27,NA
"ENSMUSG00000029188","Slc34a2",55749,20531
"ENSMUSG00000090642","Gm17182",57,NA
"ENSMUSG00000029189","Sel1l3",157,231238
"ENSMUSG00000061461","Smim20",454,66278
"ENSMUSG00000106981","Gm45495",100,NA
"ENSMUSG00000039191","Rbpj",1197,19664
"ENSMUSG00000029193","Cckar",2746,12425
"ENSMUSG00000039178","Tbc1d19",928,67249
"ENSMUSG00000107182","Gm43268",81,NA
"ENSMUSG00000039156","Stim2",2543,116873
"ENSMUSG00000083902","Gm15975",68,NA
"ENSMUSG00000097216","4932441J04Rik",20,319216
"ENSMUSG00000029108","Pcdh7",431,54216
"ENSMUSG00000037999","Arap2",3423,212285
"ENSMUSG00000090061","Nwd2",56,319807
"ENSMUSG00000060512","0610040J01Rik",525,76261
"ENSMUSG00000047881","Rell1",1826,100532
"ENSMUSG00000029171","Pgm1",906,72157
"ENSMUSG00000029174","Tbc1d1",1459,57915
"ENSMUSG00000105402","Gm3716",66,100042198
"ENSMUSG00000097640","Gm20033",82,NA
"ENSMUSG00000029178","Klf3",7909,16599
"ENSMUSG00000106205","C230096K16Rik",65,NA
"ENSMUSG00000044827","Tlr1",271,21897
"ENSMUSG00000051498","Tlr6",248,21899
"ENSMUSG00000029185","Fam114a1",1375,68303
"ENSMUSG00000037913","Tmem156",101,243025
"ENSMUSG00000054920","Klhl5",8882,71778
"ENSMUSG00000037890","Wdr19",955,213081
"ENSMUSG00000029191","Rfc1",1664,19687
"ENSMUSG00000029195","Klb",18,83379
"ENSMUSG00000047215","Rpl9",11461,20005
"ENSMUSG00000029199","Lias",780,79464
"ENSMUSG00000029201","Ugdh",1657,22235
"ENSMUSG00000037822","Smim14",5059,68552
"ENSMUSG00000105601","Gm42725",19,NA
"ENSMUSG00000029203","Ube2k",2524,53323
"ENSMUSG00000029202","Pds5a",3914,71521
"ENSMUSG00000106767","Gm42727",40,NA
"ENSMUSG00000106978","N4bp2os",124,NA
"ENSMUSG00000037795","N4bp2",830,333789
"ENSMUSG00000029204","Rhoh",230,74734
"ENSMUSG00000054598","9130230L23Rik",85,231253
"ENSMUSG00000070780","Rbm47",1545,245945
"ENSMUSG00000029206","Nsun7",57,70918
"ENSMUSG00000029207","Apbb2",2243,11787
"ENSMUSG00000029223","Uchl1",53,22223
"ENSMUSG00000037736","Limch1",30811,77569
"ENSMUSG00000107319","Gm42670",34,NA
"ENSMUSG00000037720","Tmem33",2698,67878
"ENSMUSG00000029221","Slc30a9",2609,109108
"ENSMUSG00000092060","Bend4",327,666938
"ENSMUSG00000050010","Shisa3",59,330096
"ENSMUSG00000037685","Atp8a1",12466,11980
"ENSMUSG00000107041","Gm42735",40,NA
"ENSMUSG00000085363","Gm15478",24,NA
"ENSMUSG00000037653","Kctd8",102,243043
"ENSMUSG00000029158","Yipf7",12,75581
"ENSMUSG00000029208","Guf1",735,231279
"ENSMUSG00000029209","Gnpda2",669,67980
"ENSMUSG00000029211","Gabra4",60,14397
"ENSMUSG00000029212","Gabrb1",88,14400
"ENSMUSG00000029213","Commd8",1171,27784
"ENSMUSG00000046808","Atp10d",2660,231287
"ENSMUSG00000005220","Corin",185,53419
"ENSMUSG00000072889","Nfxl1",675,100978
"ENSMUSG00000067219","Nipal1",228,70701
"ENSMUSG00000054892","Txk",97,22165
"ENSMUSG00000029217","Tec",533,21682
"ENSMUSG00000036087","Slain2",4293,75991
"ENSMUSG00000070733","Fryl",4379,72313
"ENSMUSG00000107171","Gm42572",19,NA
"ENSMUSG00000029152","Ociad1",4452,68095
"ENSMUSG00000107331","Gm42732",135,NA
"ENSMUSG00000029153","Ociad2",887,433904
"ENSMUSG00000051674","Dcun1d4",997,100737
"ENSMUSG00000029156","Sgcb",1505,24051
"ENSMUSG00000029155","Spata18",1067,73472
"ENSMUSG00000054814","Usp46",2738,69727
"ENSMUSG00000106943","Dancr",23,70036
"ENSMUSG00000049907","Rasl11b",894,68939
"ENSMUSG00000062110","Scfd2",392,212986
"ENSMUSG00000029227","Fip1l1",2943,66899
"ENSMUSG00000029228","Lnx1",208,16924
"ENSMUSG00000029229","Chic2",1461,74277
"ENSMUSG00000029231","Pdgfra",7270,18595
"ENSMUSG00000005672","Kit",8144,16590
"ENSMUSG00000062960","Kdr",26445,16542
"ENSMUSG00000029233","Srd5a3",987,57357
"ENSMUSG00000029234","Tmem165",2541,21982
"ENSMUSG00000029238","Clock",3229,12753
"ENSMUSG00000106831","Ube2n-ps1",13,NA
"ENSMUSG00000036435","Exoc1",1505,69940
"ENSMUSG00000036403","Cep135",672,381644
"ENSMUSG00000036377","C530008M17Rik",353,NA
"ENSMUSG00000055923","Aasdh",318,231326
"ENSMUSG00000029246","Ppat",1010,231327
"ENSMUSG00000072852","2310040G07Rik",48,NA
"ENSMUSG00000029247","Paics",4828,67054
"ENSMUSG00000036323","Srp72",3331,66661
"ENSMUSG00000029248","Thegl",29,NA
"ENSMUSG00000059325","Hopx",20655,74318
"ENSMUSG00000087541","Hopxos",144,NA
"ENSMUSG00000053030","Spink2",30,69982
"ENSMUSG00000029249","Rest",1436,19712
"ENSMUSG00000036285","Noa1",419,56412
"ENSMUSG00000029250","Polr2b",2685,231329
"ENSMUSG00000036256","Igfbp7",15933,29817
"ENSMUSG00000037605","Adgrl3",2710,319387
"ENSMUSG00000087431","Gm16054",62,NA
"ENSMUSG00000049537","Tecrl",53,243078
"ENSMUSG00000029253","Cenpc1",600,12617
"ENSMUSG00000029254","Stap1",220,56792
"ENSMUSG00000035898","Uba6",985,231380
"ENSMUSG00000035851","Ythdc1",3385,231386
"ENSMUSG00000029273","Sult1d1",1303,53315
"ENSMUSG00000067149","Jchain",13443,16069
"ENSMUSG00000070697","Utp3",1206,65961
"ENSMUSG00000029291","Rufy3",747,52822
"ENSMUSG00000044221","Grsf1",2464,231413
"ENSMUSG00000006262","Mob1b",3002,68473
"ENSMUSG00000029366","Dck",475,13178
"ENSMUSG00000060961","Slc4a4",1173,54403
"ENSMUSG00000043635","Adamts3",76,330119
"ENSMUSG00000035505","Cox18",226,231430
"ENSMUSG00000055204","Ankrd17",4869,81702
"ENSMUSG00000054945","Gm9958",41,NA
"ENSMUSG00000029368","Alb",19,11657
"ENSMUSG00000054932","Afp",40,11576
"ENSMUSG00000029370","Rassf6",175,73246
"ENSMUSG00000029371","Cxcl5",111,20311
"ENSMUSG00000029372","Ppbp",284,57349
"ENSMUSG00000029373","Pf4",436,56744
"ENSMUSG00000029379","Cxcl3",19,330122
"ENSMUSG00000029375","Cxcl15",26211,20309
"ENSMUSG00000093082","Gm24322",20,NA
"ENSMUSG00000106957","Gm43085",3072,NA
"ENSMUSG00000029380","Cxcl1",80,14825
"ENSMUSG00000058427","Cxcl2",41,20310
"ENSMUSG00000029376","Mthfd2l",285,665563
"ENSMUSG00000029377","Ereg",45,13874
"ENSMUSG00000029378","Mcub",255,66815
"ENSMUSG00000082361","Btc",132,12223
"ENSMUSG00000034981","Parm1",894,231440
"ENSMUSG00000029397","Rchy1",1590,68098
"ENSMUSG00000107200","Gm43039",43,NA
"ENSMUSG00000102644","Thap6",312,NA
"ENSMUSG00000029403","Cdkl2",1064,53886
"ENSMUSG00000097479","Gm26582",21,NA
"ENSMUSG00000029405","G3bp2",2515,23881
"ENSMUSG00000029407","Uso1",3381,56041
"ENSMUSG00000029410","Ppef2",48,19023
"ENSMUSG00000029413","Naaa",3605,67111
"ENSMUSG00000029415","Sdad1",849,231452
"ENSMUSG00000029417","Cxcl9",80,17329
"ENSMUSG00000034842","Art3",855,109979
"ENSMUSG00000034855","Cxcl10",80,15945
"ENSMUSG00000034826","Nup54",751,269113
"ENSMUSG00000029426","Scarb2",14609,12492
"ENSMUSG00000057068","Fam47e",349,384198
"ENSMUSG00000047963","Stbd1",1580,52331
