"Gene.name.x","Gene_ID","PC1_Loading","PC2_Loading","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","PC1_Direction","PC2_Direction","Gene.name.y","ENTREZID"
"Fbxo38","ENSMUSG00000042211",0.00899146633740681,-0.000793193244774355,1199,1054,975,1299,1221,1111,2192,1198,1548,1090,1184,1212,1702,1332,1882,"Positive","Negative","Fbxo38","107035"
"Fto","ENSMUSG00000055932",0.00895836727212725,-0.000189175738806428,1592,1352,1260,1861,1597,1468,2808,1573,1995,1578,1503,1619,2177,1875,2428,"Positive","Negative","Fto","26383"
"Fzr1","ENSMUSG00000020235",0.00897670462070291,-0.00149346024325468,676,622,638,795,706,675,1300,706,917,681,632,705,1008,782,1127,"Positive","Negative","Fzr1","56371"
"Gosr1","ENSMUSG00000010392",0.00897649378186617,0.00128924150420164,1167,1029,947,1320,1176,1047,2097,1154,1558,1086,1203,1243,1672,1415,1883,"Positive","Positive","Gosr1","53334"
"Gpbp1l1","ENSMUSG00000034042",0.0089980349095197,-0.00142068877072037,1554,1322,1384,1717,1586,1433,2764,1463,1979,1478,1385,1591,2140,1712,2458,"Positive","Negative","Gpbp1l1","77110"
"Hbs1l","ENSMUSG00000019977",0.0089738136296604,-0.00134353597938969,880,762,748,999,840,809,1583,857,1058,817,768,877,1258,983,1381,"Positive","Negative","Hbs1l","56422"
"Herc4","ENSMUSG00000020064",0.00896397405346196,-0.000357794370823154,980,803,800,1101,976,929,1800,934,1243,1003,893,951,1357,1154,1600,"Positive","Negative","Herc4","67345"
"Hnrnpk","ENSMUSG00000021546",0.00899855155109316,-0.000175304686396549,8551,6874,7836,9846,8612,7888,15358,8575,10958,8391,8319,9035,12314,9763,13216,"Positive","Negative","Hnrnpk","15387"
"Katnal1","ENSMUSG00000041298",0.00896177478903924,0.00117164749092384,411,336,306,445,362,313,741,390,537,387,390,411,584,441,673,"Positive","Positive","Katnal1","231912"
"Kdm1a","ENSMUSG00000036940",0.00900679417266296,0.00133069869378052,1202,1048,1024,1320,1194,1061,2114,1218,1536,1206,1211,1237,1717,1352,1976,"Positive","Positive","Kdm1a","99982"
"Lactb2","ENSMUSG00000025937",0.00896740726422714,0.00093836535477743,997,787,840,1154,976,874,1765,956,1255,1003,1008,1082,1393,1147,1537,"Positive","Positive","Lactb2","212442"
"Lemd2","ENSMUSG00000044857",0.00897897058399068,0.000213633878053432,1179,989,1112,1317,1141,1090,2167,1153,1475,1099,1140,1281,1718,1403,1885,"Positive","Positive","Lemd2","224640"
"Metap1","ENSMUSG00000005813",0.00896202871971748,0.000715517190611917,688,635,593,774,636,649,1254,676,953,687,657,741,1022,779,1138,"Positive","Positive","Metap1","75624"
"Mfsd14b","ENSMUSG00000038212",0.00898199157635314,-0.000217868794394945,1698,1482,1416,1911,1698,1610,3206,1686,2269,1669,1639,1649,2580,2035,2733,"Positive","Negative","Mfsd14b","66631"
"Nrbp1","ENSMUSG00000029148",0.0089827484409763,-0.00073151440405118,1652,1396,1421,1761,1544,1437,2944,1632,1975,1478,1569,1672,2220,1755,2613,"Positive","Negative","Nrbp1","192292"
"Osbp","ENSMUSG00000024687",0.00896307777761699,-0.00066028481845043,2410,2247,2067,2613,2418,2162,4371,2327,3160,2223,2228,2425,3549,2804,3733,"Positive","Negative","Osbp","76303"
"Pank2","ENSMUSG00000037514",0.00899110606527222,-0.000872902779010563,865,770,734,950,909,805,1551,855,1084,814,852,865,1271,962,1357,"Positive","Negative","Pank2","74450"
"Pex19","ENSMUSG00000003464",0.00897737233436224,0.00060085065648099,1210,1080,1161,1481,1344,1262,2515,1320,1695,1331,1251,1401,1946,1578,2155,"Positive","Positive","Pex19","19298"
"Pi4kb","ENSMUSG00000038861",0.00895816672357241,-0.00133533144028404,1027,934,840,1194,1015,962,1952,1007,1371,966,990,1127,1420,1158,1637,"Positive","Negative","Pi4kb","107650"
"Pmpca","ENSMUSG00000026926",0.00899993702934186,0.000685838925007827,928,834,809,1096,971,914,1753,933,1265,919,975,1063,1416,1086,1605,"Positive","Positive","Pmpca","66865"
"Ppil2","ENSMUSG00000022771",0.00897339403512703,-0.00173589677716819,1106,903,967,1154,1094,953,2001,990,1331,1022,1036,1106,1500,1199,1657,"Positive","Negative","Ppil2","66053"
"Ppp6r1","ENSMUSG00000052296",0.00897224439093136,-0.000375014870016343,3018,2668,2596,3419,3043,2831,5597,2992,3797,3102,3172,3227,4311,3450,4620,"Positive","Negative","Ppp6r1","243819"
"Ppp6r3","ENSMUSG00000024908",0.00898151565309598,-0.000109420773018612,2914,2407,2156,3215,2690,2478,5024,2736,3641,2707,2715,2849,3898,3099,4564,"Positive","Negative","Ppp6r3","52036"
"Prepl","ENSMUSG00000024127",0.00896628508033177,0.00105150096717526,643,625,536,760,669,616,1252,668,891,625,642,701,995,819,1162,"Positive","Positive","Prepl","213760"
"Prkaca","ENSMUSG00000005469",0.00896393780724394,0.00161609841243928,1934,1706,1654,2034,1887,1734,3318,1821,2434,1842,1900,2007,2893,2238,3050,"Positive","Positive","Prkaca","18747"
"Ptgr2","ENSMUSG00000072946",0.00898223990096838,-0.000400771122718004,1195,1040,1081,1441,1143,1125,2214,1158,1551,1222,1115,1216,1776,1405,2004,"Positive","Negative","Ptgr2","77219"
"Rab3gap1","ENSMUSG00000036104",0.00898296467825933,-0.00158792132818008,1287,1131,1093,1515,1260,1180,2332,1293,1680,1263,1217,1282,1815,1411,1980,"Positive","Negative","Rab3gap1","226407"
"Rufy1","ENSMUSG00000020375",0.00897440207590981,-0.0020854764608041,883,765,817,1014,925,811,1688,849,1155,889,858,898,1245,1011,1388,"Positive","Negative","Rufy1","216724"
"Seh1l","ENSMUSG00000079614",0.00895917484181555,-0.00183105530749446,1483,1213,1117,1629,1430,1310,2645,1363,1895,1361,1366,1420,2000,1576,2192,"Positive","Negative","Seh1l","72124"
"Senp3","ENSMUSG00000005204",0.00898900607321075,0.000718806362892248,1213,1026,1055,1322,1178,1065,2118,1196,1473,1086,1166,1280,1716,1415,1876,"Positive","Positive","Senp3","80886"
"Sf3b3","ENSMUSG00000033732",0.0089769813999193,0.00204159210777967,1856,1636,1511,1997,1866,1631,3188,1897,2364,1843,1762,1928,2663,2170,2929,"Positive","Positive","Sf3b3","101943"
"Slc25a17","ENSMUSG00000022404",0.00895889180648395,-0.000154713802299633,1144,976,1098,1388,1264,1050,2175,1115,1582,1229,1152,1201,1770,1334,2027,"Positive","Negative","Slc25a17","20524"
"Smim10l1","ENSMUSG00000072704",0.00895870139729165,-0.00159856523312017,2550,2031,2263,2868,2457,2480,4638,2358,3382,2421,2365,2451,3530,2849,4078,"Positive","Negative","Smim10l1","381820"
"Sri","ENSMUSG00000003161",0.00897082508105662,-0.00135097219311992,2976,2559,2782,3422,2961,2769,5197,2761,3689,2863,2703,2957,4187,3383,4761,"Positive","Negative","Sri","109552"
"Strn4","ENSMUSG00000030374",0.00898014506070194,-0.000103903098391587,1901,1569,1479,1910,1807,1595,3244,1771,2263,1746,1767,1864,2631,1983,2789,"Positive","Negative","Strn4","97387"
"Svil","ENSMUSG00000024236",0.00898204799772444,-0.000113269600860687,4270,3681,3564,4976,4386,3751,8082,4029,5526,4069,4090,4751,5989,5137,7039,"Positive","Negative","Svil","225115"
"Tdrd7","ENSMUSG00000035517",0.00896014952790083,-0.000334720148971664,1118,877,903,1156,1081,916,1932,1054,1394,1037,1056,1072,1583,1162,1632,"Positive","Negative","Tdrd7","100121"
"Tm9sf2","ENSMUSG00000025544",0.00898751393472529,0.001186270453056,4328,3692,3615,4743,4120,4086,7846,4370,5826,4360,4181,4549,6245,5069,6816,"Positive","Positive","Tm9sf2","68059"
"Tmem127","ENSMUSG00000034850",0.00895822625653667,0.00281633111549572,1938,1625,1708,2213,1962,1808,3557,2040,2689,1953,1929,2245,3010,2360,3295,"Positive","Positive","Tmem127","69470"
"Tmem87a","ENSMUSG00000033808",0.00896064602519229,0.000598801049939159,1070,875,900,1143,1029,969,1892,1058,1287,1041,1027,1169,1435,1144,1718,"Positive","Positive","Tmem87a","211499"
"Tnpo2","ENSMUSG00000031691",0.0089855761805829,0.00135261828418633,1604,1368,1337,1820,1620,1373,2779,1652,2114,1537,1579,1693,2294,1825,2538,"Positive","Positive","Tnpo2","212999"
"Tom1l2","ENSMUSG00000000538",0.0089585820790138,0.000340576358644902,1579,1445,1264,1800,1563,1492,2837,1488,2092,1510,1582,1591,2415,1839,2593,"Positive","Positive","Tom1l2","216810"
"Tor1b","ENSMUSG00000026848",0.00896040049853155,0.00218571972268359,1045,893,921,1139,1023,914,1883,1057,1336,1094,1062,1131,1492,1192,1797,"Positive","Positive","Tor1b","30934"
"Trappc11","ENSMUSG00000038102",0.0089844033759864,-0.00104739384259253,1164,1067,964,1344,1202,1079,2134,1131,1474,1109,1120,1263,1621,1341,1827,"Positive","Negative","Trappc11","320714"
"Uba2","ENSMUSG00000052997",0.00896267853255324,0.000133018348767055,1614,1380,1446,1697,1515,1491,2795,1524,2089,1604,1511,1615,2317,1803,2406,"Positive","Positive","Uba2","50995"
