ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000071230,ENSMUSG00000071230,Npw,0.342150386,3.999656459,3.545526156,0.059706228,0.250492441,381073,Npw,0.342150386,FALSE
ENSMUSG00000029819,ENSMUSG00000029819,Npy,-3.118185987,1.825299632,17.50095675,2.87E-05,0.001040001,109648,Npy,-3.118185987,TRUE
ENSMUSG00000036437,ENSMUSG00000036437,Npy1r,-0.459674197,3.883259064,7.082663462,0.007783324,0.065519014,18166,Npy1r,-0.459674197,TRUE
ENSMUSG00000028004,ENSMUSG00000028004,Npy2r,1.511826236,0.48335419,7.20813875,0.007257372,0.062527909,18167,Npy2r,1.511826236,TRUE
ENSMUSG00000003849,ENSMUSG00000003849,Nqo1,-0.246944418,3.049634038,1.035482254,0.308874513,0.611758735,18104,Nqo1,-0.246944418,FALSE
ENSMUSG00000046949,ENSMUSG00000046949,Nqo2,-0.018337171,4.639768664,0.023762972,0.877489547,0.95923961,18105,Nqo2,-0.018337171,FALSE
ENSMUSG00000020889,ENSMUSG00000020889,Nr1d1,0.003101536,5.834480744,6.29E-05,0.993672018,0.998417205,217166,Nr1d1,0.003101536,FALSE
ENSMUSG00000021775,ENSMUSG00000021775,Nr1d2,0.063631167,6.763509794,0.052242897,0.819205436,0.934134644,353187,Nr1d2,0.063631167,FALSE
ENSMUSG00000060601,ENSMUSG00000060601,Nr1h2,0.116249391,6.627390991,1.632900396,0.201302352,0.49126872,22260,Nr1h2,0.116249391,FALSE
ENSMUSG00000002108,ENSMUSG00000002108,Nr1h3,-0.250613939,4.954345806,4.434336329,0.035222911,0.179753632,22259,Nr1h3,-0.250613939,TRUE
ENSMUSG00000047638,ENSMUSG00000047638,Nr1h4,0.089161972,0.266464761,0.051282079,0.820847191,0.934650835,20186,Nr1h4,0.089161972,FALSE
ENSMUSG00000022809,ENSMUSG00000022809,Nr1i2,-0.721348085,0.000709475,3.54512605,0.059720629,0.250492441,18171,Nr1i2,-0.721348085,FALSE
