"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"mmu04820","Cytoskeleton in muscle cells - Mus musculus (house mouse)","23/123","232/9775",0.0991379310344828,7.87864451920381,11.9697330032772,8.97567346423711e-15,1.93874546827522e-12,1.68175776487811e-12,"17885/58916/17879/21953/17882/59011/17996/17907/21957/11459/68553/21925/13717/109272/233199/17897/17884/17901/11474/320502/12335/213119/12715",23
"Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm - Mus musculus (house mouse)","7/123","34/9775",0.205882352941176,16.3617886178862,10.1288359709233,1.7074857978128e-07,1.84408466163783e-05,1.59964458952989e-05,"353187/18628/13170/11865/217166/18030/18143",7
"Organismal Systems","Endocrine system","mmu04915","Estrogen signaling pathway - Mus musculus (house mouse)","11/123","134/9775",0.082089552238806,6.5237835214173,7.26788545998712,8.88939451074552e-07,6.40036404773678e-05,5.5519727119744e-05,"16663/15481/15519/80796/15511/193740/14229/16664/15482/70405/16665",11
"Cellular Processes","Cell motility","mmu04814","Motor proteins - Mus musculus (house mouse)","11/123","198/9775",0.0555555555555556,4.41508581752484,5.48023950942856,3.80264121499171e-05,0.00205342625609553,0.00178123720070664,"17885/17879/21953/17882/17907/21957/11459/21925/17897/17884/17901",11
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway - Mus musculus (house mouse)","12/123","254/9775",0.047244094488189,3.75456116765892,5.02120627532202,8.14524382026173e-05,0.00351874533035307,0.00305232294738229,"80796/20190/21925/12372/239556/11937/18212/12292/18125/70405/228785/14811",12
"Organismal Systems","Environmental adaptation","mmu04713","Circadian entrainment - Mus musculus (house mouse)","7/123","99/9775",0.0707070707070707,5.61920013139525,5.21454611840995,0.000240485758319343,0.00865748729949635,0.00750990613699002,"18628/80796/20190/239556/18125/70405/14811",7
"Organismal Systems","Immune system","mmu04612","Antigen processing and presentation - Mus musculus (house mouse)","6/123","87/9775",0.0689655172413793,5.48079618727222,4.73890298401415,0.000772609759906942,0.0238405297342714,0.0206803815433738,"15002/15481/15519/15511/193740/15482",6
"Human Diseases","Immune disease","mmu05340","Primary immunodeficiency - Mus musculus (house mouse)","4/123","36/9775",0.111111111111111,8.83017163504968,5.31306850602489,0.00102997253150036,0.0278092583505096,0.0241230408693505,"12518/12478/11486/72049",4
