ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000027597,ENSMUSG00000027597,Ahcy,-0.332078323,4.345084879,5.132581053,0.023480786,0.103182581,269378,Ahcy,-0.332078323,TRUE
ENSMUSG00000027893,ENSMUSG00000027893,Ahcyl1,-0.05028248,7.114924743,0.305627192,0.580375994,0.774090986,229709,Ahcyl1,-0.05028248,FALSE
ENSMUSG00000029772,ENSMUSG00000029772,Ahcyl2,-0.997071837,6.978055661,51.03270728,9.08E-13,3.72E-10,74340,Ahcyl2,-0.997071837,TRUE
ENSMUSG00000037692,ENSMUSG00000037692,Ahdc1,-0.089640127,5.3595358,0.481234488,0.487863676,0.706226705,230793,Ahdc1,-0.089640127,FALSE
ENSMUSG00000019986,ENSMUSG00000019986,Ahi1,-0.124356233,3.75140805,0.561101967,0.453816584,0.679581661,52906,Ahi1,-0.124356233,FALSE
ENSMUSG00000069833,ENSMUSG00000069833,Ahnak,-0.20170783,11.26469418,1.336400294,0.247669783,0.482741284,66395,Ahnak,-0.20170783,FALSE
ENSMUSG00000019256,ENSMUSG00000019256,Ahr,-0.130647048,6.84895691,0.642201922,0.422914572,0.654343847,11622,Ahr,-0.130647048,FALSE
ENSMUSG00000021575,ENSMUSG00000021575,Ahrr,1.363906645,-0.801815097,7.311177162,0.006852702,0.042040474,11624,Ahrr,1.363906645,TRUE
ENSMUSG00000021037,ENSMUSG00000021037,Ahsa1,-0.831233661,6.386960726,32.7119015,1.07E-08,8.94E-07,217737,Ahsa1,-0.831233661,TRUE
ENSMUSG00000020288,ENSMUSG00000020288,Ahsa2,-1.353354742,4.658261794,35.82790645,2.16E-09,2.46E-07,268390,Ahsa2,-1.353354742,TRUE
ENSMUSG00000022868,ENSMUSG00000022868,Ahsg,0.69228312,0.34376182,3.167021981,0.075139338,0.228452742,11625,Ahsg,0.69228312,FALSE
ENSMUSG00000035875,ENSMUSG00000035875,AI182371,0.406258846,1.160746142,2.092338304,0.148039332,0.354277886,98870,AI182371,0.406258846,FALSE
ENSMUSG00000050812,ENSMUSG00000050812,AI314180,0.074011995,6.772936895,0.705094257,0.401077226,0.636081487,230249,Ecpas,0.074011995,FALSE
ENSMUSG00000062753,ENSMUSG00000062753,AI413582,-0.073430803,3.786168915,0.203261487,0.652101048,0.819890728,106672,Smim29,-0.073430803,FALSE
ENSMUSG00000086712,ENSMUSG00000086712,AI427809,1.073111053,0.017208393,7.247613477,0.007099531,0.043155433,381524,Mexis,1.073111053,TRUE
ENSMUSG00000074384,ENSMUSG00000074384,AI429214,-0.02357752,2.482515505,0.013387765,0.907885938,0.95578905,621080,AI429214,-0.02357752,FALSE
ENSMUSG00000046312,ENSMUSG00000046312,AI464131,-0.44772002,4.993655392,11.52750498,0.00068574,0.007155853,329828,Myorg,-0.44772002,TRUE
ENSMUSG00000045165,ENSMUSG00000045165,AI467606,0.066389629,4.476837351,0.205022931,0.650696667,0.819165049,101602,AI467606,0.066389629,FALSE
ENSMUSG00000056145,ENSMUSG00000056145,AI504432,-0.408214077,4.745553174,4.494222436,0.034009577,0.132795266,229694,AI504432,-0.408214077,TRUE
ENSMUSG00000010290,ENSMUSG00000010290,AI597479,-0.209032774,5.097059715,2.79395428,0.094620478,0.265897251,98404,AI597479,-0.209032774,FALSE
ENSMUSG00000034382,ENSMUSG00000034382,AI661453,-0.158385982,5.624941874,2.353307402,0.125017513,0.318295216,224833,AI661453,-0.158385982,FALSE
ENSMUSG00000087107,ENSMUSG00000087107,AI662270,0.438329919,3.193956708,5.697515319,0.016988947,0.081784715,100043636,AI662270,0.438329919,TRUE
ENSMUSG00000047423,ENSMUSG00000047423,AI837181,-0.303578667,5.245982279,7.598872129,0.005840483,0.037400893,107242,AI837181,-0.303578667,TRUE
ENSMUSG00000107355,ENSMUSG00000107355,AI839979,0.677169013,0.297990369,3.300512006,0.069258292,0.216922911,100740,AI839979,0.677169013,FALSE
ENSMUSG00000024970,ENSMUSG00000024970,AI846148,-0.093199386,4.150489102,0.483971013,0.486629096,0.705788237,68229,Spindoc,-0.093199386,FALSE
ENSMUSG00000053297,ENSMUSG00000053297,AI854703,0.217241564,-0.214370089,0.237298309,0.626164264,0.803628449,243373,AI854703,0.217241564,FALSE
ENSMUSG00000056383,ENSMUSG00000056383,AI987944,0.093678981,3.981006831,0.397661447,0.528299461,0.736428929,233168,AI987944,0.093678981,FALSE
ENSMUSG00000042901,ENSMUSG00000042901,Aida,-0.059655612,6.153777212,0.431688871,0.511161407,0.723862996,108909,Aida,-0.059655612,FALSE
ENSMUSG00000024397,ENSMUSG00000024397,Aif1,0.748833684,2.417487015,10.83427622,0.000996383,0.009641665,11629,Aif1,0.748833684,TRUE
ENSMUSG00000001864,ENSMUSG00000001864,Aif1l,-0.393433125,2.916447752,1.729956127,0.188416501,0.409597989,108897,Aif1l,-0.393433125,FALSE
ENSMUSG00000036932,ENSMUSG00000036932,Aifm1,-0.05761675,5.32504534,0.240790596,0.623635687,0.801943578,26926,Aifm1,-0.05761675,FALSE
ENSMUSG00000020085,ENSMUSG00000020085,Aifm2,0.551915898,4.726474012,17.63293268,2.68E-05,0.000542712,71361,Aifm2,0.551915898,TRUE
ENSMUSG00000022763,ENSMUSG00000022763,Aifm3,0.195727592,2.005380949,0.596085041,0.440075671,0.668116644,72168,Aifm3,0.195727592,FALSE
ENSMUSG00000019806,ENSMUSG00000019806,Aig1,0.448935625,5.227663023,8.983503633,0.002724278,0.021212207,66253,Aig1,0.448935625,TRUE
ENSMUSG00000037860,ENSMUSG00000037860,Aim2,0.869241819,3.245209529,16.96281698,3.81E-05,0.000712728,383619,Aim2,0.869241819,TRUE
ENSMUSG00000028029,ENSMUSG00000028029,Aimp1,-0.05478993,4.978600344,0.196005142,0.657964889,0.823662531,13722,Aimp1,-0.05478993,FALSE
ENSMUSG00000029610,ENSMUSG00000029610,Aimp2,-0.209091229,3.395121406,1.722389741,0.189385723,0.410720906,231872,Aimp2,-0.209091229,FALSE
ENSMUSG00000024847,ENSMUSG00000024847,Aip,-0.207729723,6.144441994,4.622167273,0.031561336,0.126573934,11632,Aip,-0.207729723,TRUE
ENSMUSG00000078247,ENSMUSG00000078247,Airn,0.427505358,2.370864457,3.268811761,0.070608749,0.219636273,104103,Airn,0.427505358,FALSE
ENSMUSG00000039546,ENSMUSG00000039546,Ajap1,0.22920583,0.588495739,0.45737519,0.498853243,0.714322706,230959,Ajap1,0.22920583,FALSE
ENSMUSG00000022178,ENSMUSG00000022178,Ajuba,-0.086794714,5.88605706,0.682488623,0.408731091,0.642600572,16475,Ajuba,-0.086794714,FALSE
ENSMUSG00000026817,ENSMUSG00000026817,Ak1,0.789968817,5.351608882,18.42148834,1.77E-05,0.000388811,11636,Ak1,0.789968817,TRUE
ENSMUSG00000028792,ENSMUSG00000028792,Ak2,0.048047634,5.36013033,0.202948694,0.6523512,0.820029337,11637,Ak2,0.048047634,FALSE
ENSMUSG00000024782,ENSMUSG00000024782,Ak3,0.057290866,7.168398393,0.388147672,0.533274674,0.739472499,56248,Ak3,0.057290866,FALSE
ENSMUSG00000028527,ENSMUSG00000028527,Ak4,0.325755648,2.283401903,1.556780943,0.212137175,0.439547207,11639,Ak4,0.325755648,FALSE
ENSMUSG00000039058,ENSMUSG00000039058,Ak5,-0.044637902,0.711956792,0.01766059,0.894277882,0.94952306,229949,Ak5,-0.044637902,FALSE
ENSMUSG00000078941,ENSMUSG00000078941,Ak6,-0.231258204,4.184241361,2.430181882,0.119019088,0.308305043,108143,Ak6,-0.231258204,FALSE
