"gene1","gene2","correlation","module1","module2"
"ENSMUSG00000061816","ENSMUSG00000020722",0.505445600540747,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000018862",0.610339910841071,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000033765",0.684657639252537,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000021506",0.534849076933417,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000059668",0.583986501768564,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000090356",0.674171494873775,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000034362",0.54453762809694,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000062713",0.567153199868514,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000002500",0.538317577463578,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000092586",0.573749736726134,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000039269",0.663908864558274,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000025431",0.572582428596196,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000040694",0.552577975641121,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000059898",0.501403551426196,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000044322",0.69862991311198,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000069441",0.562231849665158,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000061928",0.56420031238508,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000056632",0.534516340860489,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000071858",0.707309682885051,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000024471",0.612836599266375,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000069372",0.601211896984555,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000049173",0.53934781954218,"brown","brown"
"ENSMUSG00000061816","ENSMUSG00000006457",0.649154141291674,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000059956",0.668773880449435,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000044594",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000073602",0.715551125943629,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000073601",0.712583941191955,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000026327",0.599379698892765,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000026413",0.694029962232437,"brown","brown"
"ENSMUSG00000050296","ENSMUSG00000026407",0.640310204803016,"brown","brown"
