"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name","EntrezID"
"ENSMUSG00000020288","green",750,734,448,335,365,288,738,432,907,237,297,296,1004,454,1014,"Ahsa2","268390"
"ENSMUSG00000020363","green",375,295,213,216,150,237,464,247,383,158,209,187,451,227,519,"Gfpt2","14584"
"ENSMUSG00000018906","green",1491,1385,1270,1129,1131,824,1965,1223,1524,944,1160,1246,1914,1365,1990,"P4ha2","18452"
"ENSMUSG00000083899","green",102,93,64,48,42,47,80,68,130,38,26,50,161,77,106,"Gm12346","544800"
"ENSMUSG00000054517","green",869,663,505,560,559,558,1114,630,1117,450,456,487,1062,754,1168,"Trim65","338364"
"ENSMUSG00000058672","green",1474,1325,1176,974,1113,803,1869,1455,1820,994,1120,1223,2425,1482,2146,"Tubb2a","22151"
"ENSMUSG00000021411","green",4452,3578,3911,2634,2835,3093,6073,3302,4827,2019,2444,2743,5660,3901,5725,"Pxdc1","66895"
"ENSMUSG00000037933","green",3751,2998,2446,2794,2523,2167,4894,2950,4201,2326,2377,2565,4944,2797,4702,"Bicd2","76895"
"ENSMUSG00000056749","green",404,376,360,255,204,162,340,300,360,121,203,241,606,286,371,"Nfil3","18030"
"ENSMUSG00000014905","green",1992,1691,1470,1365,1438,1241,2439,1568,2385,1315,1302,1272,2768,1820,2522,"Dnajb9","27362"
"ENSMUSG00000059970","green",833,779,792,620,723,550,1275,788,1049,653,625,813,1509,1005,1361,"Hspa2","15512"
"ENSMUSG00000021037","green",2155,2054,1550,1319,1298,1213,2396,1563,2457,1193,1113,1251,3196,1707,2802,"Ahsa1","217737"
"ENSMUSG00000021270","green",16608,14908,10590,6518,7029,6567,12739,8570,18448,6011,5627,6570,24246,10045,17692,"Hsp90aa1","15519"
"ENSMUSG00000022206","green",6150,3851,2954,1891,1724,2612,5391,4330,5202,1228,1324,1252,5984,1908,4799,"Npr3","18162"
"ENSMUSG00000068522","green",439,349,394,336,302,295,589,353,594,360,262,291,709,320,634,"Aard","239435"
"ENSMUSG00000022403","green",3947,3530,3003,2795,2888,2279,4301,2848,4617,2753,2527,2882,5572,3869,5359,"St13","70356"
"ENSMUSG00000023272","green",1155,1151,1005,715,757,607,1213,867,1117,701,650,727,1672,929,1643,"Creld2","76737"
"ENSMUSG00000008393","green",2898,2502,2386,2436,2230,2062,4184,2507,3409,1993,2015,1986,4294,2480,3714,"Carhsp1","52502"
"ENSMUSG00000022769","green",716,614,544,291,398,271,575,527,664,456,440,435,1095,645,878,"Sdf2l1","64136"
"ENSMUSG00000047714","green",5133,4819,4962,4950,3949,4136,7792,5703,7173,4228,4823,4190,9081,5891,7556,"Ppp1r2","66849"
"ENSMUSG00000089774","green",497,444,233,230,247,243,502,310,706,208,229,270,805,427,846,"Slc5a3","53881"
"ENSMUSG00000090877","green",3762,5382,2554,339,874,970,1626,1950,6627,172,236,263,9138,1519,3998,"Hspa1b","15511"
"ENSMUSG00000091971","green",2196,2939,1640,205,550,668,1161,1163,3868,150,157,201,5263,1049,2594,"Hspa1a","193740"
"ENSMUSG00000023944","green",42799,38388,26906,20876,23348,20691,37109,25846,44484,18269,18310,21405,57324,31130,46973,"Hsp90ab1","15516"
"ENSMUSG00000019487","green",1918,1740,1587,1543,1582,1375,2643,1404,2094,1174,1246,1219,2447,1476,2461,"Trip10","106628"
"ENSMUSG00000024966","green",3683,3391,2489,1527,1758,1601,3101,2084,3944,1540,1482,1637,5382,2441,4022,"Stip1","20867"
