"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name"
"ENSMUSG00000028970","turquoise",167,115,102,177,123,158,302,232,292,187,221,239,309,290,377,"Abcb1b"
"ENSMUSG00000028977","blue",2914,2375,2018,2944,2453,1772,4216,1628,2758,1821,1995,1786,2844,1534,2806,"Casz1"
"ENSMUSG00000028978","turquoise",507,501,418,384,421,263,716,652,607,393,509,623,800,741,837,"Nos3"
"ENSMUSG00000028989","turquoise",76,47,101,50,62,72,154,191,119,105,127,102,95,152,177,"Angptl7"
"ENSMUSG00000028996","turquoise",7,15,23,16,6,5,11,37,19,14,31,42,47,67,51,"Rbp7"
"ENSMUSG00000029019","grey",13,20,12,28,9,58,32,8,165,18,8,99,62,25,133,"Nppb"
"ENSMUSG00000029086","turquoise",819,691,609,761,713,699,1628,1203,1527,1247,1159,1151,1766,1374,1662,"Prom1"
"ENSMUSG00000029090","blue",1727,1614,1244,1638,1239,1263,2818,1216,1943,1188,1123,1045,2323,1229,1997,"Adgra3"
"ENSMUSG00000029092","turquoise",1,2,0,1,1,0,0,14,2,4,14,14,15,16,17,"D5Ertd615e"
"ENSMUSG00000029093","turquoise",998,968,1020,1365,1803,1034,1872,1442,1655,1526,1515,2033,1739,2015,2031,"Sorcs2"
"ENSMUSG00000029096","blue",424,397,412,503,268,347,579,274,403,244,232,244,450,242,515,"Htra3"
"ENSMUSG00000029103","turquoise",2695,2313,2699,2892,2731,2579,5054,3735,3956,3179,3403,4146,4607,4497,4989,"Lrpap1"
"ENSMUSG00000029108","turquoise",285,187,158,271,173,270,431,289,398,337,247,406,342,315,520,"Pcdh7"
"ENSMUSG00000029119","turquoise",1439,1382,1442,1892,1951,1672,3181,2138,2368,2330,2091,2572,2671,2798,3247,"Man2b2"
"ENSMUSG00000029135","turquoise",2609,2165,2035,2360,2505,3258,5952,3966,3980,1928,2597,5049,4419,5035,6386,"Fosl2"
"ENSMUSG00000029168","blue",488,348,304,481,332,332,809,301,462,291,284,199,490,234,516,"Dpysl5"
"ENSMUSG00000029174","turquoise",732,665,585,814,753,750,1459,1170,1162,1098,1164,1182,1381,1496,1594,"Tbc1d1"
"ENSMUSG00000029189","turquoise",105,93,121,107,199,93,157,200,97,175,147,263,165,259,156,"Sel1l3"
"ENSMUSG00000029231","blue",5357,3862,2868,5183,3112,3269,7270,3278,4668,3092,3519,3118,5697,3731,4783,"Pdgfra"
"ENSMUSG00000029238","blue",2724,2207,1537,2267,1505,1425,3229,1920,2980,1508,1729,1651,3441,1940,2580,"Clock"
"ENSMUSG00000029273","blue",569,471,478,531,409,452,1303,500,786,428,437,320,855,447,899,"Sult1d1"
"ENSMUSG00000029287","blue",2096,1827,1613,2517,1765,2002,4033,1597,2313,1644,1534,1471,2348,1797,2876,"Tgfbr3"
"ENSMUSG00000029298","blue",2033,1922,1384,2526,1737,1933,3922,1992,2959,1643,1633,1495,2197,1535,2754,"Gbp9"
"ENSMUSG00000029304","turquoise",1685,1433,2169,2141,4233,1873,2644,13678,2959,9803,7710,24237,7426,18329,9411,"Spp1"
"ENSMUSG00000029306","turquoise",0,0,1,1,1,0,3,3,0,4,0,159,6,65,2,"Ibsp"
"ENSMUSG00000029307","turquoise",1,2,0,2,0,0,0,3,1,5,0,49,3,7,1,"Dmp1"
"ENSMUSG00000029321","grey",616,466,471,326,282,470,930,458,667,274,404,374,752,674,809,"Slc10a6"
"ENSMUSG00000029334","blue",397,416,354,467,258,269,608,323,434,227,277,154,521,272,454,"Prkg2"
"ENSMUSG00000029361","brown",6,9,3,14,3,93,26,9,27,11,14,26,11,11,30,"Nos1"
"ENSMUSG00000029371","blue",271,93,68,53,45,20,111,61,60,33,36,37,177,19,66,"Cxcl5"
"ENSMUSG00000029373","turquoise",160,191,225,354,335,130,436,291,379,287,317,316,451,406,502,"Pf4"
"ENSMUSG00000029378","grey",252,169,166,85,220,249,255,220,280,165,134,271,256,184,414,"Mcub"
"ENSMUSG00000029380","grey",80,57,66,53,102,30,80,103,85,112,42,52,208,59,156,"Cxcl1"
"ENSMUSG00000029401","turquoise",289,255,310,342,345,267,563,536,449,428,395,563,613,641,596,"Rilpl2"
"ENSMUSG00000029417","turquoise",28,48,38,30,24,31,80,154,124,95,115,105,79,100,92,"Cxcl9"
"ENSMUSG00000029455","blue",22831,19906,22940,23655,20405,19414,38045,18573,24106,15706,16693,15372,29074,19322,26803,"Aldh2"
"ENSMUSG00000029467","grey",13173,11708,8663,12762,9227,10978,19653,10146,17103,9377,9034,11577,15720,10758,22129,"Atp2a2"
"ENSMUSG00000029482","grey",708,781,782,619,748,626,1287,742,1141,761,677,825,1604,1012,1085,"Aacs"
"ENSMUSG00000029561","turquoise",876,518,546,805,642,593,1583,973,882,879,835,980,999,939,1512,"Oasl2"
"ENSMUSG00000029581","turquoise",593,559,432,590,595,566,1126,1627,1305,1330,1375,1713,1889,2097,2147,"Fscn1"
"ENSMUSG00000029602","turquoise",7,10,8,20,15,32,26,39,20,41,21,70,18,48,46,"Rasal1"
"ENSMUSG00000029608","turquoise",1,0,0,2,3,0,7,36,6,39,28,53,24,63,27,"Rph3a"
"ENSMUSG00000029622","turquoise",4536,3740,5293,4840,5110,4454,8329,5994,6064,5440,5439,6099,7813,7611,7890,"Arpc1b"
"ENSMUSG00000029641","blue",549,513,629,599,459,376,782,496,620,294,445,331,792,489,563,"Rasl11a"
"ENSMUSG00000029661","turquoise",7556,6822,4952,7259,6374,7094,11405,11239,12293,11321,10662,14367,13191,14230,16004,"Col1a2"
"ENSMUSG00000029683","brown",198,200,175,288,183,362,454,196,382,195,185,231,266,183,501,"Lmod2"
"ENSMUSG00000029714","grey",1553,1300,1166,1985,1831,1482,3222,1273,1655,1204,1569,1584,1661,1353,2340,"Gigyf1"
"ENSMUSG00000029762","turquoise",451,378,439,533,564,561,934,920,924,838,789,937,1009,1003,956,"Akr1b8"
"ENSMUSG00000029763","turquoise",1358,1146,986,1406,1346,1113,2328,1742,2209,1873,1746,2042,2415,2065,2812,"Exoc4"
"ENSMUSG00000029772","blue",3581,3111,3101,2675,2566,1865,3983,1997,3210,1674,1864,1857,3866,2184,2678,"Ahcyl2"
"ENSMUSG00000029802","turquoise",353,321,458,598,454,525,1171,645,618,637,756,911,759,1121,1043,"Abcg2"
"ENSMUSG00000029810","turquoise",6240,4850,5714,6103,6156,5522,11630,8623,9518,8461,7777,9108,11469,10323,12789,"Tmem176b"
"ENSMUSG00000029811","turquoise",21,19,35,42,33,45,114,165,150,169,134,194,185,190,247,"Aoc1"
"ENSMUSG00000029816","turquoise",1643,1332,1572,1601,2085,1768,2947,9644,3243,7803,6613,13199,6495,12753,6481,"Gpnmb"
"ENSMUSG00000029819","turquoise",6,7,9,11,7,14,22,175,27,103,78,276,88,187,88,"Npy"
"ENSMUSG00000029859","blue",504,441,449,611,668,636,1021,351,589,488,420,343,591,477,755,"Epha1"
"ENSMUSG00000029864","blue",723,590,715,768,625,625,1139,439,690,479,479,443,790,550,781,"Gstk1"
"ENSMUSG00000029868","grey",27,50,103,116,162,47,103,107,109,68,95,94,74,115,103,"Trpv6"
"ENSMUSG00000029875","turquoise",82,99,88,78,47,42,165,156,260,81,150,85,348,131,185,"Ccdc184"
"ENSMUSG00000029915","turquoise",81,86,109,131,139,112,189,235,141,239,200,288,232,287,241,"Clec5a"
"ENSMUSG00000029919","turquoise",73,53,66,125,79,84,165,221,219,278,263,372,195,348,369,"Hpgds"
"ENSMUSG00000029925","turquoise",237,220,225,318,290,269,478,409,380,498,568,645,474,723,615,"Tbxas1"
"ENSMUSG00000030000","turquoise",72,72,62,140,80,71,252,194,276,213,264,243,315,307,432,"Add2"
"ENSMUSG00000030017","turquoise",564,468,415,318,407,371,800,1043,1585,862,831,840,2679,834,1786,"Reg3g"
"ENSMUSG00000030022","turquoise",1625,1461,884,1084,1265,878,1593,2198,2348,1182,1736,1306,2459,2151,3029,"Adamts9"
"ENSMUSG00000030041","grey",84,42,23,34,67,48,107,17,26,54,36,78,53,39,26,"M1ap"
"ENSMUSG00000030046","turquoise",0,0,0,0,0,0,0,1,45,1,0,0,0,3,0,"Bmp10"
"ENSMUSG00000030047","turquoise",392,344,409,549,463,503,965,714,561,723,636,896,837,1080,950,"Arhgap25"
"ENSMUSG00000030067","blue",4655,3566,3305,4044,3933,2845,5428,2258,3491,2887,2718,2802,4357,2680,4279,"Foxp1"
"ENSMUSG00000030074","turquoise",108,89,42,75,60,78,169,131,206,111,121,160,196,175,215,"Gxylt2"
"ENSMUSG00000030077","turquoise",28,30,24,19,21,100,60,130,79,122,69,190,88,97,145,"Chl1"
"ENSMUSG00000030087","blue",884,887,886,656,633,710,1390,670,1095,417,757,504,1430,1067,1124,"Klf15"
"ENSMUSG00000030091","grey",995,839,766,1544,1367,1171,2155,866,994,1055,964,920,1085,1055,1456,"Nup210"
"ENSMUSG00000030096","turquoise",4719,4481,3983,7599,7477,5869,11506,7319,8397,9606,9725,11284,9129,12127,12769,"Slc6a6"
"ENSMUSG00000030103","turquoise",1244,1258,1370,1566,2053,1648,3167,2181,2411,2435,2120,2732,2913,3081,3975,"Bhlhe40"
"ENSMUSG00000030104","turquoise",2142,2019,1524,1827,1794,1615,3227,2568,2906,2261,2031,2472,3518,2842,3789,"Edem1"
"ENSMUSG00000030111","turquoise",1,0,3,158,1,0,23,8,2,13,148,155,3,6,770,"A2m"
"ENSMUSG00000030116","turquoise",195,157,187,203,221,214,329,343,331,338,320,607,416,615,524,"Mfap5"
"ENSMUSG00000030123","turquoise",4254,4001,3173,5486,4354,3627,7503,5318,5472,5191,5440,6439,7833,7338,8339,"Plxnd1"
"ENSMUSG00000030134","blue",2564,2141,1889,2658,2113,1635,3339,1024,1929,1368,1366,1203,2230,1175,2379,"Rasgef1a"
"ENSMUSG00000030137","brown",293,199,230,261,202,416,398,214,191,184,203,241,301,222,239,"Tuba8"
"ENSMUSG00000030144","turquoise",46,31,95,52,49,40,169,204,85,148,167,219,178,278,191,"Clec4d"
