"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name","EntrezID"
"ENSMUSG00000030413","yellow",178,191,318,287,378,184,409,185,243,213,180,176,289,192,276,"Pglyrp1","21946"
"ENSMUSG00000040564","yellow",253,230,394,357,630,202,397,269,337,201,270,251,360,375,361,"Apoc1","11812"
"ENSMUSG00000052212","yellow",160,1154,2720,2011,4460,141,643,610,1201,474,296,387,837,309,601,"Cd177","68891"
"ENSMUSG00000054169","yellow",2,35,54,72,136,4,11,13,28,19,11,19,7,8,14,"Ceacam10","26366"
"ENSMUSG00000001249","yellow",328,348,569,541,777,397,743,385,510,445,408,484,502,471,583,"Hpn","15451"
"ENSMUSG00000034957","yellow",3091,3419,4723,4533,6321,3261,5316,3014,4461,3161,3168,3185,5011,4554,4318,"Cebpa","12606"
"ENSMUSG00000030494","yellow",691,614,757,843,794,586,1224,435,754,459,552,457,778,531,852,"Rhpn2","52428"
"ENSMUSG00000054046","yellow",51,92,173,176,297,120,83,65,95,71,76,107,83,88,114,"Klk13","626834"
"ENSMUSG00000062785","yellow",959,1551,1369,1935,2734,975,1967,1267,1581,1456,1722,1725,1514,1540,2000,"Kcnc3","16504"
"ENSMUSG00000074129","yellow",2904,2383,3978,3515,3415,2974,5242,2845,3489,2411,2660,2704,4179,2941,4508,"Rpl13a","22121"
"ENSMUSG00000055978","yellow",22,35,68,77,148,35,61,40,53,48,59,47,50,37,46,"Fut2","14344"
"ENSMUSG00000040364","yellow",91,115,172,171,278,109,152,55,84,80,52,102,92,78,106,"Sec1","56546"
"ENSMUSG00000070564","yellow",47,72,91,97,142,79,103,37,70,44,47,47,60,52,57,"Ntn5","243967"
"ENSMUSG00000030513","yellow",625,619,770,995,1373,660,1160,585,932,590,524,578,873,624,921,"Pcsk6","18553"
"ENSMUSG00000039202","yellow",8673,8151,8544,11121,13852,7704,14499,7938,11921,7651,7988,8639,11378,9521,11543,"Abhd2","54608"
"ENSMUSG00000030688","yellow",1624,1512,2066,2131,2144,1720,3029,1410,2212,1508,1358,1543,2287,1739,2417,"Stard10","56018"
"ENSMUSG00000108481","yellow",250,268,184,279,346,220,363,176,247,173,186,187,243,244,224,"Gm33248","102636076"
"ENSMUSG00000030849","yellow",3077,3244,3489,5006,5567,3817,6924,3530,5031,3739,3698,4528,4729,4726,5277,"Fgfr2","14183"
"ENSMUSG00000048200","yellow",1162,1046,1413,1588,1275,997,2171,857,1321,877,940,966,1409,1045,1600,"Cracr2b","213573"
"ENSMUSG00000040653","yellow",1418,1427,1560,1608,1702,1329,2147,1055,1675,965,1048,1181,1780,1421,1577,"Ppp1r14c","76142"
