"gene1","module1","X88","X89","X90","X92","X93","X94","X97","X99","X101","X103","X104","X105","X108","X109","X110","Gene.name","EntrezID"
"ENSMUSG00000049044","blue",969,842,942,1119,867,729,1808,604,1050,760,758,664,1112,815,1465,"Rapgef4","56508"
"ENSMUSG00000059588","blue",29384,26777,22651,31896,23865,20160,43149,13269,25578,17131,14832,13695,29937,13160,28154,"Calcrl","54598"
"ENSMUSG00000027074","blue",5970,5454,5448,6755,4877,5079,10829,4313,5865,3731,4251,3534,6961,4312,7663,"Slc43a3","58207"
"ENSMUSG00000044338","blue",1936,1669,1820,2918,1887,1820,3275,1216,1668,1836,1583,1782,2627,1750,2316,"Aplnr","23796"
"ENSMUSG00000027221","blue",845,817,766,1164,646,686,1658,752,1398,807,728,637,1361,648,1281,"Chst1","76969"
"ENSMUSG00000027217","blue",3580,3169,2743,4433,2830,2548,5237,1815,2950,1859,1824,1829,3385,1594,3647,"Tspan18","241556"
"ENSMUSG00000087006","blue",741,642,617,780,433,427,799,623,602,436,463,515,1187,491,657,"Gm13889","620695"
"ENSMUSG00000074971","blue",810,512,810,651,519,641,1553,519,720,488,485,356,811,546,954,"Fibin","67606"
"ENSMUSG00000041644","blue",150,69,64,86,73,67,191,49,91,41,54,31,96,33,112,"Slc5a12","241612"
"ENSMUSG00000027314","blue",2746,2564,3072,3832,2678,2819,5761,2433,3331,1939,2173,2168,4077,1993,3830,"Dll4","54485"
"ENSMUSG00000027293","blue",13021,11787,14452,20175,13550,12991,28234,10507,15851,12389,12724,11572,18524,11313,18443,"Ehd4","98878"
"ENSMUSG00000027380","blue",534,465,563,601,422,369,642,136,351,103,123,89,370,143,338,"Acoxl","74121"
"ENSMUSG00000074793","blue",2515,2069,1930,1697,1648,1031,2897,1694,2380,1434,1629,1482,2977,1646,2648,"Hspa12b","72630"
"ENSMUSG00000037014","blue",48,55,33,77,70,37,83,6,13,15,14,14,25,8,22,"Sstr4","20608"
"ENSMUSG00000074743","blue",20860,17774,16762,19408,17030,14280,31079,10820,17883,12497,11923,10690,22651,12293,22621,"Thbd","21824"
"ENSMUSG00000027442","blue",41,30,24,37,31,20,43,5,10,6,8,3,9,3,11,"Cst8","13012"
"ENSMUSG00000027463","blue",671,563,562,682,623,659,1123,367,677,553,515,463,764,549,737,"Slc52a3","69698"
"ENSMUSG00000027483","blue",8679,5998,6117,7903,3643,6492,14528,4739,8754,4529,4357,4667,6622,4374,9549,"Bpifa1","18843"
"ENSMUSG00000037754","blue",8190,7938,5675,10034,7523,6219,13459,5137,8508,5700,5294,5102,9202,5119,9507,"Ppp1r16b","228852"
"ENSMUSG00000078956","blue",172,183,204,300,150,135,195,137,165,65,81,108,137,102,186,"Gm14221","105244348"
"ENSMUSG00000074607","blue",1113,846,715,1132,669,760,1602,676,859,495,564,413,938,472,971,"Tox2","269389"
"ENSMUSG00000018209","blue",3354,2823,2273,3892,3163,2848,5625,2141,3179,2350,2059,2304,3555,2359,3295,"Stk4","58231"
"ENSMUSG00000017754","blue",9028,6785,7345,9971,7447,7026,13870,5734,7724,6202,5797,5903,9640,6288,10150,"Pltp","18830"
"ENSMUSG00000017737","blue",182,124,354,314,226,216,772,166,247,258,192,203,285,180,380,"Mmp9","17395"
"ENSMUSG00000027513","blue",566,301,375,798,181,506,1215,252,963,313,178,292,699,334,767,"Pck1","18534"
"ENSMUSG00000078866","blue",576,585,388,601,554,610,1174,457,549,487,499,370,799,498,900,"Zfp970","628308"
"ENSMUSG00000058254","blue",13095,10334,11325,14790,9719,10672,20495,6626,10773,5986,5515,4435,12715,4685,11189,"Tspan7","21912"
"ENSMUSG00000036782","blue",427,423,437,408,351,304,559,288,486,235,231,212,565,236,394,"Klhl13","67455"
"ENSMUSG00000016239","blue",419,282,150,310,204,212,475,214,295,175,210,196,397,221,265,"Lonrf3","74365"
