gene1	module1	X88	X89	X90	X92	X93	X94	X97	X99	X101	X103	X104	X105	X108	X109	X110	Gene.name	EntrezID
ENSMUSG00000041757	turquoise	1256	1118	827	1636	1819	1455	2608	1502	1886	1684	1668	1615	1933	1674	2452	Plekha6	240753
ENSMUSG00000051998	turquoise	75	102	77	174	119	140	366	272	196	216	192	172	178	118	343	Lax1	240754
ENSMUSG00000041559	turquoise	432	350	331	342	348	370	589	731	576	534	568	774	788	693	624	Fmod	14264
ENSMUSG00000042429	turquoise	155	157	241	335	382	168	415	231	362	242	277	416	332	336	339	Adora1	11539
ENSMUSG00000073557	turquoise	2399	2030	1430	2628	2213	2478	4654	2906	3932	2496	2614	2739	3909	3324	4831	Ppp1r12b	329251
ENSMUSG00000097993	turquoise	54	53	44	83	72	69	190	115	142	124	145	162	158	140	201	Ptprv	13924
ENSMUSG00000031506	turquoise	172	157	181	228	178	225	381	324	306	297	309	351	339	364	372	Ptpn7	320139
ENSMUSG00000041801	turquoise	1223	995	1084	967	910	977	1948	1981	2361	1710	1629	1777	2773	2210	2984	Phlda3	27280
ENSMUSG00000026398	turquoise	19	26	40	70	45	48	72	106	45	123	106	166	97	229	169	Nr5a2	26424
ENSMUSG00000033849	turquoise	81	41	19	68	25	59	107	75	134	65	41	80	137	53	152	B3galt2	26878
ENSMUSG00000026360	turquoise	867	715	922	1510	1001	870	1595	1062	1135	1825	1582	1630	1293	1546	1628	Rgs2	19735
ENSMUSG00000026358	turquoise	46	43	43	94	61	88	180	260	125	257	217	425	196	318	211	Rgs1	50778
ENSMUSG00000026480	turquoise	648	509	748	781	712	693	1379	912	905	989	938	945	1106	1417	1103	Ncf2	17970
ENSMUSG00000026478	turquoise	5839	5009	4155	5769	4894	4487	9999	7132	7909	6121	6858	7184	9334	8938	11019	Lamc1	226519
ENSMUSG00000026475	turquoise	69	77	74	75	122	93	175	192	119	218	200	333	219	235	437	Rgs16	19734
ENSMUSG00000026471	turquoise	698	681	655	1123	838	947	1759	1022	1329	1144	1071	1209	1325	1285	1548	Mr1	15064
ENSMUSG00000026600	turquoise	2710	2539	2525	3033	3445	2332	4456	3257	3625	3160	3018	4197	4166	4894	4852	Soat1	20652
ENSMUSG00000073530	turquoise	67	48	33	51	33	56	135	281	266	321	260	456	226	387	401	Pappa2	23850
ENSMUSG00000040265	turquoise	230	222	243	289	276	222	542	361	403	428	460	409	500	518	652	Dnm3	103967
ENSMUSG00000026586	turquoise	338	289	225	376	278	407	653	421	651	463	436	594	585	566	790	Prrx1	18933
ENSMUSG00000026582	turquoise	30	31	24	19	12	22	47	140	51	111	111	226	94	223	267	Sele	20339
ENSMUSG00000026580	turquoise	67	62	65	74	54	61	140	201	110	181	158	373	231	222	307	Selp	20344
ENSMUSG00000026574	turquoise	2729	2339	2264	2532	2124	2638	4566	3343	4185	2987	2903	2759	4943	3846	5181	Dpt	56429
ENSMUSG00000040713	turquoise	2727	2125	2466	2867	2508	2485	4967	3897	3869	3550	3598	4009	4692	5248	4547	Creg1	433375
ENSMUSG00000040612	turquoise	332	278	211	318	314	323	686	1029	915	1030	902	1186	856	1080	1057	Ildr2	100039795
ENSMUSG00000026678	turquoise	373	467	449	594	687	636	1026	1014	1689	1006	1208	2203	1105	1690	1843	Rgs5	19737
ENSMUSG00000026675	turquoise	198	234	209	244	219	215	458	379	348	369	319	408	584	448	463	Hsd17b7	15490
ENSMUSG00000026656	turquoise	436	273	235	305	325	349	766	819	791	723	644	825	975	860	1175	Fcgr2b	14130
ENSMUSG00000059089	turquoise	124	82	126	157	126	136	222	226	161	210	203	379	216	461	267	Fcgr4	246256
ENSMUSG00000059498	turquoise	576	505	620	525	570	525	959	1092	984	951	855	1212	1254	1531	1343	Fcgr3	14131
ENSMUSG00000038370	turquoise	1238	1034	1247	1358	1168	1166	2632	1527	2092	1659	1622	1738	2618	1990	2898	Pcp4l1	66425
ENSMUSG00000058715	turquoise	515	360	495	416	504	470	904	824	636	837	776	798	935	1136	975	Fcer1g	14127
ENSMUSG00000006403	turquoise	63	35	35	33	59	14	33	127	71	60	74	104	145	115	88	Adamts4	240913
ENSMUSG00000038209	turquoise	53	55	50	72	78	98	131	240	359	294	298	217	665	188	529	Itln1	16429
ENSMUSG00000004707	turquoise	145	133	127	194	177	190	341	325	219	350	319	402	294	429	364	Ly9	17085
ENSMUSG00000038179	turquoise	114	111	76	149	104	132	266	287	268	289	272	311	255	279	306	Slamf7	75345
ENSMUSG00000038147	turquoise	732	556	681	915	905	863	1651	1412	1139	1597	1596	1633	1614	2408	1790	Cd84	12523
ENSMUSG00000044708	turquoise	24	41	29	34	22	47	60	89	70	67	88	103	83	88	122	Kcnj10	16513
ENSMUSG00000005339	turquoise	14	11	11	6	10	5	42	112	64	104	112	75	84	136	140	Fcer1a	14125
ENSMUSG00000037872	turquoise	9	7	6	16	8	18	29	33	21	38	50	61	34	62	42	Ackr1	13349
ENSMUSG00000037860	turquoise	139	121	100	224	178	182	293	216	160	236	234	252	189	228	269	Aim2	383619
ENSMUSG00000073490	turquoise	200	123	116	189	153	139	333	244	233	281	284	349	272	310	381	Ifi207	226691
ENSMUSG00000026535	turquoise	169	90	125	145	89	98	223	221	223	233	224	248	259	269	348	Ifi202b	26388
ENSMUSG00000038776	turquoise	3095	2472	2750	3690	3535	3587	7102	4353	5486	4401	4325	4524	5871	4996	7712	Ephx1	13849
ENSMUSG00000026620	turquoise	244	206	149	201	208	205	386	288	414	280	278	415	441	357	464	Mark1	226778
ENSMUSG00000039239	turquoise	924	800	914	1500	1152	1063	2728	1377	2211	1606	1692	1911	2040	1814	2475	Tgfb2	21808
ENSMUSG00000026628	turquoise	362	405	442	339	503	467	814	642	498	459	430	661	607	724	844	Atf3	11910
ENSMUSG00000026623	turquoise	3070	2644	2185	3801	2919	2970	6508	4033	5372	4060	3725	4014	5361	4821	6322	Lpgat1	226856
ENSMUSG00000016200	turquoise	65	75	60	159	138	95	379	198	265	197	185	184	204	189	324	Syt14	329324
ENSMUSG00000026639	turquoise	3012	2562	3262	3555	4219	2941	4819	3733	4367	3424	3641	4657	4710	4737	4522	Lamb3	16780
ENSMUSG00000016494	turquoise	3247	2946	2890	3979	3585	3494	7660	6519	7927	6426	6876	7064	8411	8598	10166	Cd34	12490
ENSMUSG00000039145	turquoise	610	427	373	652	496	591	1091	692	822	803	700	807	880	830	1070	Camk1d	227541
ENSMUSG00000025780	turquoise	361	364	340	475	307	527	741	465	545	501	521	609	672	877	917	Itih5	209378
ENSMUSG00000026728	turquoise	19413	16685	17072	19591	18934	18428	36328	24081	28980	26179	25609	27717	33406	34282	37624	Vim	22352
ENSMUSG00000026712	turquoise	2902	2447	2532	3194	3329	3089	5328	3889	4139	4535	4074	4749	4840	6610	6048	Mrc1	17533
ENSMUSG00000026786	turquoise	566	507	524	789	745	738	1327	737	762	1013	935	904	950	1166	1059	Apbb1ip	54519
ENSMUSG00000026981	turquoise	189	154	190	204	219	194	370	462	222	378	303	579	384	566	398	Il1rn	16181
ENSMUSG00000036833	turquoise	545	465	545	758	686	647	1179	847	810	989	886	1036	884	1316	1230	Pnpla7	241274
ENSMUSG00000026958	turquoise	621	475	614	683	700	543	1105	782	828	738	781	996	964	1147	1260	Dpp7	83768
ENSMUSG00000026956	turquoise	607	580	836	903	777	686	1385	969	1144	984	877	1142	1262	1159	1238	Uap1l1	227620
ENSMUSG00000036040	turquoise	1042	1145	1022	917	636	566	1493	1578	1531	972	1754	1707	2104	2370	2218	Adamtsl2	77794
ENSMUSG00000026837	turquoise	1315	1151	816	1218	768	853	1654	1241	1468	1002	1139	1434	1750	1263	1755	Col5a1	12831
ENSMUSG00000026785	turquoise	522	582	459	517	539	320	889	719	737	553	806	794	1002	868	1300	Pkn3	263803
ENSMUSG00000026840	turquoise	535	426	345	527	385	385	859	645	790	644	722	610	802	817	995	Lamc3	23928
ENSMUSG00000026822	turquoise	1196	2094	4206	2651	5595	1433	3455	4364	3299	4266	3487	5616	4060	6395	4840	Lcn2	16819
ENSMUSG00000026817	turquoise	494	507	517	651	690	832	1005	868	1081	919	760	1237	1159	1082	1430	Ak1	11636
ENSMUSG00000004105	turquoise	1132	1056	887	1759	1539	1838	3403	1447	1934	2059	1746	1879	1936	1787	2809	Angptl2	26360
ENSMUSG00000047250	turquoise	1367	1329	1700	1789	2135	1450	2769	2088	2118	2145	2356	2582	2582	2864	2846	Ptgs1	19224
ENSMUSG00000026749	turquoise	839	792	863	918	1265	819	1334	1166	1280	1000	1070	1301	1642	1533	1473	Nek6	59126
ENSMUSG00000026866	turquoise	84	61	77	100	75	85	149	138	83	142	154	191	168	224	169	Kynu	70789
ENSMUSG00000060703	turquoise	837	649	849	855	875	805	1580	1115	1292	1084	1107	1118	1516	1494	1558	Cd302	66205
ENSMUSG00000026980	turquoise	816	653	580	1033	1101	852	1595	1202	1205	1408	1400	1619	1283	2284	1785	Ly75	17076
ENSMUSG00000086196	turquoise	7	3	4	3	8	4	7	24	5	23	24	34	15	36	18	Gm13571	102636093
ENSMUSG00000026971	turquoise	905	901	920	1297	942	771	1739	1503	1616	1121	1295	1591	2015	1593	2058	Itgb6	16420
ENSMUSG00000027068	turquoise	70	53	72	54	49	65	175	135	115	147	104	165	196	166	158	Dhrs9	241452
ENSMUSG00000027070	turquoise	2751	2850	2331	3133	4072	2301	4199	3153	3461	3739	3264	4758	4382	4663	5159	Lrp2	14725
ENSMUSG00000027102	turquoise	13	9	8	15	6	24	20	55	35	58	69	78	74	166	115	Hoxd8	15437
ENSMUSG00000054510	turquoise	0	0	1	3	0	1	3	20	5	16	2	24	11	24	16	Gm14461	329436
ENSMUSG00000027004	turquoise	15	14	18	21	27	29	30	65	79	69	41	148	66	76	84	Frzb	20378
ENSMUSG00000023224	turquoise	5609	4727	4468	5742	4301	5232	10445	6857	8823	6746	6458	6979	9717	8207	10539	Serping1	12258
ENSMUSG00000002111	turquoise	684	595	870	847	848	714	1363	900	846	1042	979	1036	1231	1374	1285	Spi1	20375
ENSMUSG00000027239	turquoise	100	87	98	100	83	65	179	243	211	210	212	259	248	288	261	Mdk	17242
ENSMUSG00000027220	turquoise	11	38	74	29	105	17	44	102	91	74	56	100	71	64	77	Syt13	80976
ENSMUSG00000075012	turquoise	303	358	672	775	686	382	1137	700	828	708	847	869	857	766	925	Fjx1	14221
ENSMUSG00000005087	turquoise	4115	3372	3870	4266	4864	3826	6989	4637	5810	5753	5456	5423	6792	7293	7853	Cd44	12505
ENSMUSG00000032679	turquoise	326	286	313	407	403	415	555	470	621	473	591	732	657	680	932	Cd59a	12509
ENSMUSG00000068373	turquoise	88	58	50	71	78	92	147	146	138	167	101	171	127	141	174	D430041D05Rik	241589
ENSMUSG00000048482	turquoise	581	546	682	688	702	691	1630	980	1443	749	678	987	1403	1307	1935	Bdnf	12064
ENSMUSG00000074968	turquoise	12	14	9	14	16	21	32	49	59	65	46	74	52	56	88	Ano3	228432
ENSMUSG00000074934	turquoise	52	33	43	34	75	40	56	86	41	91	36	105	69	86	81	Grem1	23892
ENSMUSG00000085582	turquoise	0	0	1	0	1	1	2	7	3	5	14	8	5	31	21	3110099E03Rik	100043232
ENSMUSG00000040152	turquoise	6080	3636	2915	3517	3761	4997	7393	5968	7193	4685	5885	10716	8484	8535	14447	Thbs1	21825
ENSMUSG00000040133	turquoise	20	6	5	9	2	14	26	64	48	52	30	86	36	63	56	Gpr176	381413
ENSMUSG00000040061	turquoise	313	263	276	477	471	353	715	438	397	553	549	693	403	739	614	Plcb2	18796
ENSMUSG00000040035	turquoise	518	385	243	289	278	309	758	824	665	387	384	517	901	405	945	Disp2	214240
