ID,X,Gene.name,logFC,logCPM,LR,PValue,FDR,gene,symbol,effectsize,signif
ENSMUSG00000037104,ENSMUSG00000037104,Socs5,-0.17329152,6.041035649,3.082229584,0.079151952,0.340839016,56468,Socs5,-0.17329152,FALSE
ENSMUSG00000056153,ENSMUSG00000056153,Socs6,0.018738262,5.121804324,0.026928416,0.869653367,0.965230131,54607,Socs6,0.018738262,FALSE
ENSMUSG00000038485,ENSMUSG00000038485,Socs7,-0.01211898,5.917265615,0.015180822,0.901940427,0.974584824,192157,Socs7,-0.01211898,FALSE
ENSMUSG00000022982,ENSMUSG00000022982,Sod1,0.232082001,8.321528084,3.852538988,0.049670746,0.257991561,20655,Sod1,0.232082001,TRUE
ENSMUSG00000006818,ENSMUSG00000006818,Sod2,-0.112572847,6.668364727,1.423498541,0.232828418,0.591384867,20656,Sod2,-0.112572847,FALSE
ENSMUSG00000072941,ENSMUSG00000072941,Sod3,-0.403027242,8.299933519,11.63474121,0.000647313,0.012538244,20657,Sod3,-0.403027242,TRUE
ENSMUSG00000055485,ENSMUSG00000055485,Soga1,0.034360492,6.755459164,0.033302648,0.855198098,0.961280612,320706,Mtcl2,0.034360492,FALSE
ENSMUSG00000022961,ENSMUSG00000022961,Son,0.146419947,8.81621105,1.393678861,0.237784809,0.59650354,20658,Son,0.146419947,FALSE
ENSMUSG00000025006,ENSMUSG00000025006,Sorbs1,0.24044704,5.504113152,2.182657642,0.139573262,0.464050813,20411,Sorbs1,0.24044704,FALSE
ENSMUSG00000031626,ENSMUSG00000031626,Sorbs2,-1.214616438,4.937953119,41.15692476,1.40E-10,9.31E-08,234214,Sorbs2,-1.214616438,TRUE
ENSMUSG00000085440,ENSMUSG00000085440,Sorbs2os,-0.640871638,-0.487535688,2.098762356,0.147418424,0.477063764,319940,Sorbs2os,-0.640871638,FALSE
ENSMUSG00000022091,ENSMUSG00000022091,Sorbs3,0.343801889,7.503003845,12.3475262,0.000441571,0.009340179,20410,Sorbs3,0.343801889,TRUE
ENSMUSG00000029093,ENSMUSG00000029093,Sorcs2,-0.37597825,6.162725319,4.893394246,0.026959634,0.177863424,81840,Sorcs2,-0.37597825,TRUE
ENSMUSG00000027227,ENSMUSG00000027227,Sord,-0.914947525,5.956771572,38.90512514,4.45E-10,2.07E-07,20322,Sord,-0.914947525,TRUE
ENSMUSG00000049313,ENSMUSG00000049313,Sorl1,-0.089680019,8.302020713,0.730423532,0.39274594,0.7412318,20660,Sorl1,-0.089680019,FALSE
ENSMUSG00000068747,ENSMUSG00000068747,Sort1,-0.283091449,9.294491441,5.410982764,0.020010447,0.148753818,20661,Sort1,-0.283091449,TRUE
ENSMUSG00000024241,ENSMUSG00000024241,Sos1,-0.12165042,5.652045581,1.008547375,0.315251095,0.67377072,20662,Sos1,-0.12165042,FALSE
ENSMUSG00000034801,ENSMUSG00000034801,Sos2,0.018781409,6.36659961,0.034625272,0.852383067,0.960890237,20663,Sos2,0.018781409,FALSE
ENSMUSG00000001494,ENSMUSG00000001494,Sost,-0.847313797,-0.148828622,2.951760268,0.085784074,0.355916162,74499,Sost,-0.847313797,FALSE
ENSMUSG00000044352,ENSMUSG00000044352,Sowaha,0.417409298,1.139510087,2.34747364,0.125486227,0.441616622,237761,Sowaha,0.417409298,FALSE
ENSMUSG00000045314,ENSMUSG00000045314,Sowahb,0.492414193,3.203078937,5.428737731,0.019807992,0.147778824,78088,Sowahb,0.492414193,TRUE
ENSMUSG00000098188,ENSMUSG00000098188,Sowahc,0.082360817,5.70392892,0.504307763,0.477613419,0.798523686,268301,Sowahc,0.082360817,FALSE
ENSMUSG00000033006,ENSMUSG00000033006,Sox10,0.07379267,-0.071070729,0.017366224,0.89515754,0.973419595,20665,Sox10,0.07379267,FALSE
ENSMUSG00000063632,ENSMUSG00000063632,Sox11,0.587262012,1.623162003,4.708107239,0.030020687,0.190898792,20666,Sox11,0.587262012,TRUE
ENSMUSG00000051817,ENSMUSG00000051817,Sox12,0.207046661,4.398428421,2.388461581,0.122233866,0.435100067,20667,Sox12,0.207046661,FALSE
ENSMUSG00000070643,ENSMUSG00000070643,Sox13,0.417630858,6.337208663,8.569352364,0.003418687,0.042156475,20668,Sox13,0.417630858,TRUE
ENSMUSG00000025902,ENSMUSG00000025902,Sox17,-0.142808729,6.039389762,1.301438521,0.253950628,0.612546764,20671,Sox17,-0.142808729,FALSE
ENSMUSG00000046470,ENSMUSG00000046470,Sox18,-0.029559611,7.025636854,0.043951559,0.833943763,0.953417138,20672,Sox18,-0.029559611,FALSE
ENSMUSG00000074637,ENSMUSG00000074637,Sox2,-0.172303221,4.780711149,1.700312919,0.192247059,0.544359974,20674,Sox2,-0.172303221,FALSE
ENSMUSG00000061517,ENSMUSG00000061517,Sox21,-0.16001256,0.990932014,0.184739283,0.667331618,0.891626958,223227,Sox21,-0.16001256,FALSE
ENSMUSG00000076431,ENSMUSG00000076431,Sox4,0.41884373,5.808236861,6.681562705,0.009741518,0.090726114,20677,Sox4,0.41884373,TRUE
ENSMUSG00000041540,ENSMUSG00000041540,Sox5,0.158385506,3.5682231,0.770959397,0.379920419,0.731291659,20678,Sox5,0.158385506,FALSE
ENSMUSG00000051910,ENSMUSG00000051910,Sox6,-0.071665076,3.410123565,0.134367555,0.713945905,0.910266508,20679,Sox6,-0.071665076,FALSE
ENSMUSG00000063060,ENSMUSG00000063060,Sox7,0.165381969,6.231192771,1.326995154,0.249340487,0.608166687,20680,Sox7,0.165381969,FALSE
ENSMUSG00000024176,ENSMUSG00000024176,Sox8,0.05624992,-0.681825176,0.017278378,0.895421518,0.973522424,20681,Sox8,0.05624992,FALSE
ENSMUSG00000000567,ENSMUSG00000000567,Sox9,1.387274321,1.296172145,4.634170946,0.031341283,0.195829063,20682,Sox9,1.387274321,TRUE
ENSMUSG00000001280,ENSMUSG00000001280,Sp1,0.103443788,6.689041445,0.82358044,0.364135405,0.720455669,20683,Sp1,0.103443788,FALSE
ENSMUSG00000026222,ENSMUSG00000026222,Sp100,-0.11906761,6.45318582,1.162228795,0.281003787,0.63958599,20684,Sp100,-0.11906761,FALSE
ENSMUSG00000070034,ENSMUSG00000070034,Sp110,0.231257953,4.702445511,2.796310357,0.0944815,0.374946267,109032,Sp110,0.231257953,FALSE
ENSMUSG00000070031,ENSMUSG00000070031,Sp140,-0.0562013,4.326570086,0.176180626,0.674676307,0.895584536,434484,Sp140,-0.0562013,FALSE
ENSMUSG00000018678,ENSMUSG00000018678,Sp2,0.138510143,4.994570021,1.314940889,0.251502025,0.610138392,78912,Sp2,0.138510143,FALSE
ENSMUSG00000027109,ENSMUSG00000027109,Sp3,0.048798412,6.87725533,0.28335603,0.594509946,0.859564418,20687,Sp3,0.048798412,FALSE
ENSMUSG00000063714,ENSMUSG00000063714,Sp3os,-0.304317538,2.084788983,1.821347646,0.177152947,0.523239039,100503849,Sp3os,-0.304317538,FALSE
ENSMUSG00000025323,ENSMUSG00000025323,Sp4,0.224855548,4.889852446,2.769931375,0.096050279,0.378384543,20688,Sp4,0.224855548,FALSE
ENSMUSG00000075304,ENSMUSG00000075304,Sp5,0.016886497,3.084292195,0.005477313,0.941003326,0.986845761,64406,Sp5,0.016886497,FALSE
ENSMUSG00000038560,ENSMUSG00000038560,Sp6,0.390288115,-0.488955129,0.74870698,0.386885918,0.736232071,83395,Sp6,0.390288115,FALSE
ENSMUSG00000001948,ENSMUSG00000001948,Spa17,-0.385285092,3.07301359,4.616854384,0.031659246,0.197030235,20686,Spa17,-0.385285092,TRUE
ENSMUSG00000028475,ENSMUSG00000028475,Spaar,0.977960454,3.065384358,25.89728348,3.60E-07,3.78E-05,71406,Spaar,0.977960454,TRUE
ENSMUSG00000080316,ENSMUSG00000080316,Spaca6,0.195096474,4.332987476,0.740166057,0.389607689,0.73909732,75202,Spaca6,0.195096474,FALSE
ENSMUSG00000026809,ENSMUSG00000026809,Spaca9,-0.216741408,2.573367064,1.088899422,0.29671519,0.654820954,69987,Spaca9,-0.216741408,FALSE
ENSMUSG00000037617,ENSMUSG00000037617,Spag1,-0.004421121,2.722380168,0.000490823,0.982324691,0.997543317,26942,Spag1,-0.004421121,FALSE
ENSMUSG00000053153,ENSMUSG00000053153,Spag16,-0.596190508,4.217463615,14.55190835,0.00013635,0.003836826,66722,Spag16,-0.596190508,TRUE
ENSMUSG00000027867,ENSMUSG00000027867,Spag17,-0.223517652,3.644547724,1.438264801,0.23042034,0.589106516,74362,Spag17,-0.223517652,FALSE
ENSMUSG00000038180,ENSMUSG00000038180,Spag4,-0.179075625,-0.727562334,0.159195729,0.689898071,0.901679518,245865,Spag4,-0.179075625,FALSE
